Apelin cells(H).z	Apelin cells(P).z	B cells(H).z	Cardiomyocytes (Atrium)(H).z	Cardiomyocytes (Ventricle)(H).z	Endocardial cells(H).z	Endothelial cells (Blood vessel)(H).z	Endothelial cells (Blood vessel)(P).z	Endothelial cells (Heart)(H).z	Endothelial cells (lymph)(P).z	Erythrocytes(H).z	Fibroblasts (Heart)(H).z	Fibroblasts (Liver)(P).z	Fibroblasts (Pancreas)(P).z	Granulocytes(H).z	Granulocytes(P).z	Hepatocytes A(P).z	Hepatocytes B(P).z	Macrophages(H).z	Macrophages(P).z	Microglia(B).z	Monocytes(H).z	Neurons (CNS)(B).z	Oligodendrocytes(B).z	Pancreas duct epithelial cells(P).z	Pancreas endocrine cells (alpha)(P).z	Pancreas endocrine cells (beta)(P).z	Pancreas endocrine cells (delta)(P).z	Pancreas endocrine cells (epsilon)(P).z	Pancreas endocrine cells (gip)(P).z	Pancreas exocrine cells A(P).z	Pancreas exocrine cells B(P).z	Peripheral Neurons(P).z	Radial glia(B).z	Smooth muscle cells (Heart)(H).z	Smooth muscle cells A(P).z	Smooth muscle cells B (Endocrine pancreas)(P).z	sst1.1 cells(P).z	T cells(H).z	T cells(P).z	TNFalpha cells(H).z	Undifferentiated cells(P).z	Unknown(B).z	Unknown(H).z	Ciona10	Ciona11	Ciona12	Ciona13	Ciona14	Ciona15	Ciona16	Ciona17	Ciona18	Ciona19	Ciona1	Ciona20	Ciona21	Ciona22	Ciona23	Ciona24	Ciona25	Ciona26	Ciona27	Ciona28	Ciona29	Ciona2	Ciona30	Ciona31	Ciona32	Ciona33	Ciona34	Ciona35	Ciona36	Ciona3	Ciona4	Ciona5	Ciona6	Ciona7	Ciona8	Ciona9
Erythrocytes(H).z	0.887005816914216	0.553925121104517	0.840893990307668	0.9054757159458	0.896164947250737	0.796084261691093	0.792428422368493	0.528561898832605	0.819999529070139	0.507611219828918	0.999019783903505	0.753282163878917	0.546724937815574	0.512963582784275	0.701867005154629	0.58979441374957	0.375516167481203	0.524558937398085	0.817740837736674	0.573585030649838	0.50600271094608	0.844965519906962	0.351222008344148	0.453615913374558	0.463718710771549	0.186581495602412	0.276672516048522	0.515535662637022	0.282703409572883	0.2398960855163	0.296900914637891	0.359308030646335	0.238375630806259	0.290352362918721	0.767469591123847	0.527046948757047	0.528449857774483	0.323191743457524	0.85619705686065	0.500262477928759	0.595573319933785	0.267706968084396	0.547711746691841	0.881172082102255	0.504230670404518	0.303893740997541	0.462977144333726	0.385976253818246	0.27350306804904	0.150086072148651	0.202059388184894	0.462093614283518	0.422755979984196	0.353064482064329	0.713153644568955	0.597372388183184	0.428606640503221	0.615882303150856	0.522949772688998	0.452846245114555	0.406930882151774	0.447460464737627	0.504807310375712	0.607148283480787	0.319552514292672	0.692650707009671	0.595926927138495	0.493116876848281	0.358566120113701	0.389341202279843	0.226653841879867	0.382681580507107	0.35909093731587	0.59841192470852	0.399174328670885	0.465390607475328	0.478165842175684	0.591951529197474	0.934039313399779	0.479838934326948
Fibroblasts (Heart)(H).z	0.867554184122525	0.708236220703503	0.6635647043725	0.748989302414998	0.70660655409378	0.841369895362666	0.837520944133746	0.734425140408322	0.848870541873687	0.696051385576556	0.753282163878917	0.927410901467505	0.847906776142334	0.747862713912263	0.646389160189083	0.502860804509205	0.333148446450119	0.757653299776853	0.63798051781433	0.465249228570635	0.581665236160417	0.695570626587913	0.343616010501186	0.552221979337	0.581344116536415	0.300386520102834	0.196694243602971	0.344734958241494	0.347399965294015	0.27205583759742	0.306181331026987	0.402454745320258	0.638719006510403	0.67168869946214	0.808808089907491	0.781580862001256	0.747885493227509	0.250771676946289	0.649474460576622	0.480644506661348	0.689716823373509	0.190842021538819	0.765674637282895	0.888511665573531	0.747766457481903	0.507458271261976	0.693955739321786	0.550873609753967	0.726983017953689	0.764580200837833	0.576693669674597	0.200631565555111	0.144917122608717	0.0735046691067945	0.136041122795111	0.311026702995232	0.125632771362996	0.179626499393015	0.153203519543314	0.211867131263841	0.42254816130239	0.759710019277671	0.408153837427606	0.357648532669396	0.51671938438171	0.236668192210834	0.707843131258933	0.761363778706077	0.7348553671777	0.825899708575766	0.784396610907849	0.784929359865532	0.800263229285523	0.244945759930437	0.593657290325914	0.471808025578694	0.252660161610384	0.313744650170705	0.721388482166494	0.737096968281083
Fibroblasts (Liver)(P).z	0.735900409421408	0.859939832182244	0.370272115527144	0.610398904758467	0.585453538768131	0.743269521639224	0.77868895295563	0.786261025865476	0.764840982848511	0.725480493571291	0.546724937815574	0.847906776142334	0.904675997926387	0.793745336528958	0.418935647876671	0.691936387769931	0.558751732601949	0.830967358191092	0.447806469456994	0.511058672518935	0.440351393933405	0.520774452200071	0.130327816172145	0.417936147933723	0.662526265949615	0.298576265528225	0.206657635740743	0.377753777743327	0.516585198348451	0.355358937440227	0.937813682023338	0.55886641958071	0.711936266284388	0.676748173313012	0.752631240910738	0.851176116977089	0.813875164395814	0.233859479674932	0.442915650695991	0.610513219284603	0.617283466921881	0.330622419380093	0.758170505281769	0.818690298864051	0.660119308100368	0.406462301711806	0.58998277229532	0.399937754609457	0.815210844183945	0.74695377306271	0.573739892544008	0.243601519733783	0.0591121030508102	0.0470868463067537	0.199166971178732	0.291226958139583	0.239011118588569	0.102975107914212	0.289588508143751	0.230817393842857	0.405456428599581	0.627557320233795	0.391848227424137	0.32131599051768	0.296263800821808	0.248076321122226	0.577750016232311	0.837102380415774	0.751950146626049	0.74148331157126	0.714940227161512	0.706096702994246	0.779238077669591	0.201432575175455	0.61196009579848	0.677448348357104	0.209422225337743	0.320435729501754	0.526148008622156	0.681411414554695
Fibroblasts (Pancreas)(P).z	0.555385620258547	0.711878927988403	0.343513580637522	0.582505392215119	0.569796528040037	0.603232798682787	0.613816555641421	0.668388563864042	0.632317251104078	0.608102115962727	0.512963582784275	0.747862713912263	0.793745336528958	0.773019307869089	0.378665254192135	0.555873739444554	0.492120830563	0.672192300575337	0.393087295660945	0.409748903293121	0.437880194656406	0.452815345730562	0.246086130420361	0.425806879912327	0.520590689146677	0.278145569392285	0.208460969508098	0.290776871539696	0.502776349389598	0.2284865049685	0.897112093174033	0.586669641322413	0.523118767897747	0.619330180916315	0.6029888593267	0.66880225035849	0.649190853452584	0.264575774022586	0.377709948979847	0.506344573092611	0.425305770295328	0.367310383473036	0.666107142038339	0.720044554498037	0.374921596524913	0.194972470613377	0.333140130310448	0.156504186899496	0.389185617098772	0.683283977080109	0.217049323189618	0.429537890774582	0.0616654225521206	0.0798621115167702	0.132784003430661	0.571862758723903	0.141217485802283	0.0981296152914536	0.224315895727406	0.390122895641795	0.625425664626998	0.743575210426954	0.763236604848235	0.641274458667787	0.24086685201199	0.345581628283356	0.655749861624042	0.479945789501229	0.918432213809044	0.862193899976178	0.807726256929729	0.82083731028694	0.897299343295067	0.464580377398951	0.628879654877997	0.711021589852876	0.237336971250766	0.371389407255026	0.223911512344485	0.40908327353173
Granulocytes(H).z	0.932866046156049	0.857589469993092	0.943036068370363	0.46760762659742	0.300316881635967	0.727231126398647	0.613396411253354	0.429412066648901	0.782784899922284	0.467233520250143	0.701867005154629	0.646389160189083	0.418935647876671	0.378665254192135	0.979508196721312	0.922515368852459	0.373689334559599	0.516961499865074	0.91694792482928	0.850306272588654	0.871335968666119	0.933683849173589	0.133827445764631	0.215556790665103	0.578536041465767	0.125148261733081	0.355304155539639	0.240563627326938	0.120981006968685	0.326917686587236	0.36591139710534	0.35365041632779	0.380405989132108	0.0708927028308144	0.619503626447612	0.359523885458604	0.312785028243708	0.281455772450187	0.920176293286984	0.913421977113768	0.621157786885246	0.325852371733427	0.3526959091721	0.613146955001041	0.885710815054721	0.665113937699477	0.816932069601256	0.839996786195596	0.818384412244865	0.527913203392471	0.692069535062229	0.709985622135734	0.336331457886153	0.276007319532631	0.873219384002536	0.411328811273501	0.984446061003908	0.553567000179	0.919815039077186	0.869808626065508	0.730390733368749	0.303524804646091	0.399882893271789	0.419230404320778	0.538062923401089	0.543486787921915	0.336178879591305	0.76036050346913	0.299296768302365	0.279547415561519	0.365116137704624	0.306824603902159	0.366594885349307	0.469191688826643	0.575009975536628	0.437856328100989	0.564838397841236	0.861663425616148	0.443565412756987	0.803982139157356
Granulocytes(P).z	0.859639176831837	0.876046045482116	0.890918548201821	0.357265515592032	0.173557704437056	0.568811258565357	0.55790447129255	0.651373619110336	0.660129137263329	0.598276109875802	0.58979441374957	0.502860804509205	0.691936387769931	0.555873739444554	0.922515368852459	0.911372950819672	0.619308059262421	0.605787985731633	0.863704796351751	0.827594067146652	0.831187351202151	0.889288978653143	0.2244239280601	0.189143105039835	0.645267512742802	0.164246317653603	0.291722678311497	0.198291687031824	0.304667470813111	0.425138112382757	0.916952536913671	0.682122968580052	0.495366442948442	0.124941443282278	0.54780908615408	0.485509145127115	0.446264599214507	0.203391906467124	0.865584131103492	0.889310836966406	0.464658075872215	0.317671677244606	0.325728820475625	0.500346498244163	0.473529510489052	0.283312597453499	0.452347600093286	0.424254527377712	0.710697790924082	0.466627598125867	0.519723217875614	0.77006672682944	0.236945501597444	0.251744722018785	0.792045494786054	0.463442216577869	0.972527372495153	0.494434326474142	0.936320266082429	0.897260357908067	0.587268672627196	0.314692783956	0.536946597280574	0.52932876036943	0.300820717070591	0.438527989256205	0.261567123895968	0.618119695795669	0.45538789264398	0.249218904005626	0.368540544798877	0.31323314146587	0.470107583205299	0.408802920250314	0.353562152254658	0.369300691669882	0.480048912907248	0.812148722193796	0.234663293547123	0.47022016831377
Hepatocytes A(P).z	0.155340688736395	0.646553650506041	0.225436698548944	0.512962885682947	0.604322514476993	0.228144394085713	0.106187175426438	0.416285197289104	0.271963319269319	0.421417286985615	0.375516167481203	0.333148446450119	0.558751732601949	0.492120830563	0.373689334559599	0.619308059262421	0.876948281969536	0.487955555774218	0.328073734511341	0.470819572284151	0.166357562913138	0.286843942183433	0.0319905631929335	0.147531322065728	0.560803693599296	0.408845685534418	0.367375992616673	0.255749379492398	0.389540727823279	0.363487938884973	0.945057611559813	0.861253017844977	0.277086438997119	0.265472264906663	0.244596534855224	0.287447150131374	0.284206522154712	0.374295196006323	0.180821543476414	0.502407182071215	0.200668206218153	0.492764723186242	0.243303484114625	0.296511325487186	0.248846106599109	0.116549909553171	0.191529223210705	0.144693199728982	0.22294384662163	0.450861090463978	0.106728772473759	0.809838477446015	0.0785420963546287	0.128428274252803	0.59978246136346	0.918679214431094	0.771277375180818	0.0985426624435894	0.63430574731065	0.768067028716029	0.66489031633147	0.553372105654394	0.851308090491736	0.883157154433333	0.0572705743746927	0.774214884961622	0.323300109603332	0.324946920071692	0.92010042219028	0.694898993744423	0.717494235479379	0.610283868571694	0.800651099089376	0.818874187354243	0.737553392821285	0.308814718657872	0.212486016836174	0.671459164608103	0.169045205998535	0.330131828466169
Hepatocytes B(P).z	0.773134640435799	0.845841157761621	0.495165277109722	0.527313194236788	0.441040213199278	0.690642452968842	0.689315627197233	0.711194573683642	0.713742260602164	0.606866992128224	0.524558937398085	0.757653299776853	0.830967358191092	0.672192300575337	0.516961499865074	0.605787985731633	0.487955555774218	0.819650205761317	0.51400467634503	0.480643103803416	0.555757579640414	0.547214027719623	0.249349361894569	0.543329426631308	0.599569695162016	0.296439475023012	0.199498326335471	0.352533142612478	0.51338600622457	0.312315060059994	0.911576830786979	0.533579758030595	0.621410066207636	0.553637977114562	0.671818085417773	0.773176146563256	0.706770644584572	0.254953888123416	0.473735394908767	0.631123415189857	0.499735280151947	0.410462752954007	0.723632619124615	0.764175757460172	0.872363893780139	0.60522566463189	0.821807659089898	0.68668298890955	0.902690812487312	0.77627192881789	0.752676918603851	0.282017489855442	0.114323769660489	0.0530423045924087	0.297729008813296	0.289593484742507	0.488368396136349	0.258555593936875	0.348811023000599	0.238914194044791	0.352886514128032	0.552850137611476	0.319722487734921	0.288949113635052	0.335226722330317	0.311542115513938	0.654544952507179	0.897032737889312	0.631364299558701	0.649353524233336	0.578964398468351	0.616238542814913	0.676558907518697	0.192961713327689	0.600500923023924	0.649873451044893	0.39668550486621	0.444049718652893	0.545295156821274	0.843096102339095
Macrophages(H).z	0.884686314629815	0.830814084492408	0.916136015799144	0.510341919928558	0.281677314060325	0.68359467239081	0.643862268231611	0.528816522567131	0.731517182747976	0.505394282085572	0.817740837736674	0.63798051781433	0.447806469456994	0.393087295660945	0.91694792482928	0.863704796351751	0.328073734511341	0.51400467634503	0.925868265774856	0.857576890387299	0.872109784927636	0.936154406348645	0.319732326406478	0.390296459245417	0.544225002245031	0.255945021836303	0.424290186420498	0.37496361588346	0.231001573391388	0.328315695937926	0.142940383803309	0.449445048043635	0.38850712832501	0.14226237948029	0.602206855896108	0.348901528038244	0.317682037272651	0.381148264287325	0.870651092934435	0.883212038076504	0.519953823829018	0.359091749571393	0.512982651139794	0.666033272232971	0.636630985781563	0.568612304454752	0.625374076624035	0.621523970150365	0.668437814802885	0.313983570962199	0.621828835319266	0.799909621862038	0.342275866705512	0.406441097717718	0.900513013311599	0.642773131033503	0.978777425394923	0.480415300998143	0.907986219456583	0.906509591192785	0.758920052120433	0.304300017662577	0.4940829797503	0.592115530531705	0.351476387774629	0.744210558793607	0.593603139279986	0.485694465738075	0.23766026063768	0.194754786084801	0.209980644306119	0.198702900432779	0.30045691398652	0.645490775124227	0.357190250897033	0.388422260259062	0.641037906332238	0.879367185956433	0.234778068528898	0.510843217931443
Macrophages(P).z	0.763194658109136	0.818949285007003	0.839742327023913	0.188088045413473	0.110659874046945	0.473797437544781	0.443543331613701	0.475836476522155	0.546171006668733	0.43729010041064	0.573585030649838	0.465249228570635	0.511058672518935	0.409748903293121	0.850306272588654	0.827594067146652	0.470819572284151	0.480643103803416	0.857576890387299	0.817461261047042	0.811144740372208	0.861978393744403	0.141850944683784	0.208859086242807	0.476634874732202	0.195374865291627	0.300734936474986	0.248368013351242	0.302652792647741	0.265168628383466	0.831873174076845	0.602597502425038	0.336206554908255	0.112421357885016	0.401050365437715	0.345251817344058	0.27426423647457	0.259648570811259	0.785458950081878	0.842988588039102	0.312996175643007	0.382086812972066	0.380836659999943	0.477416270778589	0.437165907390741	0.303029078808141	0.408244757289268	0.413872926771249	0.579830292866661	0.414812493317292	0.457335298065508	0.842575055829094	0.16519232650302	0.254788358142321	0.843374711514558	0.736093355367778	0.961844386375904	0.179844380401951	0.908701407225297	0.929040826987435	0.823890484020874	0.396846528440101	0.717180789659512	0.710238677849524	0.168673763178137	0.717818981263058	0.496754187355556	0.373801441071331	0.494914433405094	0.37126966632683	0.395564744823996	0.387104146332431	0.522488903875066	0.677479413114766	0.529844045263386	0.444075933085454	0.432656714016511	0.888827049069539	0.0484854700012615	0.344467137936844
Microglia(B).z	0.817833496071653	0.741472488478192	0.861580493044172	0.243153785721188	0.0868700462575661	0.60727540684728	0.654320255602805	0.546058748687874	0.687521279915405	0.541404700800069	0.50600271094608	0.581665236160417	0.440351393933405	0.437880194656406	0.871335968666119	0.831187351202151	0.166357562913138	0.555757579640414	0.872109784927636	0.811144740372208	0.910223144784639	0.884083271969421	0.907533696316032	0.799202397945748	0.47426056236656	0.403337490764132	0.455375361511993	0.511821131673916	0.544573258227806	0.420347483977154	0.133907686320764	0.236910183555847	0.438944067526026	0.569492781819066	0.493394132998814	0.331541048276293	0.328297263236545	0.486613690675743	0.823013033733288	0.843007562447154	0.402686157276194	0.368185217997364	0.761716400757503	0.43820637272737	0.727517464397045	0.835972599259464	0.684355882907014	0.750951119939781	0.764143087564194	0.35359426371066	0.850039422998982	0.569060396658354	0.81184774936868	0.774667227866071	0.850725796709681	0.372752906294882	0.951816672729705	0.796114856244604	0.857256897659561	0.763483930316703	0.512401394134777	0.161990781931997	0.289104000671513	0.32192557494283	0.723961125096186	0.552868359193295	0.478539171666268	0.679580921431901	0.169298298103978	0.135272839369833	0.202431226052917	0.187740007798277	0.229844291041334	0.426130072871097	0.28171269451185	0.318941644055508	0.747946417734892	0.743008776479513	0.369544233644139	0.695001141580558
Monocytes(H).z	0.924524665981501	0.873458376156218	0.939072883229846	0.633843574365045	0.430149415656303	0.762752387375814	0.712032272591368	0.605525870499369	0.799661637680353	0.580886028670617	0.844965519906962	0.695570626587913	0.520774452200071	0.452815345730562	0.933683849173589	0.889288978653143	0.286843942183433	0.547214027719623	0.936154406348645	0.861978393744403	0.884083271969421	0.969167523124358	0.373507944024597	0.358367042054241	0.640458293029442	0.255636329819629	0.448871232296614	0.395513119900358	0.165172780781459	0.367353272892327	0.134356367577541	0.347079255304662	0.3582763105717	0.141439484232292	0.673291421217833	0.44978058473937	0.387281616826063	0.39410207075842	0.903949517054516	0.90330623037673	0.566731988035945	0.350083330784999	0.549720470157002	0.71617918259184	0.509333391400001	0.515548198304752	0.53719135133514	0.608374775508429	0.592320644427679	0.239898359295271	0.560430510703716	0.768651035272454	0.364738295899248	0.340784391405333	0.916379436814334	0.574095852228626	0.974514913458035	0.504197733714757	0.912353898550091	0.905367300120602	0.7341450280336	0.316535369094948	0.449136461934685	0.532514829716584	0.386408333768682	0.692723384317756	0.627967510967085	0.520856133347925	0.201892332868363	0.177514627511756	0.227891182838462	0.174994374523893	0.232287340445894	0.613750001087671	0.288120822723077	0.316383012457206	0.571864486870814	0.883346432098019	0.446249912420661	0.471903287287346
Neurons (CNS)(B).z	0.215153166817865	0.104375890199861	0.270059039099934	0.401853458301217	0.19397280617198	0.420055176538066	0.559647000913453	0.283516393374264	0.440834791947728	0.336895165724652	0.351222008344148	0.343616010501186	0.130327816172145	0.246086130420361	0.133827445764631	0.2244239280601	0.0319905631929335	0.249349361894569	0.319732326406478	0.141850944683784	0.907533696316032	0.373507944024597	0.9995864217424	0.94294356740016	0.228046472375608	0.836814129858465	0.839951235911564	0.87458437543692	0.88751892578068	0.8286580803936	0.00691361674773649	0.199216283793515	0.62317836979461	0.915738956465799	0.400678974862594	0.229940306885	0.235666817916624	0.862121647645209	0.337133255347081	0.206563704801136	0.413684936827057	0.790282190859998	0.898430733270582	0.164352300061987	0.738498862595952	0.978503686942836	0.763810439704082	0.897501111481338	0.548471154696152	0.311408973029523	0.956130233768809	0.345148592358863	0.996215544041374	0.984597699435458	0.470510985159397	0.241890324093565	0.695168984401774	0.990227931358022	0.591367826439015	0.443422218436348	0.353828591840776	0.273558197536746	0.23877943419942	0.228864467021945	0.9695676852844	0.279414616534159	0.485270803474352	0.614043816886758	0.079742667173705	0.168059772891454	0.234860501737134	0.261836087163809	0.0597450861774694	0.276818314039452	0.0878685778025922	0.515520101562869	0.956942810640466	0.254904378767298	0.683689606882029	0.745011666299669
Oligodendrocytes(B).z	0.29823613854904	0.211033238765145	0.308827295131891	0.357948778762468	0.144552898003665	0.550269156732262	0.561870962719228	0.5008816014034	0.571937375270783	0.533943071024439	0.453615913374558	0.552221979337	0.417936147933723	0.425806879912327	0.215556790665103	0.189143105039835	0.147531322065728	0.543329426631308	0.390296459245417	0.208859086242807	0.799202397945748	0.358367042054241	0.94294356740016	0.908155149019791	0.324591183921283	0.709338290209274	0.705211098343151	0.768511697004879	0.787168165567213	0.670968875790448	0.059553350018538	0.160579335848904	0.65315146241326	0.870442422829802	0.493565074485438	0.450555381241632	0.449375705020309	0.731732777925517	0.343631417475988	0.20897730131792	0.484356350031852	0.673013289827271	0.827218379173682	0.329406296173138	0.800103717769528	0.926810442288439	0.670820518239067	0.796352773939311	0.61547144860447	0.466182666266332	0.916921585816266	0.389972889922986	0.940390923147655	0.92460206697219	0.524631058763711	0.258588819512935	0.759944045708757	0.928720691722104	0.634206661413431	0.482626918782349	0.369043299948496	0.246998714023832	0.284124217286028	0.258808817205263	0.915270528153314	0.404739709689164	0.650812567164737	0.628027558121608	0.126100537124449	0.246043949538672	0.305669164922476	0.329186833232615	0.137031178420605	0.254328963649226	0.256130508324199	0.429829707219511	0.869534500516413	0.31164373717484	0.609463508536491	0.724625337656557
Pancreas duct epithelial cells(P).z	0.747148109243698	0.800755131189166	0.616735116619837	0.422213262222737	0.265846607911189	0.568275462962963	0.489692947471446	0.570071401654441	0.636631273375199	0.474614251837919	0.463718710771549	0.581344116536415	0.662526265949615	0.520590689146677	0.578536041465767	0.645267512742802	0.560803693599296	0.599569695162016	0.544225002245031	0.476634874732202	0.47426056236656	0.640458293029442	0.228046472375608	0.324591183921283	0.825798319327731	0.411592397785026	0.419400273526191	0.415930492176512	0.560702496108757	0.41215261160938	0.875675812015433	0.702607657079568	0.511749523433199	0.469369157943996	0.530894689533094	0.587855204648137	0.510188815515669	0.446811999844661	0.558310535813071	0.66808035850421	0.403125673346262	0.726289203895144	0.502595530508043	0.65523046139156	0.708627768526508	0.354077061900375	0.528858777974364	0.561352839603093	0.701720372811277	0.682900944358326	0.43904771565817	0.449296662287922	0.133419397092121	0.162010548335808	0.228968917681522	0.576955343501249	0.370920351147511	0.389935636675052	0.43557347701379	0.583295198575598	0.389620368608598	0.513615196250143	0.591200366123248	0.596496052376451	0.181276620743047	0.372224019104044	0.564931670481314	0.609985998602804	0.75962065151759	0.637344215972688	0.609942449561339	0.599016102296588	0.726778718677282	0.453634730001605	0.52388133597388	0.596969839491441	0.366798760389676	0.374463535414166	0.401572303224078	0.598136133797994
Pancreas endocrine cells (alpha)(P).z	0.201843421244446	0.386395727764118	0.260207614841774	0.250660607977896	0.253746599480327	0.331432278891272	0.197263565904668	0.339779550255017	0.312248530495431	0.266087407984143	0.186581495602412	0.300386520102834	0.298576265528225	0.278145569392285	0.125148261733081	0.164246317653603	0.408845685534418	0.296439475023012	0.255945021836303	0.195374865291627	0.403337490764132	0.255636329819629	0.836814129858465	0.709338290209274	0.411592397785026	0.762481811303184	0.735135768555746	0.72690875859318	0.763451002125709	0.647719170721576	0.351848735593945	0.598668580435031	0.472308456410283	0.484499727624915	0.27179786628247	0.372223536401235	0.349282830828295	0.751386871936324	0.167563148483652	0.347682853034062	0.240541060563324	0.896208923650625	0.473813857387651	0.274363816705051	0.184135822851586	0.490369845523679	0.191729699324974	0.312815444886229	0.160529492820844	0.372063594242671	0.35574918822447	0.811712282020507	0.680328530366585	0.778088954675236	0.382266900114817	0.853435462180286	0.435557153954126	0.772419077544502	0.298498137530724	0.647626808688707	0.635741466616089	0.51539773876902	0.833606411445396	0.860877016962351	0.387076882871114	0.654779064001133	0.246802949256327	0.10509001645345	0.671800832876128	0.49558920955028	0.579894477444652	0.512047279928149	0.578049084595884	0.833743412689666	0.538460468782331	0.503399330602559	0.712992443113766	0.324276537924407	0.0759015854398598	0.15668657557148
Pancreas endocrine cells (beta)(P).z	0.294002865403166	0.420773176033703	0.391516375834111	0.151293547225683	0.12801005937923	0.305028818658774	0.162643442399175	0.294050035943991	0.306795064167179	0.225262947373078	0.276672516048522	0.196694243602971	0.206657635740743	0.208460969508098	0.355304155539639	0.291722678311497	0.367375992616673	0.199498326335471	0.424290186420498	0.300734936474986	0.455375361511993	0.448871232296614	0.839951235911564	0.705211098343151	0.419400273526191	0.735135768555746	0.765095937724519	0.720669533248976	0.735419380353125	0.646920063729421	0.237298488474346	0.55056844086202	0.47413435800898	0.429181804399815	0.200722575222337	0.321626347156847	0.251263326555282	0.762119415570066	0.318136728744335	0.479353998180591	0.199308493161937	0.900975018671616	0.439679254722646	0.191894168492825	0.401627225843683	0.795333879342831	0.425905279317985	0.660072403306783	0.301116487410733	0.286465374450832	0.667572153246547	0.836711434177448	0.848347085245227	0.893207432443132	0.585915520213889	0.783080187964174	0.801206907502812	0.889175850451778	0.537601165371977	0.647817422114882	0.624233668484169	0.34971205941461	0.673542556843238	0.756368994996365	0.647544330032846	0.672731167458352	0.49756796961208	0.260350522678199	0.45797544137541	0.271492467838786	0.377888920812119	0.315839230400103	0.378145002187701	0.80370084873161	0.416324214863889	0.575804310124739	0.805578643506631	0.482213880391096	0.114624615050177	0.331549926130594
Pancreas endocrine cells (delta)(P).z	0.42051660383161	0.382937267294307	0.338106812762524	0.334795090484968	0.341951351905799	0.290106702557481	0.229181267256299	0.325052859472728	0.274111012597683	0.256256293371607	0.515535662637022	0.344734958241494	0.377753777743327	0.290776871539696	0.240563627326938	0.198291687031824	0.255749379492398	0.352533142612478	0.37496361588346	0.248368013351242	0.511821131673916	0.395513119900358	0.87458437543692	0.768511697004879	0.415930492176512	0.72690875859318	0.720669533248976	0.811295830566171	0.793967294988318	0.64222228419809	0.148999612299398	0.270937012999772	0.513298546792784	0.562574487182456	0.319905094583457	0.476911074240494	0.425691380446573	0.748801018382539	0.248782245479708	0.386608194908314	0.230783079145182	0.898843457081037	0.513393609761641	0.246240062764452	0.165488908229432	0.6354548860905	0.198054955443388	0.335347874502212	0.170362167228757	0.167631953080296	0.422829411147522	0.854446809173965	0.795234974223348	0.881731233836335	0.430517995112723	0.803596313014913	0.655134629294681	0.794707508650807	0.460126238087647	0.691339034259183	0.65000768383468	0.440526450786847	0.806817523598862	0.823970228761853	0.468645146058885	0.625476146129229	0.414168187176744	0.115272429891732	0.503029749049398	0.350279998048388	0.362441660895146	0.340237972015026	0.426210372728597	0.788688624794221	0.34785216245537	0.649881281231834	0.854024112647387	0.423585658583256	0.075608949669815	0.106232339055022
Pancreas endocrine cells (epsilon)(P).z	0.140297007794336	0.513913382597448	0.0904442022773023	0.218800631503462	0.239566793587126	0.274873627280711	0.328835300153925	0.50369992704947	0.226918171194314	0.432947087291165	0.282703409572883	0.347399965294015	0.516585198348451	0.502776349389598	0.120981006968685	0.304667470813111	0.389540727823279	0.51338600622457	0.231001573391388	0.302652792647741	0.544573258227806	0.165172780781459	0.88751892578068	0.787168165567213	0.560702496108757	0.763451002125709	0.735419380353125	0.793967294988318	0.880143663417137	0.705307616645496	0.537652758783071	0.522778286661533	0.605191721925386	0.677607623626659	0.297460106924029	0.56417623656244	0.491699770653238	0.767764904658686	0.0994680795576038	0.429025271430285	0.269909421004855	0.898814499290198	0.649575692372085	0.251209075503612	0.177214688448772	0.542550873564666	0.200068065259635	0.310448241047053	0.140247134664112	0.277307036145528	0.289364996620912	0.693857054300353	0.794785637760471	0.801075468251066	0.414944977876887	0.721574506419577	0.304147698071437	0.819548247135439	0.440131181907071	0.558996610522747	0.631943545310557	0.415998129407602	0.760918758291401	0.757824578249271	0.489330712677302	0.561388663751986	0.468378645520413	0.161057706386468	0.435730520231029	0.408383676216643	0.439312195559663	0.457446438186295	0.426600730290442	0.715330760508306	0.441936192167795	0.70378386899442	0.788165339887378	0.435423923289172	0.0962120164232188	0.179903505939975
Pancreas endocrine cells (gip)(P).z	0.325990995677735	0.550674392462863	0.340512328684597	0.150124826847667	0.112104124359352	0.290173302086459	0.2366643894806	0.311782686413562	0.332792981786105	0.242280393355893	0.2398960855163	0.27205583759742	0.355358937440227	0.2284865049685	0.326917686587236	0.425138112382757	0.363487938884973	0.312315060059994	0.328315695937926	0.265168628383466	0.420347483977154	0.367353272892327	0.8286580803936	0.670968875790448	0.41215261160938	0.647719170721576	0.646920063729421	0.64222228419809	0.705307616645496	0.641501208734594	0.647942618505845	0.643370876230898	0.408651369238695	0.386076341557135	0.302857670331544	0.351212397541804	0.226511806247573	0.674178159317853	0.22851363243518	0.446724862693384	0.186888102881148	0.840552016228243	0.41230910829842	0.224222233847483	0.521554113168268	0.857114000954728	0.481324981741401	0.6400335161654	0.361463645275137	0.342217947137962	0.692736427474201	0.795292204316532	0.832534534944164	0.857458941381917	0.518350815214518	0.743724997012441	0.733971565005775	0.870900125074524	0.469181357779511	0.682923634581689	0.487460811230195	0.353697873694953	0.664980943210813	0.756174586726061	0.553988114874691	0.596773798444552	0.348783642613861	0.22590730611676	0.426502731534927	0.302308862086465	0.401441177762462	0.342306100068557	0.36546334137131	0.751202494801914	0.365980949047146	0.540177626689181	0.834983500247577	0.411585592505936	0.114197627645536	0.506594726045109
