Brown.fat.m	Proliferating cell B.m	Ribosome-gene-high cell.m	Mammary gland in lactation.m	B cell A.m	Neutrophil A.m	Proliferating cell A.m	Dendritic cell B.m	Erythrocyte A.m	Neuron B.m	Monocyte A.m	T cell A.m	Cd8 T cell A.m	Spermatogonia.m	M2 Macrophage A.m	M2 Macrophage B.m	Pit cell.m	Fibroblast B.m	Oligodendrocyte B.m	Stromal cell A.m	Cumulus cell.m	Proximal tubule brush border cell.m	Neuron A.m	Chondrocyte D.m	Fibroblast A.m	B cel (centrocyte).m	Endothelial cell B.m	Urothelium.m	Smooth muscle cell A.m	Stromal cell E.m	Macrophage B.m	Intestinal epithelial cell.m	Gastric epithelial cell.m	Mast cell.m	Erythroblast.m	Renal tubular cell.m	Luteal cell.m	Proliferating cell C.m	Neutrophil D.m	Testicular cell.m	Epithelial cell A.m	Monocyte B.m	Chondrocyte B.m	Trophoblast progenitor cell.m	Stromal cell C.m	Endothelial cell A.m	Fibroblast C.m	Erythrocyte B.m	Neutrophil C.m	Dendritic cell E.m	Endothelial cell C.m	M1 Macrophage.m	Adipocyte.m	Alveolar type II cell.m	Skeletal muscle cell B.m	Fibroblast D.m	Prostate gland cell.m	Oligodendrocyte A.m	B cell B.m	Dendritic cell D.m	Proliferating epithelial cell.m	Myocyte.m	Epithelial cell D.m	Sertoli cell.m	Osteoblast.m	Smooth muscle cell D.m	Leydig cell.m	Neutrophil B.m	Pancreatic endocrine cell.m	Premeiotic germ cell.m	Pancreatic acinar cell A.m	Oligodendrocyte.m	Epithelial cell B.m	Macrophage A.m	Stromal cell F.m	Hepatocyte A.m	Dendritic cell C.m	Goblet cell.m	Cd8 T cell.m	Chondrocyte C.m	Pancreatic acinar cell B.m	Spongiotrophoblast.m	Macrophage C.m	Kidney stromal cell.m	Dendritic cell .m	Dendritic cell A.m	Smooth muscle cell B.m	Hepatocyte B.m	Erythrocyte C.m	Stromal cell D.m	Astrocyte.m	Smooth muscle cell C.m	Chondrocyte A.m	Endothelial cell D.m	Skeletal muscle cell A.m	Alveolar type I cell.m	Hepatocyte C.m	T cell B.m	Apelin cells(H).z	Apelin cells(P).z	B cells(H).z	Cardiomyocytes (Atrium)(H).z	Cardiomyocytes (Ventricle)(H).z	Endocardial cells(H).z	Endothelial cells (Blood vessel)(H).z	Endothelial cells (Blood vessel)(P).z	Endothelial cells (Heart)(H).z	Endothelial cells (lymph)(P).z	Erythrocytes(H).z	Fibroblasts (Heart)(H).z	Fibroblasts (Liver)(P).z	Fibroblasts (Pancreas)(P).z	Granulocytes(H).z	Granulocytes(P).z	Hepatocytes A(P).z	Hepatocytes B(P).z	Macrophages(H).z	Macrophages(P).z	Microglia(B).z	Monocytes(H).z	Neurons (CNS)(B).z	Oligodendrocytes(B).z	Pancreas duct epithelial cells(P).z	Pancreas endocrine cells (alpha)(P).z	Pancreas endocrine cells (beta)(P).z	Pancreas endocrine cells (delta)(P).z	Pancreas endocrine cells (epsilon)(P).z	Pancreas endocrine cells (gip)(P).z	Pancreas exocrine cells A(P).z	Pancreas exocrine cells B(P).z	Peripheral Neurons(P).z	Radial glia(B).z	Smooth muscle cells (Heart)(H).z	Smooth muscle cells A(P).z	Smooth muscle cells B (Endocrine pancreas)(P).z	sst1.1 cells(P).z	T cells(H).z	T cells(P).z	TNFalpha cells(H).z	Undifferentiated cells(P).z	Unknown(B).z	Unknown(H).z
B cel (centrocyte).m	0.291154244419755	0.408288951445913	0.813806057775712	0.390039446691061	0.878538993532362	0.889805510413774	0.464421544436499	0.790607868563624	0.771052349976157	0.517313811765007	0.849907183627069	0.836300106510412	0.831269637727672	0.505364803102342	0.705413416346162	0.715961377882024	0.355099035105299	0.23214705531461	0.260521785302104	0.279900346536376	0.32716977149887	0.225907066200426	0.265009788145598	0.236365429493431	0.0967561580898487	0.864622326203209	0.367631319013508	0.250968030580011	0.153462702644864	0.161811275944612	0.754423331081164	0.594272746103374	0.284527119247603	0.814551830452656	0.776957867810204	0.177393928437229	0.213190272995873	0.466900369529298	0.79793731679056	0.419353709987523	0.515316033453333	0.757274519600744	0.611527513901912	0.567380257976718	0.148630537178196	0.362325010969738	0.157944398621207	0.410842393181023	0.892675950393036	0.725737983281087	0.650121670697702	0.746996277764218	0.26557359505477	0.349454709938169	0.176885760444811	0.122360085407336	0.158293848281436	0.215493796465371	0.738236390181429	0.810687757088213	0.469295406227583	0.500619924707395	0.114277840322732	0.4030755178201	0.246093986172353	0.384844384442522	0.26591108470083	0.818282249107681	0.174058199339752	0.655860074013229	0.492725649335152	0.311854228391365	0.339654355721691	0.824378563760954	0.32065240075045	0.504561750943215	0.730075867476779	0.612726273521435	0.866427367896563	0.649717875595965	0.125576284232701	0.49429947503229	0.743235164615204	0.12997422183159	0.847513128628075	0.75178575488637	0.149553240613599	0.34869312922411	0.833948606368045	0.192555970930253	0.107961584894455	0.330467337107036	0.461537860774317	0.524510781684719	0.550021794905076	0.185689670837444	0.409745474166923	0.70467252166634	0.77586959939306	0.784321565856559	0.852151904675584	0.310842084841052	0.336983920804279	0.292949386193871	0.386232720296711	0.297989971204361	0.245371163728208	0.283505876710711	0.562400164018239	0.200853205698592	0.146821057986322	0.177147526064058	0.852988479296338	0.861164517036323	0.278554496763282	0.215650273156401	0.838595721612936	0.836916034801638	0.857893222444949	0.83192323814745	0.67908746021187	0.523772642010765	0.342148347975554	0.532382952526217	0.604307448862687	0.619177228691857	0.424319902671876	0.466776232743451	0.194826828609012	0.360851698039429	0.310162010648987	0.396427792321117	0.267628301823545	0.242092504720967	0.137242161628997	0.61306008986779	0.873902579840714	0.860111628243833	0.235378616481558	0.41624852520007	0.223158237678739	0.236260328492412
Endothelial cell B.m	0.241026808452118	0.809418651832125	0.47027872393109	0.178683930051821	0.2380914347681	0.268092955223817	0.756362200862682	0.334818933008516	0.456136852610187	0.78172072324706	0.289867145711385	0.143034271127555	0.225076259375542	0.255432307513908	0.505408609848677	0.601043825561021	0.19641659439704	0.770691238858877	0.199278473619408	0.840093326080587	0.651303187620613	0.240347249331753	0.735059458554661	0.62280379126272	0.828136485073704	0.367631319013508	0.923782692890973	0.385364900492289	0.879902475443877	0.766145213597443	0.627289688424859	0.100733459492935	0.147002666371048	0.466518270265081	0.395743312432766	0.270262590522261	0.511731250836968	0.700132837549948	0.515635445454506	0.243998413049979	0.300907926479329	0.457524669013587	0.67676775689601	0.572283387239288	0.930262782605858	0.921223390010837	0.88768340805884	0.793764576943281	0.203591160959331	0.3858111706728	0.836970202699204	0.310147815775672	0.481518820993759	0.301500700466485	0.935126758381125	0.87865147428266	0.202187923445903	0.376462952277384	0.203422740822637	0.520524489969763	0.662852093746239	0.784600553211562	0.810501443210754	0.700278857273703	0.850750453901644	0.809824719692146	0.672917169465375	0.325886556760042	0.694183136321001	0.469219559532891	0.664309997503706	0.729578793341089	0.377881967766569	0.369766796371632	0.622302527837798	0.17210249530126	0.179221487332823	0.0726232332831939	0.164035924721875	0.389300673518921	0.886730053839799	0.41574907708151	0.288398277650354	0.478628478496459	0.179071242219153	0.357422095404271	0.926500922564123	0.391959588121726	0.501551494443712	0.851457005520233	0.404255679883419	0.61134105850985	0.72338608868489	0.867859167984423	0.71793621351182	0.412359459048362	0.320263601354742	0.253596202367024	0.636974404168133	0.366788869247571	0.356724126210254	0.834591209216237	0.762383570758838	0.922392961485318	0.939285213005363	0.922688392200896	0.932781485790809	0.831862383288031	0.747690163887764	0.828668825545834	0.738598314461704	0.669838850702756	0.164413436653406	0.0920861555520112	0.125142381321648	0.714731585679923	0.311948755802275	0.120331612195088	0.155654414409897	0.373564085317453	0.343587451914482	0.337641571740132	0.0892249166937721	0.268058072870176	0.211162421059206	0.336310480719424	0.287193740001402	0.155497640967079	0.269458072426922	0.166430645370229	0.503829089951714	0.542458212217191	0.795527876368369	0.715575852108394	0.772552723394164	0.215253931409739	0.307645123015209	0.102151002029309	0.764484613051492	0.297583937960326	0.692659763857	0.954443983966949
Urothelium.m	0.750682922733621	0.470458300969873	0.321996622912037	0.77806676397841	0.355314650061116	0.383975945935236	0.439365945582622	0.275601341536121	0.310235212057305	0.473890869473121	0.338506748201524	0.455774067068734	0.305397443277245	0.854358542711815	0.319853063260226	0.144623699816837	0.892065794012943	0.484229916211248	0.892712710137174	0.504576526391813	0.553344567133195	0.860669214341156	0.571328001441015	0.631740034296713	0.80344868855994	0.250968030580011	0.385364900492289	0.796096684631716	0.523999090081893	0.653257040199715	0.222847448269731	0.822143276407233	0.910852626369225	0.33863056648212	0.389277048165455	0.848327401547843	0.609080443176781	0.586637489441019	0.0971383722725229	0.770774314434608	0.488749135285088	0.196442190586804	0.18458502277226	0.349933742383915	0.423101807516934	0.481212768496633	0.615734330230731	0.279241260218611	0.234346958032855	0.214955092738972	0.132221729563228	0.36173867513406	0.677021710799533	0.703675041623023	0.519973247060932	0.575847638228295	0.899330824930514	0.763666282483763	0.301132883529175	0.177108944488859	0.62330215353771	0.285684795013397	0.657449693989042	0.532970959879693	0.655136429046922	0.447467980499444	0.604124015649488	0.439599092437576	0.636054930029926	0.54579238185019	0.511769875903679	0.45134261096881	0.690909273020624	0.453817374352265	0.278256764954754	0.719016116914043	0.340755545817466	0.755889870466943	0.404712840649049	0.49790869627383	0.271800185406746	0.302340111618927	0.248840988845903	0.781746249980359	0.465664325329768	0.199938426672552	0.453195088889251	0.564364449690014	0.0729334083639055	0.489510013621053	0.769419710862901	0.501754125761513	0.360227444181638	0.0981075179198912	0.297566700287427	0.775645908494449	0.780873781559449	0.321930441349658	0.145263858207198	0.084691559414329	0.173535836576968	0.632485365111081	0.636029318721421	0.643745327677453	0.448130179699938	0.552718255073812	0.632574493416366	0.555615632078071	0.195634154658744	0.594979719531012	0.347616852015719	0.577313442269118	0.389375694319342	0.275804093273682	0.931052109785264	0.378503274725851	0.389359974179617	0.340111529967455	0.284622847973358	0.331479040537431	0.664747856641232	0.586024659428369	0.936195199049733	0.74810473081519	0.778776143998127	0.715691802091312	0.728402646429856	0.819916756178188	0.0608234685272805	0.471569528320554	0.494872307834387	0.679466850581417	0.62515011014333	0.337881528431451	0.599661421453804	0.76523919048836	0.228245315340637	0.200714620443103	0.667460220246844	0.495147266081385	0.693981690338162	0.480659430103745
Smooth muscle cell A.m	0.358726579069111	0.827874855201743	0.17054691101594	0.273298925232146	0.0866357296880281	0.0537091781538682	0.666359685690691	0.331857437566244	0.134474957810312	0.654062399677566	0.223560631872985	0.145351037449448	0.198001282677714	0.220237033943466	0.474949686370899	0.390398052771382	0.20643251496511	0.914041009029004	0.330997047975086	0.911285276571901	0.813188239159491	0.301721740404188	0.72148014572349	0.876344497664893	0.933682992155712	0.153462702644864	0.879902475443877	0.523999090081893	0.974691444436667	0.918699400387299	0.284317728148672	0.0935950189477151	0.212378457395928	0.223565095441941	0.104374823166003	0.499427644814836	0.797875111902029	0.627610404808621	0.46478902871915	0.248868728146278	0.484706451315444	0.307225737370113	0.82799972134325	0.396102069975695	0.978765180154353	0.88910201909977	0.944065293840005	0.767839814811029	0.158385039598187	0.551436634112892	0.540555194998053	0.331678321529914	0.746152414835535	0.657369955786459	0.961154256627597	0.944227352477205	0.448661238643693	0.551552363539314	0.276382061303551	0.252068007453537	0.516490037741752	0.914647964804483	0.861812502481502	0.625984794653082	0.941869303461031	0.885741572967175	0.599385306332184	0.058854515775503	0.723544233932976	0.273273588393922	0.496033526484199	0.857454730115956	0.66555059902644	0.0716863636730389	0.741334821603705	0.0766083775344944	0.448380465915369	0.112877507103317	0.0562249963239998	0.733348552898303	0.893410546502443	0.489964724289975	0.226453905566752	0.78946289179212	0.164984504073205	0.452278074735179	0.955200287135683	0.291290244387276	0.235998177012907	0.954524751829696	0.645598933897471	0.852163423472234	0.728739438942119	0.752381437103047	0.913808558706254	0.813323935150044	0.227573974178286	0.201161647029054	0.595931407390361	0.245057056825317	0.339089731025389	0.912582393544314	0.909981227464002	0.861547915548712	0.950525646167131	0.746335057980077	0.886261847410652	0.722519464523764	0.711665592748025	0.951984963785581	0.944855574947451	0.841758028828888	0.224746127015235	0.0893294782772829	0.196462820065701	0.859471609489302	0.195573272965774	0.0439390233343708	0.0493109050964402	0.297901193988464	0.371144424561141	0.272983706568173	0.241509577128255	0.332296300131195	0.290003718476184	0.253723981533914	0.27415076764008	0.20059925930726	0.326345754433184	0.274517316192589	0.735363852029206	0.484955984117704	0.931132007987879	0.945701607064126	0.880240468711697	0.273870642339864	0.268846270502321	0.0464382263139086	0.840041471267586	0.42366442679829	0.722477484730534	0.901549845967004
Stromal cell E.m	0.234892703210279	0.817153012451581	0.109975207641973	0.16249713458005	0.217010471516494	0.0841121449216604	0.602753207254815	0.543109256137941	0.0631706847950812	0.427727402494637	0.42465706638309	0.35974382188513	0.393013669895359	0.0832599819589426	0.682614450385528	0.451189690918186	0.193008701686313	0.9195215826655	0.516029265148927	0.880943340975188	0.817005914662507	0.125265804084505	0.594074181483176	0.902525222751142	0.929305978979565	0.161811275944612	0.766145213597443	0.653257040199715	0.918699400387299	0.935459975268893	0.542441950374238	0.115171320730244	0.244422285813222	0.290216835837056	0.105605744409931	0.312069050110401	0.767704108209409	0.416871951891529	0.438235939282968	0.111036754456559	0.416335538605634	0.414984631940719	0.835976338859755	0.364434968243433	0.940102484968308	0.836232616826222	0.945893529436206	0.711408548534514	0.202564472706657	0.67601138886006	0.659114526375836	0.586978896071964	0.713474952338949	0.584238426350316	0.668673693767821	0.947729640170394	0.346796554937165	0.72002128939493	0.465618692249803	0.472394107119759	0.356240198369106	0.85319149865301	0.852413736771975	0.498752461206367	0.945001173639499	0.809164289633661	0.659162683246762	0.100492304695698	0.56600950251239	0.188739478702718	0.283693928253208	0.834172057953603	0.8385060098992	0.275453423842621	0.767454741679722	0.052891355905169	0.6226486333371	0.205426001060845	0.0886165133262155	0.733524634403044	0.894982314822909	0.725954346908832	0.440731978613622	0.698835378625448	0.20661976731618	0.667899941088635	0.840754131941905	0.205721372130188	0.0330317931494659	0.943638832077163	0.778073850640151	0.804963308320869	0.685528897992771	0.622248730983961	0.256081398568142	0.782923046230046	0.177047446381771	0.484987519630068	0.681621510029325	0.474539046581731	0.452798977804376	0.669641864523253	0.332096957989141	0.910064148335446	0.922618677120496	0.793280427891046	0.94953184151698	0.847170014024851	0.314086629280675	0.954081260284332	0.965821892229803	0.905192700854296	0.455485297306849	0.239271469324591	0.562659610885935	0.905906975059487	0.536380541724068	0.333283808553057	0.237555668679011	0.575678768946766	0.319268303907219	0.373054099611298	0.479756065091397	0.239307455882896	0.242127913391132	0.267224893887359	0.0827977968300623	0.236103613503224	0.376039973251171	0.492856759087637	0.766487388494644	0.604229378518237	0.90229491292292	0.896472524592326	0.89891778033356	0.219319437607205	0.305324026219041	0.150687422139265	0.869957595483073	0.232680692795619	0.812126338521675	0.869380500605615
Macrophage B.m	0.421985880423057	0.0603006325836723	0.759727077234938	0.54773821257644	0.919003951084351	0.935193575127013	0.0479444626774041	0.940542976202536	0.367912283287123	0.0432841669209757	0.960259070813088	0.857167494364686	0.85172162816469	0.0428233509337647	0.952517474401485	0.888590135063109	0.186125918136736	0.637645970865113	0.0763372420099265	0.0820006566088839	0.153377343968441	0.507213067194223	0.0525875549696513	0.262520795965986	0.391136467270163	0.754423331081164	0.627289688424859	0.222847448269731	0.284317728148672	0.542441950374238	0.988956904995103	0.496292107016154	0.268517767260939	0.840875612636392	0.441682515173856	0.501209054255033	0.1673264621626	0.0685079545035873	0.85100241964303	0.0853243570973888	0.698295788164679	0.866232378873958	0.250179851023897	0.595791400420735	0.253582393689799	0.861701684320181	0.499930870169911	0.141597439711736	0.97673516430166	0.851122752097329	0.982743098378974	0.941415626750152	0.217681301261323	0.754465695467451	0.0475592591860273	0.544961050167751	0.188164819990732	0.146960322057922	0.805484858912552	0.984249489873362	0.0595341661578341	0.111904152409784	0.657818952580603	0.114296502253839	0.554175293972771	0.0685780264707192	0.120795688071236	0.842586056112028	0.244532053924547	0.0442897500231268	0.130902609227641	0.266430654586211	0.690791379082188	0.958796297317062	0.765080706200058	0.775519763308718	0.907720333228517	0.576317544757244	0.717415997241353	0.139600719383909	0.744880749579682	0.814011345979073	0.950482470555224	0.387450576284802	0.90793983239721	0.938428419849821	0.695041229180954	0.954785045826566	0.755518591177282	0.214017443141329	0.212815607450754	0.586928635968603	0.0522919954029237	0.833383061379874	0.0954634709926495	0.569745032711125	0.694059111416462	0.783846086061114	0.936707992637651	0.97774198473878	0.938725115671996	0.136368517030013	0.0715599088772556	0.776969098663516	0.775260560489847	0.909208469935566	0.843258714125893	0.904137148588596	0.728254029368916	0.400612006301271	0.524660250029322	0.457375194371144	0.958392406994107	0.97862312041393	0.71148830848671	0.687908172210735	0.966235513498848	0.983073736007637	0.975388637101052	0.949406143896971	0.0490158745646399	0.0477069433168149	0.615728437065326	0.197667188292126	0.174941516175353	0.214400431599104	0.271618736145862	0.214890502228341	0.88008642393967	0.611791148581522	0.229860044129167	0.0462009456576109	0.286558250235812	0.317824324257036	0.264818825457947	0.161809700165198	0.913412813397383	0.972050746531242	0.436301687008714	0.260688215538693	0.512076582446588	0.653419926522432
Intestinal epithelial cell.m	0.821411516234715	0.232663968877977	0.6179676418869	0.8311556479479	0.69924408978526	0.74700413260857	0.391622963462002	0.597074392067656	0.580413074066173	0.328336638207265	0.692566113013948	0.793128700852559	0.657736493833303	0.668826611775091	0.480915806855041	0.445050558091958	0.956409102624127	0.0959882147636426	0.591832056582948	0.163830811187639	0.384137602281191	0.92410838528114	0.282763114762006	0.236691912057797	0.26856111230277	0.594272746103374	0.100733459492935	0.822143276407233	0.0935950189477151	0.115171320730244	0.496292107016154	0.972363912718654	0.970621763660252	0.585526249838245	0.593079579852799	0.886212965114956	0.453181070592066	0.613566357105323	0.336050047258734	0.636395742073285	0.645990274988918	0.54493718846563	0.126350660259406	0.520278529024743	0.0523054806309371	0.12600042291931	0.0858178996926247	0.210282487821585	0.71493755336047	0.420626887976201	0.270941407038726	0.627615641714017	0.559243420118603	0.656334471963844	0.26704017508972	0.0998081024727894	0.914196068993748	0.322739468720331	0.683129352294108	0.551821006259324	0.630498199727996	0.0942083275784112	0.387683365750401	0.359651189126757	0.0808648863041107	0.1971100112251	0.42542214329025	0.689494129508156	0.513026018403422	0.566884785934971	0.633834140866943	0.142208908785573	0.768303320584606	0.698913547781378	0.382750239902678	0.916045863607729	0.562368085578527	0.962575650702453	0.717719604277715	0.330011391739623	0.15323364645762	0.436507978319053	0.475108677377673	0.743539757853833	0.76943931506446	0.517119054557113	0.0726939591349732	0.856647878687144	0.464207871759363	0.0591759141463588	0.390948587250848	0.276690364682148	0.256799192922376	0.159444370517336	0.33094858176317	0.50879314978974	0.893553789286356	0.570498124316143	0.270647835347038	0.294742274147957	0.554592675165284	0.411130137849025	0.564627652618862	0.125812600364102	0.107202374978311	0.247757120623579	0.15490787061779	0.271433500602389	0.417211556793284	0.189728098642453	0.0875294824608881	0.362616025125462	0.761682609751009	0.702121159918314	0.948758589652687	0.124603451475537	0.705989914879063	0.728306015510984	0.665595981074547	0.613863663797192	0.512497843592106	0.421560992934609	0.973257788160476	0.844654141858347	0.859151586685141	0.847921446481153	0.831036232914776	0.911873120475281	0.523717080654755	0.757790891751771	0.485606526797728	0.46588065992715	0.168956338115067	0.0937281642575875	0.299207558989331	0.852285886932166	0.617580364723325	0.655931193828873	0.281874386916121	0.780782347624217	0.378775155903919	0.128232575617502
Gastric epithelial cell.m	0.794656703512154	0.300088913593984	0.390163316395147	0.882511697716567	0.474726086919033	0.597339641988853	0.441281856186234	0.3868127494342	0.576854852321576	0.353968725259211	0.466377986441503	0.644618746107283	0.425190234903875	0.861741389954146	0.18390309218331	0.110335793394856	0.97759278823023	0.131116530145033	0.850963682799225	0.215837031412037	0.559438861705637	0.935017634007358	0.441722759037239	0.590300254157333	0.51461663981256	0.284527119247603	0.147002666371048	0.910852626369225	0.212378457395928	0.244422285813222	0.268517767260939	0.970621763660252	0.986584486178736	0.449334415501124	0.578296480101765	0.912865878187665	0.699989327366906	0.769927105583543	0.242240134121738	0.834145022504363	0.77113779134613	0.258094674335793	0.194695063855525	0.670724844362485	0.117518237702725	0.167119594424044	0.140477719642514	0.250128651253113	0.559760341383168	0.199706673485226	0.171946951902282	0.505484829464812	0.695321673478062	0.864667833586242	0.35964778644337	0.18087148664746	0.927803092061063	0.522786542717328	0.519724558678847	0.344810094651051	0.735547746758206	0.134851388444284	0.499257225141905	0.590014415934599	0.0736677336390413	0.296915037351472	0.601392206164925	0.541915523880153	0.537782468304512	0.664732290610055	0.743457636791344	0.267652393368463	0.890881673134448	0.41531387885419	0.660850361443839	0.90528222634651	0.483964958442255	0.962981166603966	0.536757500684037	0.607615940285136	0.156925013584491	0.49246968460381	0.242285889977369	0.890112020927082	0.588235481127299	0.313856856434292	0.157315297492657	0.830345689997542	0.325361159626213	0.179229075273515	0.742366054623028	0.360783521044307	0.370509554881693	0.182639802306154	0.21227231584675	0.843498388380029	0.928758513971603	0.501441541625608	0.22195774647878	0.244325114748385	0.374665183794658	0.649933594165527	0.73000139669709	0.344978181733703	0.181759196132229	0.398573018559149	0.329561062943372	0.428795705980123	0.413687804176066	0.314502926301309	0.197192638496601	0.518364669626886	0.610044186028219	0.608652765820662	0.967753923065031	0.178859396274446	0.58735305334564	0.570131362179485	0.394564299484178	0.520511069531973	0.483775691681712	0.535388815143874	0.97279626275891	0.873410753738517	0.892354175047368	0.81664629978584	0.768811344883577	0.908775509798718	0.486960541836167	0.756327513721296	0.561849914772372	0.575428391814276	0.511287621147459	0.257248822172087	0.40538694213422	0.868069002529218	0.425786656141318	0.425089604965774	0.470716686384435	0.667190773322726	0.533857043075822	0.26537445855884
Mast cell.m	0.217454251494219	0.311395055137171	0.824230148378267	0.545308890560641	0.849156848664954	0.904260938202381	0.327838561890221	0.821779492250449	0.751447778122198	0.225294088288567	0.873053959206072	0.82885438463284	0.803595381688055	0.191110621261915	0.760701494332556	0.742020260407611	0.457094817458255	0.375746150074789	0.157452025856272	0.341860050209695	0.339672242009861	0.274278019788023	0.157536965916846	0.260480481042231	0.16905185490436	0.814551830452656	0.466518270265081	0.33863056648212	0.223565095441941	0.290216835837056	0.840875612636392	0.585526249838245	0.449334415501124	0.87930749442861	0.765904553582337	0.315211712813866	0.2880720507474	0.391131893591402	0.830140598682989	0.155056965520197	0.50755600954223	0.774262587270099	0.666598893247155	0.587933353692483	0.231447327595158	0.419700125504371	0.213353976706091	0.448639718869888	0.908903813095079	0.708515386366943	0.703995056136176	0.806722382172267	0.240839156275171	0.483004193573739	0.250165707864781	0.171511656412338	0.363777672049018	0.115738615875419	0.716041004079579	0.853320011906194	0.391363798884888	0.380430601367231	0.129997483124375	0.387045270685351	0.30768310666564	0.317450079695759	0.267342249386406	0.831151304721696	0.11517084895189	0.453794894104508	0.395759506738175	0.313940301599826	0.477076532744419	0.847352141153653	0.595325625009598	0.564192069395379	0.757499951509893	0.632756278941789	0.814682420388178	0.592594306348329	0.182965243356643	0.682815941898277	0.787546162329943	0.272445775592419	0.83900778343274	0.79185311138488	0.181468487576785	0.567134080299725	0.874209828271413	0.241142557262019	0.0745855795828862	0.310409253963251	0.413117804007273	0.495611104655254	0.57259569573499	0.262011192240188	0.491005429452641	0.697874827579384	0.872202194481018	0.890571006936252	0.861472748920755	0.194475657669686	0.23433771939174	0.428731887526924	0.431426829703298	0.384082766569168	0.410258018912891	0.392946611807418	0.712828211838474	0.286904404685192	0.162093531512807	0.270389131210428	0.898745930984202	0.915996160783367	0.317587361324191	0.343285988629796	0.876847149279301	0.882783552457707	0.865004738047645	0.866094964605794	0.292755182240051	0.2481369844118	0.504513067919025	0.466894229750277	0.57715746026037	0.608053884448266	0.368876014467833	0.491600654354612	0.26826753200986	0.344225754146952	0.195375168081442	0.28662788549588	0.320770841570849	0.120193069839657	0.154926740037901	0.557605975285564	0.877770934279966	0.878562407288128	0.317256311147307	0.352423914324283	0.281263164244755	0.34489214134425
Erythroblast.m	0.661440418271937	0.508377542740391	0.782904433053537	0.401317049876439	0.761101226631352	0.82430214565678	0.622132565985025	0.632959364487252	0.892593883559524	0.566712404535434	0.708678803718906	0.711563967737836	0.69181436863409	0.786543933881161	0.362510126978843	0.553565506960406	0.650558516710322	0.0659765327323641	0.476134398808006	0.359103790910424	0.371368120448474	0.60611769286606	0.447775248922479	0.168712595519457	0.122885989720349	0.776957867810204	0.395743312432766	0.389277048165455	0.104374823166003	0.105605744409931	0.441682515173856	0.593079579852799	0.578296480101765	0.765904553582337	0.815479526815741	0.411044779002487	0.3252634830662	0.599589423287578	0.710810758085173	0.546385856620486	0.288999039126222	0.66633094857188	0.568680587189608	0.524304718322233	0.13737959122225	0.121641518440513	0.100813257519637	0.58643552149391	0.786011801556955	0.366669107617701	0.27294129620916	0.515553171449459	0.348102774488863	0.167471197649679	0.364159511166998	0.104629265156159	0.398655964212643	0.234767420086659	0.544562239853785	0.613517997369949	0.598339743151353	0.365551167874139	0.147135123119617	0.553899169918309	0.122664564470846	0.463035108143711	0.455116356810086	0.783564262961086	0.332414335372519	0.739155415962217	0.691690606339179	0.213826998673149	0.241635694753246	0.769127363725226	0.191750284675049	0.842748240956029	0.468549860055649	0.570170911399989	0.808707271731304	0.667792224860065	0.10848917529204	0.264162746426089	0.464623825006655	0.24527279567795	0.735111869651142	0.467650513959703	0.116231618517792	0.444266019068466	0.956613738630639	0.138108053135842	0.250862989475765	0.127583189829371	0.571876310063532	0.316823201331427	0.743874481096058	0.0889095255498076	0.604719285481688	0.604286181532188	0.534308647710255	0.519930001713926	0.580133699152427	0.59252878617814	0.696162258932198	0.205248400137387	0.115463421623334	0.253260357031208	0.12308068435947	0.30561536368401	0.83072883976797	0.116882516746167	0.0919692529468379	0.245256681532147	0.668921867760949	0.65437028751394	0.770667819087624	0.121564996065417	0.676477739143112	0.707206434341571	0.573824433042024	0.618196390415124	0.627308516336388	0.517301084420195	0.580624952588859	0.721829459802182	0.793216697791748	0.814367701434753	0.654923382501502	0.679894049591269	0.350428682499178	0.631992568197484	0.268410010426525	0.552868476692361	0.235897982356278	0.198727338055587	0.189476051226618	0.782629270444889	0.753409109206389	0.699323589211357	0.274629388731806	0.523976439131209	0.245051301782062	0.283587702676597
