,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p,29_n,29_p,30_n,30_p,31_n,31_p
41,ENSDARG00000019765,8.468088576335062e-159,ENSDARG00000071573,0.0,ENSDARG00000053493,0.0,ENSDARG00000045843,0.0,ENSDARG00000059246,2.4967576290462008e-203,ENSDARG00000098114,3.854817303845384e-125,ENSDARG00000069135,2.7904000123506326e-144,ENSDARG00000100514,2.3216939561501787e-127,ENSDARG00000009640,1.2373275525591945e-46,ENSDARG00000054164,4.949782299841353e-63,ENSDARG00000056481,1.4868721211980123e-76,ENSDARG00000060199,5.907548130484455e-125,ENSDARG00000053395,3.464425894451008e-250,ENSDARG00000039338,3.130932215608612e-34,ENSDARG00000056803,7.620437476542141e-106,ENSDARG00000020618,2.7354597881087607e-90,ENSDARG00000040861,2.307192041613926e-41,ENSDARG00000096631,3.819038675024505e-266,ENSDARG00000075549,3.922982985850927e-35,ENSDARG00000022303,1.213293296871729e-101,ENSDARG00000021343,3.980763095296091e-33,ENSDARG00000040890,1.0660049179973402e-47,ENSDARG00000055876,1.2847421220373673e-52,ENSDARG00000051888,1.7065998446565792e-45,ENSDARG00000086374,5.162183192020697e-46,ENSDARG00000041397,1.1826069319164695e-24,ENSDARG00000012972,3.665475808259193e-110,ENSDARG00000103101,3.1905415097446337e-115,ENSDARG00000102640,8.745800655529484e-27,ENSDARG00000045886,1.2331161194992601e-22,ENSDARG00000039424,1.7139425166196564e-13,ENSDARG00000036784,5.765173972437536e-16
42,ENSDARG00000091418,2.5608736779919883e-158,ENSDARG00000028327,0.0,ENSDARG00000003938,0.0,ENSDARG00000012244,0.0,ENSDARG00000026908,3.627071598965342e-201,ENSDARG00000014731,1.6619922341003353e-124,ENSDARG00000014914,3.0561202806638635e-144,ENSDARG00000017844,1.4178017348805583e-125,ENSDARG00000054749,2.5009900024671434e-46,ENSDARG00000045364,6.925113464030781e-63,ENSDARG00000053858,1.7056594106926301e-75,ENSDARG00000044420,8.185362243500764e-125,ENSDARG00000014591,1.1606989727809433e-249,ENSDARG00000010717,4.18685196937405e-34,ENSDARG00000104071,1.5156337194030893e-104,ENSDARG00000061436,1.2801546125141097e-89,ENSDARG00000010434,9.658770015450639e-41,ENSDARG00000019487,2.051433945577964e-264,ENSDARG00000052371,5.10238519956373e-34,ENSDARG00000095623,1.9041821728132686e-101,ENSDARG00000020497,4.702462057342916e-33,ENSDARG00000075549,1.1542515587970992e-47,ENSDARG00000101306,1.1463608804727305e-51,ENSDARG00000042319,2.1538973956268618e-45,ENSDARG00000070824,1.7965042412555147e-45,ENSDARG00000104702,4.3276026682000905e-24,ENSDARG00000014591,5.998815342568085e-110,ENSDARG00000019924,3.590426371802379e-115,ENSDARG00000016477,2.815775717017445e-26,ENSDARG00000023766,2.0311098584384217e-22,ENSDARG00000039757,1.723521425485886e-13,ENSDARG00000104702,6.776840503952626e-16
43,ENSDARG00000093549,6.934890252872666e-158,ENSDARG00000012593,0.0,ENSDARG00000029445,0.0,ENSDARG00000103747,0.0,ENSDARG00000055129,4.6972483354501235e-195,ENSDARG00000020625,4.4513318543734665e-122,ENSDARG00000023766,3.3299717152191546e-143,ENSDARG00000041051,2.4983267261281413e-124,ENSDARG00000002168,5.1964103286829825e-46,ENSDARG00000037958,1.9717981166646456e-62,ENSDARG00000028396,4.551164731178582e-75,ENSDARG00000021343,2.59556254722005e-122,ENSDARG00000063341,3.3797909324370294e-245,ENSDARG00000033604,6.632963238205093e-34,ENSDARG00000025977,2.372640254509229e-104,ENSDARG00000003869,1.5886722703351402e-89,ENSDARG00000074989,5.34238231389133e-40,ENSDARG00000024314,9.276506774299293e-262,ENSDARG00000039915,6.249323837577717e-34,ENSDARG00000069135,3.156744874263557e-100,ENSDARG00000001873,2.2316763903948055e-32,ENSDARG00000068262,3.197635103306528e-47,ENSDARG00000054164,1.6753635353132806e-51,ENSDARG00000100114,3.1988499264022295e-44,ENSDARG00000039273,5.1836516236105147e-45,ENSDARG00000057910,5.9890996082304785e-24,ENSDARG00000014366,1.6522483925471786e-108,ENSDARG00000023151,1.5853758374882832e-113,ENSDARG00000056964,4.533718769770644e-26,ENSDARG00000088091,6.813690419299597e-22,ENSDARG00000015343,2.0684633923597393e-13,ENSDARG00000031164,9.694491710358725e-16
44,ENSDARG00000053405,1.630449061246589e-157,ENSDARG00000004785,0.0,ENSDARG00000044431,0.0,ENSDARG00000003641,0.0,ENSDARG00000020298,2.695810076949905e-193,ENSDARG00000100729,2.0763472385378375e-120,ENSDARG00000086391,1.8290405516865062e-138,ENSDARG00000057414,2.5938539001500063e-123,ENSDARG00000002240,1.0212176473419978e-45,ENSDARG00000043757,3.616140222657841e-61,ENSDARG00000028327,2.296867126544683e-73,ENSDARG00000039346,6.793345871304731e-122,ENSDARG00000013475,4.380972479254503e-244,ENSDARG00000012144,3.0573563518721248e-33,ENSDARG00000043757,1.443956644347859e-101,ENSDARG00000037000,4.7046565764483765e-88,ENSDARG00000053194,1.7719042697885606e-39,ENSDARG00000012144,9.347464227947605e-262,ENSDARG00000102798,8.298988400933579e-32,ENSDARG00000038835,1.2312664362468954e-99,ENSDARG00000036820,8.654951943633741e-32,ENSDARG00000070822,5.011467099356166e-47,ENSDARG00000053405,1.8687908478849585e-51,ENSDARG00000055751,6.494140502627334e-43,ENSDARG00000010784,9.69823579787468e-44,ENSDARG00000102100,8.515527146626908e-24,ENSDARG00000005926,1.2424363596233947e-107,ENSDARG00000099918,3.236541448037069e-113,ENSDARG00000023188,4.620935152589446e-26,ENSDARG00000039273,1.038822068596739e-21,ENSDARG00000052966,2.314145193271832e-13,ENSDARG00000098589,2.1611345373907712e-15
45,ENSDARG00000043465,1.748030398462785e-156,ENSDARG00000057414,0.0,ENSDARG00000023151,0.0,ENSDARG00000093549,0.0,ENSDARG00000070686,5.975490087817892e-193,ENSDARG00000043081,5.326308410951279e-120,ENSDARG00000037618,3.2249109335664124e-138,ENSDARG00000043732,3.324213469876252e-123,ENSDARG00000036489,4.1631272259063434e-45,ENSDARG00000011825,4.146613408673041e-61,ENSDARG00000034718,4.227769980203644e-73,ENSDARG00000014506,9.682789296602916e-121,ENSDARG00000042864,6.511312012023743e-244,ENSDARG00000055129,3.848751018410496e-33,ENSDARG00000076554,1.5743675924470076e-101,ENSDARG00000003584,3.275777389018319e-85,ENSDARG00000038154,1.2875552376271314e-38,ENSDARG00000054833,1.3263882702717452e-259,ENSDARG00000009657,1.1623154367973919e-31,ENSDARG00000037188,6.653600529911393e-97,ENSDARG00000024846,9.347997751885326e-32,ENSDARG00000018953,9.338877397117029e-47,ENSDARG00000033539,3.223666620387752e-51,ENSDARG00000010032,1.0843306834908356e-41,ENSDARG00000044753,1.04295965316781e-43,ENSDARG00000074989,4.0795286122546273e-23,ENSDARG00000042864,2.4433739909925674e-107,ENSDARG00000015851,2.3622701605196826e-112,ENSDARG00000027529,7.616137336101114e-26,ENSDARG00000009657,1.5366173333491937e-21,ENSDARG00000071426,2.4983054025459885e-13,ENSDARG00000090194,6.2121407115442874e-15
46,ENSDARG00000023003,6.735327588389964e-156,ENSDARG00000020448,0.0,ENSDARG00000045874,0.0,ENSDARG00000025693,0.0,ENSDARG00000029248,1.0840487931458408e-191,ENSDARG00000075549,1.404655297127839e-118,ENSDARG00000027529,2.1542339669483924e-129,ENSDARG00000054980,4.8990635792892e-122,ENSDARG00000041332,7.33516389582248e-45,ENSDARG00000044753,6.199630379056627e-61,ENSDARG00000076074,1.2981711587439224e-70,ENSDARG00000058597,7.928069681382182e-119,ENSDARG00000057691,1.463426328217795e-243,ENSDARG00000099532,4.350026006355018e-33,ENSDARG00000087457,8.44796655840032e-101,ENSDARG00000019496,1.604433826993895e-83,ENSDARG00000012144,1.3425636871983927e-38,ENSDARG00000103027,2.5324070366534468e-259,ENSDARG00000036820,1.4064539928330792e-31,ENSDARG00000035810,1.909410797192365e-94,ENSDARG00000096829,2.5668686650672803e-31,ENSDARG00000019845,5.01945357110238e-46,ENSDARG00000104071,2.5079789848120257e-50,ENSDARG00000016864,3.78371301137782e-39,ENSDARG00000021346,1.5209933172279623e-43,ENSDARG00000086391,4.754223760314157e-23,ENSDARG00000053493,2.521535196699062e-106,ENSDARG00000079632,6.652197408820525e-112,ENSDARG00000086471,1.6002266597969154e-25,ENSDARG00000055510,2.2158904546067275e-21,ENSDARG00000040192,2.896610877036514e-13,ENSDARG00000014165,6.22834740420851e-15
47,ENSDARG00000008740,3.0323029890547065e-155,ENSDARG00000015759,0.0,ENSDARG00000032129,0.0,ENSDARG00000026865,0.0,ENSDARG00000094557,7.203534907604967e-191,ENSDARG00000043003,7.864315394966238e-118,ENSDARG00000059933,3.0769561535386425e-123,ENSDARG00000057598,8.418855236710035e-121,ENSDARG00000011825,4.955867972158503e-44,ENSDARG00000098700,6.716720157472642e-61,ENSDARG00000061854,1.4179699005643443e-70,ENSDARG00000016477,5.394693641111051e-118,ENSDARG00000070046,7.56538499900437e-241,ENSDARG00000039980,1.1082652721489235e-32,ENSDARG00000027078,8.904273582467901e-101,ENSDARG00000002732,1.432639091254411e-82,ENSDARG00000033604,5.84451653064955e-38,ENSDARG00000012672,1.8162406200012255e-254,ENSDARG00000101622,1.5430470763879455e-31,ENSDARG00000045929,4.167981647618932e-93,ENSDARG00000104495,4.085805748190507e-31,ENSDARG00000014914,1.1625350092595513e-45,ENSDARG00000037618,4.769307781557631e-50,ENSDARG00000052011,5.827848834829046e-37,ENSDARG00000086391,3.0554657568108413e-43,ENSDARG00000052966,5.608425079310552e-23,ENSDARG00000004785,1.2804130136837325e-105,ENSDARG00000028396,1.4984973281250302e-111,ENSDARG00000104702,3.8191154034769384e-25,ENSDARG00000053405,3.317314164625302e-21,ENSDARG00000017676,2.9115149058712834e-13,ENSDARG00000007760,8.977378132686119e-15
48,ENSDARG00000045017,9.54275634399096e-155,ENSDARG00000037229,0.0,ENSDARG00000016871,0.0,ENSDARG00000031952,0.0,ENSDARG00000039390,3.985778455198028e-189,ENSDARG00000040076,3.9662618406864006e-115,ENSDARG00000044613,7.081052320316138e-113,ENSDARG00000089921,1.0387575747959808e-120,ENSDARG00000057910,7.49467943933781e-44,ENSDARG00000037965,6.739297706055103e-61,ENSDARG00000009313,2.8100559264187253e-70,ENSDARG00000070607,1.2169033221573412e-117,ENSDARG00000009640,1.0392028286233166e-235,ENSDARG00000041078,2.1431373915466584e-32,ENSDARG00000019008,1.560620240622423e-100,ENSDARG00000086391,9.719753137976839e-81,ENSDARG00000079688,2.694579703692367e-37,ENSDARG00000054292,4.886788580860786e-254,ENSDARG00000027418,1.7730141601256748e-31,ENSDARG00000027200,7.862519629820423e-89,ENSDARG00000025375,1.1932741953321745e-30,ENSDARG00000056964,1.226699929323385e-44,ENSDARG00000074908,5.53316128424766e-50,ENSDARG00000007760,8.117779377261549e-37,ENSDARG00000011272,4.0768478167537014e-43,ENSDARG00000078653,2.2983119243681967e-22,ENSDARG00000004470,1.8763549891727363e-105,ENSDARG00000103619,2.602767564226088e-111,ENSDARG00000091348,1.5062721353462158e-24,ENSDARG00000075014,6.80496761170364e-21,ENSDARG00000055064,3.5831578344454866e-13,ENSDARG00000006290,1.746286953294794e-14
49,ENSDARG00000104413,3.349978103704028e-154,ENSDARG00000019924,0.0,ENSDARG00000068820,0.0,ENSDARG00000013863,0.0,ENSDARG00000070435,4.888507069316426e-186,ENSDARG00000000796,2.5242400653808524e-113,ENSDARG00000093549,1.1660987480966717e-111,ENSDARG00000004470,6.455186815551333e-116,ENSDARG00000017741,5.240329806814857e-43,ENSDARG00000075549,8.021264945171155e-61,ENSDARG00000102340,9.552611498168133e-67,ENSDARG00000006290,3.096582426439713e-117,ENSDARG00000057414,1.9080087926621236e-235,ENSDARG00000034718,5.744218209773177e-32,ENSDARG00000039273,7.889742120271062e-100,ENSDARG00000039915,1.0559147962959036e-79,ENSDARG00000100114,1.3806673201705951e-36,ENSDARG00000011564,5.4003194698708685e-254,ENSDARG00000003584,2.6548394826982083e-31,ENSDARG00000026865,3.8648445667824353e-87,ENSDARG00000055009,3.9763534178323744e-30,ENSDARG00000100114,7.172993633709533e-44,ENSDARG00000102100,6.676939938913061e-50,ENSDARG00000019033,3.4314674648426015e-36,ENSDARG00000104726,4.912499199291933e-43,ENSDARG00000007130,2.466591406760543e-22,ENSDARG00000025375,3.203070426550192e-104,ENSDARG00000046106,4.1767078130743826e-111,ENSDARG00000074989,2.0228016450364726e-24,ENSDARG00000043287,8.365931196080784e-21,ENSDARG00000021905,3.7031263186964024e-13,ENSDARG00000026369,1.9843528923902188e-14
50,ENSDARG00000036820,1.5584296974379837e-153,ENSDARG00000037962,0.0,ENSDARG00000054980,0.0,ENSDARG00000002731,0.0,ENSDARG00000008735,1.34765625486297e-182,ENSDARG00000041108,1.2910287337664015e-103,ENSDARG00000006514,3.3085604336191363e-111,ENSDARG00000002403,6.133772890857793e-115,ENSDARG00000090213,6.473455324159144e-43,ENSDARG00000024465,1.3922358028136565e-60,ENSDARG00000052728,2.2846596243604988e-66,ENSDARG00000104071,1.4689947679224907e-116,ENSDARG00000020454,7.633293177172886e-235,ENSDARG00000087303,1.5101921651686878e-31,ENSDARG00000070043,2.772465985173088e-99,ENSDARG00000104110,1.0308136705480292e-78,ENSDARG00000000796,1.8520930671069498e-36,ENSDARG00000100083,1.7486133226023963e-253,ENSDARG00000062479,3.431955550741539e-31,ENSDARG00000036456,5.493992963094213e-87,ENSDARG00000019008,5.327936591948849e-30,ENSDARG00000007377,1.1278411505573143e-42,ENSDARG00000061436,1.1721846908627911e-49,ENSDARG00000089877,7.45366735348508e-36,ENSDARG00000054849,2.2771200909870508e-41,ENSDARG00000061436,2.7160009898793897e-22,ENSDARG00000039579,3.836494163466102e-104,ENSDARG00000014591,7.050999214203679e-111,ENSDARG00000055009,4.0911910657787635e-24,ENSDARG00000023217,1.0036832218569424e-20,ENSDARG00000043465,4.1311023911534023e-13,ENSDARG00000039980,2.19065281236051e-14
51,ENSDARG00000039757,2.532183218330234e-153,ENSDARG00000008188,0.0,ENSDARG00000026829,0.0,ENSDARG00000020679,0.0,ENSDARG00000099664,4.0693478611528905e-182,ENSDARG00000019765,4.575968069758072e-100,ENSDARG00000099918,4.36353620641113e-109,ENSDARG00000055504,1.1260155663990653e-113,ENSDARG00000044267,1.1519706047082508e-42,ENSDARG00000036489,1.4650936876469096e-59,ENSDARG00000051888,2.841618185499788e-65,ENSDARG00000092609,3.0329188228012244e-116,ENSDARG00000096668,1.0756036990808596e-234,ENSDARG00000054849,2.8098045845465843e-31,ENSDARG00000103747,9.318268976900233e-99,ENSDARG00000007804,1.0611843454613977e-78,ENSDARG00000037997,7.023073667197702e-36,ENSDARG00000010873,8.663291710516801e-253,ENSDARG00000039208,5.222422805074805e-31,ENSDARG00000031981,2.1720851022173306e-84,ENSDARG00000075549,6.321468805611293e-30,ENSDARG00000096631,3.909916895418135e-41,ENSDARG00000006219,5.475911948250465e-49,ENSDARG00000091348,3.560426613199778e-35,ENSDARG00000074989,5.321170331547596e-41,ENSDARG00000007294,3.7267169770022942e-22,ENSDARG00000057867,1.1383359912623357e-103,ENSDARG00000056831,7.2546224445004e-111,ENSDARG00000004034,5.603221418350683e-24,ENSDARG00000010784,1.2288944399282009e-20,ENSDARG00000007804,4.796180964906174e-13,ENSDARG00000009313,2.610633637948907e-14
52,ENSDARG00000104495,1.285915156263451e-152,ENSDARG00000036995,0.0,ENSDARG00000036754,0.0,ENSDARG00000058593,0.0,ENSDARG00000054300,8.114818589022359e-182,ENSDARG00000007760,2.9438247194690733e-99,ENSDARG00000031952,1.2469466821974963e-108,ENSDARG00000095623,3.784136913899999e-112,ENSDARG00000045399,1.958897218194829e-42,ENSDARG00000053194,4.87770875782407e-59,ENSDARG00000045542,3.074603747976799e-64,ENSDARG00000075709,5.555489821546147e-116,ENSDARG00000037229,2.918550337784674e-233,ENSDARG00000079111,6.1933459814454744e-30,ENSDARG00000009657,1.4181876036967037e-96,ENSDARG00000095627,1.827554372502335e-78,ENSDARG00000006399,3.334201682098556e-35,ENSDARG00000051888,4.0785458391602805e-250,ENSDARG00000028546,1.6113181451718883e-30,ENSDARG00000022315,4.1105912957747266e-84,ENSDARG00000027418,1.0297719853014813e-29,ENSDARG00000091348,1.0230921862372263e-39,ENSDARG00000045017,6.786665285222158e-49,ENSDARG00000024314,7.337517513095959e-35,ENSDARG00000036489,1.0909996885816956e-40,ENSDARG00000044540,4.399150320632105e-22,ENSDARG00000104353,2.1533946030282614e-102,ENSDARG00000008237,2.939785377681158e-110,ENSDARG00000012194,5.8272701460467174e-24,ENSDARG00000039915,1.3989743955092932e-20,ENSDARG00000057910,5.239156034154523e-13,ENSDARG00000022315,2.945640370279831e-14
53,ENSDARG00000011961,1.68459550165595e-152,ENSDARG00000020482,0.0,ENSDARG00000104837,0.0,ENSDARG00000006514,0.0,ENSDARG00000037000,2.2711067737038965e-180,ENSDARG00000009313,3.3040727002730128e-99,ENSDARG00000074989,2.2733422650802267e-105,ENSDARG00000019404,1.3264910960999893e-110,ENSDARG00000039424,3.439520755122079e-42,ENSDARG00000039543,2.361914494406186e-58,ENSDARG00000030957,4.108049733026199e-64,ENSDARG00000021346,6.537669515627922e-115,ENSDARG00000059725,1.8019924441762444e-232,ENSDARG00000071046,1.3579434220914594e-29,ENSDARG00000086374,3.674461806632445e-96,ENSDARG00000042332,2.796843046202302e-78,ENSDARG00000006397,1.7292737344067754e-34,ENSDARG00000075014,1.3928865583362878e-242,ENSDARG00000052377,2.2077697630857914e-30,ENSDARG00000001244,3.79907821164344e-83,ENSDARG00000007867,1.1637268574904366e-29,ENSDARG00000004034,1.1737018063465886e-39,ENSDARG00000045019,7.159101411682302e-49,ENSDARG00000006399,1.1004505749459557e-34,ENSDARG00000057805,1.6339597289900449e-40,ENSDARG00000068156,4.566631731224685e-22,ENSDARG00000102249,1.6418326628739132e-101,ENSDARG00000079687,8.595182540187953e-110,ENSDARG00000008383,5.835091391771028e-24,ENSDARG00000086332,1.945180205607866e-20,ENSDARG00000070050,7.361102580760572e-13,ENSDARG00000056831,4.441602288190167e-14
54,ENSDARG00000022995,3.066582014697968e-151,ENSDARG00000018426,0.0,ENSDARG00000012972,0.0,ENSDARG00000046106,0.0,ENSDARG00000015759,2.6936967369722655e-180,ENSDARG00000063177,3.1125436000026876e-98,ENSDARG00000056964,3.2948281870920143e-104,ENSDARG00000016484,1.0048631065877124e-109,ENSDARG00000068641,6.415445296408546e-42,ENSDARG00000068156,1.1826196964071209e-57,ENSDARG00000059367,1.0710228976434873e-63,ENSDARG00000092954,8.192973836027678e-115,ENSDARG00000101900,1.5384457260174613e-227,ENSDARG00000034616,2.676370864454851e-29,ENSDARG00000043287,8.726779725802364e-96,ENSDARG00000091348,4.674646542032061e-78,ENSDARG00000052728,2.212087700663385e-34,ENSDARG00000077301,1.1716299663815086e-241,ENSDARG00000059816,2.304650940787737e-30,ENSDARG00000002644,5.1513500789938425e-82,ENSDARG00000006915,1.763458821274329e-29,ENSDARG00000027529,2.1642177854684722e-39,ENSDARG00000087303,8.518840573283015e-49,ENSDARG00000100729,3.19524951296431e-34,ENSDARG00000020618,4.586162725562013e-40,ENSDARG00000079688,4.694192480469675e-22,ENSDARG00000039007,1.0913869497798037e-99,ENSDARG00000013382,1.7305005540983518e-109,ENSDARG00000019213,1.404864895415103e-23,ENSDARG00000037618,2.196970057275149e-20,ENSDARG00000033604,1.014923838105626e-12,ENSDARG00000042876,7.137651677677922e-14
55,ENSDARG00000054749,7.720793803557193e-151,ENSDARG00000001244,0.0,ENSDARG00000104173,0.0,ENSDARG00000004060,0.0,ENSDARG00000102640,2.74723331612286e-180,ENSDARG00000100083,9.834977684554742e-98,ENSDARG00000020625,4.562123637846533e-104,ENSDARG00000044299,1.25784518576278e-109,ENSDARG00000013382,6.984539974906553e-42,ENSDARG00000045490,1.3191384141310095e-57,ENSDARG00000070043,1.4184814574424227e-63,ENSDARG00000071426,6.897210946924591e-113,ENSDARG00000045874,5.847929640582914e-225,ENSDARG00000036784,8.912744094158347e-29,ENSDARG00000039915,1.9096595195719515e-95,ENSDARG00000074989,1.3473171336858908e-77,ENSDARG00000069099,2.6288056949071727e-34,ENSDARG00000070686,5.1149361154251754e-241,ENSDARG00000104889,3.338287341676958e-30,ENSDARG00000022280,2.1335705644837687e-81,ENSDARG00000054849,1.9447408817079906e-29,ENSDARG00000043003,5.033435607084996e-39,ENSDARG00000044753,1.5811716026006263e-48,ENSDARG00000022788,4.230930358024575e-33,ENSDARG00000068886,6.0194758220247474e-40,ENSDARG00000037958,9.974815795433261e-22,ENSDARG00000010051,7.324879984078618e-98,ENSDARG00000058041,2.5367697534747345e-108,ENSDARG00000044612,1.8928451271351138e-23,ENSDARG00000019008,2.2339797693912456e-20,ENSDARG00000036820,1.1327548235134885e-12,ENSDARG00000038608,1.379659192191123e-13
56,ENSDARG00000007130,1.9666292418495055e-150,ENSDARG00000037009,0.0,ENSDARG00000034368,0.0,ENSDARG00000029248,0.0,ENSDARG00000076223,3.576951308333594e-180,ENSDARG00000087457,1.1291470526636291e-97,ENSDARG00000102100,4.877016128537924e-103,ENSDARG00000070686,4.201644480346947e-108,ENSDARG00000015088,8.540330213186755e-42,ENSDARG00000039338,1.3749085245760203e-57,ENSDARG00000031228,1.9015932828992236e-61,ENSDARG00000057910,9.703658550804937e-113,ENSDARG00000104173,3.831425047971471e-224,ENSDARG00000003151,3.3633008134390274e-28,ENSDARG00000055876,5.9514792710816125e-95,ENSDARG00000037618,3.3472444766207417e-77,ENSDARG00000054749,5.424475261480969e-34,ENSDARG00000008551,4.704200412541888e-238,ENSDARG00000053047,3.8156757926707455e-30,ENSDARG00000057414,2.391194325067557e-80,ENSDARG00000013628,2.2254266258424812e-29,ENSDARG00000070623,1.2417313375334635e-38,ENSDARG00000089354,1.6106350497560587e-48,ENSDARG00000069464,1.884936721520538e-32,ENSDARG00000057626,1.2567126162960897e-39,ENSDARG00000056122,1.0571005389556616e-21,ENSDARG00000056410,7.846615782113661e-98,ENSDARG00000025554,3.324491025552649e-108,ENSDARG00000045180,2.104189279683613e-23,ENSDARG00000057626,2.32732683543461e-20,ENSDARG00000102100,1.2893881448331316e-12,ENSDARG00000058226,1.5385477142942758e-13
57,ENSDARG00000104071,2.8502867525748965e-150,ENSDARG00000035859,0.0,ENSDARG00000012820,0.0,ENSDARG00000014506,0.0,ENSDARG00000055751,3.4324381364572073e-175,ENSDARG00000062479,1.7924035959041194e-97,ENSDARG00000036820,5.0124207142129095e-101,ENSDARG00000012194,2.0566311937323593e-106,ENSDARG00000016855,1.051260053206631e-41,ENSDARG00000043635,1.3769129398311608e-57,ENSDARG00000099532,2.4267814752138238e-60,ENSDARG00000100789,6.333746287116423e-112,ENSDARG00000088929,5.36715857203419e-224,ENSDARG00000052966,3.4646358582772053e-28,ENSDARG00000052371,6.437153350491086e-95,ENSDARG00000094557,9.711168018748943e-76,ENSDARG00000045886,7.803920447441668e-34,ENSDARG00000086753,9.341952881165035e-233,ENSDARG00000018953,4.273865845386137e-30,ENSDARG00000037895,1.0671812178407543e-77,ENSDARG00000089921,2.9225351355309017e-29,ENSDARG00000041363,1.235473598016583e-37,ENSDARG00000071437,3.2216634876947364e-48,ENSDARG00000003869,5.655094334985279e-32,ENSDARG00000061436,3.979990894274324e-39,ENSDARG00000053405,1.0670668752750498e-21,ENSDARG00000059725,2.5246425519506215e-96,ENSDARG00000026072,1.0011676677845445e-106,ENSDARG00000045017,2.1523508874190486e-23,ENSDARG00000086391,2.6548868407506328e-20,ENSDARG00000054849,1.4941293813097277e-12,ENSDARG00000022340,3.684960133709644e-13
58,ENSDARG00000090560,1.652921298855211e-148,ENSDARG00000052833,0.0,ENSDARG00000057598,0.0,ENSDARG00000031293,0.0,ENSDARG00000016548,6.765334409458081e-175,ENSDARG00000053979,2.4085348410653145e-97,ENSDARG00000033604,1.7941399782755988e-100,ENSDARG00000038608,5.088330030768065e-106,ENSDARG00000002403,1.4022652895583139e-41,ENSDARG00000029064,9.099919026476019e-57,ENSDARG00000037281,5.166373690967271e-60,ENSDARG00000015201,1.2799749613299414e-110,ENSDARG00000014817,1.2395188947927348e-223,ENSDARG00000039915,4.399116738418774e-28,ENSDARG00000008884,9.15615913220382e-95,ENSDARG00000055876,1.3966981224992655e-75,ENSDARG00000067850,8.96369936046167e-34,ENSDARG00000055876,1.126640391244941e-232,ENSDARG00000025977,5.965374900013643e-30,ENSDARG00000041332,1.099497222097022e-76,ENSDARG00000075445,3.068939986539868e-29,ENSDARG00000070161,1.3324230569900438e-36,ENSDARG00000104110,5.487886940114386e-48,ENSDARG00000004060,2.420001926246924e-31,ENSDARG00000102100,6.597036478605244e-39,ENSDARG00000074908,1.7602649894070664e-21,ENSDARG00000003931,3.2288424406640578e-96,ENSDARG00000045146,2.5833524605126993e-105,ENSDARG00000010032,2.4916148025758516e-23,ENSDARG00000002165,4.6369358128106583e-20,ENSDARG00000104110,1.7979955925483633e-12,ENSDARG00000045402,5.161975626355845e-13
59,ENSDARG00000019008,4.380883819795732e-148,ENSDARG00000008407,0.0,ENSDARG00000038768,0.0,ENSDARG00000010246,0.0,ENSDARG00000043465,1.0169240837385418e-174,ENSDARG00000091418,5.859245793353826e-97,ENSDARG00000030463,8.920121808975538e-99,ENSDARG00000012144,5.091835595148723e-106,ENSDARG00000026839,5.141011404200686e-41,ENSDARG00000055837,1.1753215662494402e-56,ENSDARG00000002644,4.449642605790821e-58,ENSDARG00000098972,1.8277973059124762e-110,ENSDARG00000091656,1.5240157988602025e-223,ENSDARG00000012915,5.329191197265303e-28,ENSDARG00000070435,1.0196931637131251e-94,ENSDARG00000055510,9.580070578221332e-75,ENSDARG00000011564,2.6546784589487204e-33,ENSDARG00000032405,1.1502750772461299e-232,ENSDARG00000044613,6.762821021441045e-30,ENSDARG00000014165,4.594128229119423e-74,ENSDARG00000015343,3.4887401909410223e-29,ENSDARG00000058597,1.6296950066332825e-36,ENSDARG00000020298,5.602038428643601e-48,ENSDARG00000036239,1.8955366202492217e-30,ENSDARG00000019732,1.8509219763051083e-38,ENSDARG00000071437,3.02540820998814e-21,ENSDARG00000056481,4.729371363850619e-96,ENSDARG00000012144,4.9342067148346736e-104,ENSDARG00000041078,2.774958682280648e-23,ENSDARG00000076554,7.353058304558395e-20,ENSDARG00000059070,2.1736548134722225e-12,ENSDARG00000103101,6.803106686404984e-13
