,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p
22,WBGene00001007,4.043532425323152e-110,WBGene00004036,3.924198470297739e-40,WBGene00004446,3.688546940875595e-34,WBGene00004046,9.411036898943028e-68,WBGene00006920,7.466879759550864e-77,WBGene00018681,6.359274754295073e-150,WBGene00004424,3.0801658226814805e-110,WBGene00006324,4.122556299366155e-34,WBGene00021831,4.310766261939699e-149,WBGene00003172,1.3511720895221925e-19,WBGene00009812,2.3527264186634805e-14,WBGene00003825,5.5486341265803575e-25,WBGene00021752,1.6085432405359618e-09,WBGene00001073,2.8737823030806678e-15,WBGene00000800,7.444149535390662e-07,WBGene00007242,1.8517053213199029e-84,WBGene00009542,6.171990552835038e-19,WBGene00003951,6.907317752262211e-07,WBGene00000776,7.412099972214875e-05,WBGene00004130,3.3664221592078224e-31,WBGene00000985,6.182860590258629e-12,WBGene00015512,1.5294997389910425e-12
23,WBGene00003062,5.639290458857872e-107,WBGene00021350,3.569885013052409e-39,WBGene00020273,2.339777775493163e-33,WBGene00004951,3.642781378423045e-67,WBGene00005663,9.853347827602606e-77,WBGene00004736,6.559295105582888e-148,WBGene00004492,5.964886414521231e-110,WBGene00004364,6.049528525810965e-34,WBGene00003569,2.4782872154988344e-148,WBGene00010670,2.1037188180774952e-19,WBGene00003772,2.652642725183276e-14,WBGene00004117,6.886935337932502e-25,WBGene00000112,1.93378492581893e-09,WBGene00008480,3.0152754017205593e-15,WBGene00020915,1.0700659811023996e-06,WBGene00003583,3.398954224138997e-84,WBGene00000217,7.483039568621237e-19,WBGene00000102,7.234924389632334e-07,WBGene00006920,7.440544905651875e-05,WBGene00022021,3.875723282221483e-31,WBGene00012354,1.6729362754105503e-11,WBGene00016630,2.0012624249963347e-12
24,WBGene00019673,6.411353781254151e-107,WBGene00004424,4.0245516545411513e-38,WBGene00004036,1.0739665363149293e-32,WBGene00004969,4.494536917086165e-67,WBGene00001130,2.5958315458498313e-76,WBGene00015525,1.1939447546265746e-147,WBGene00004495,8.577984768409803e-109,WBGene00002632,1.026158458693764e-33,WBGene00009534,4.060207032745246e-148,WBGene00004258,2.1062258859936051e-19,WBGene00015470,4.147906052622223e-14,WBGene00002247,1.2855169744682425e-24,WBGene00004445,2.7657338961891406e-09,WBGene00018520,5.4401047885579324e-15,WBGene00020509,1.6181548988911404e-06,WBGene00002891,5.687969321087047e-83,WBGene00004088,8.820483319356214e-19,WBGene00004117,7.640411459947198e-07,WBGene00000367,7.608299552889204e-05,WBGene00003371,4.0030582749716615e-31,WBGene00004267,2.0944655841360873e-11,WBGene00001630,2.4869926477925167e-12
25,WBGene00000292,1.2812644321345098e-106,WBGene00010844,7.803585543980412e-38,WBGene00004479,5.483215593603743e-32,WBGene00013597,6.757190542288102e-67,WBGene00001101,5.40324415011933e-76,WBGene00004358,1.2011375283443435e-139,WBGene00012005,1.8491825362923898e-107,WBGene00001604,1.1739815484189963e-33,WBGene00021753,9.709062312473586e-147,WBGene00044071,2.3628554934744815e-19,WBGene00007666,7.267136882347699e-14,WBGene00009584,1.9773019710214055e-24,WBGene00004433,2.843087907958321e-09,WBGene00004504,7.264668114887086e-15,WBGene00020441,2.394777240803261e-06,WBGene00020092,2.2635943115242115e-82,WBGene00011142,2.4790328448605083e-18,WBGene00016889,9.05028611587265e-07,WBGene00017316,9.74603266274205e-05,WBGene00017045,7.273148910076838e-30,WBGene00014021,2.8479451766596035e-11,WBGene00001574,2.716288539110675e-12
26,WBGene00004266,4.101606656798924e-105,WBGene00020273,4.085764357427063e-37,WBGene00004016,1.1042849175067523e-31,WBGene00019770,3.6773216747650375e-66,WBGene00017316,8.768348762611429e-76,WBGene00001685,5.378452144986626e-137,WBGene00004482,3.841602519876289e-104,WBGene00002048,1.2151112473311338e-33,WBGene00006736,8.131413316141479e-144,WBGene00006498,4.444693092844866e-19,WBGene00006823,8.036462684787638e-14,WBGene00000443,3.2781113192799357e-24,WBGene00002004,5.719665836314813e-09,WBGene00009584,7.717392966880347e-15,WBGene00003086,2.574313019090836e-06,WBGene00000879,5.809830647221109e-81,WBGene00003878,4.369378397254953e-18,WBGene00002038,9.791572633955497e-07,WBGene00007666,0.00010134712949102386,WBGene00000464,9.019947350783835e-30,WBGene00003047,2.8949553018384394e-11,WBGene00004755,2.799792212010479e-12
27,WBGene00000424,3.823870659664739e-103,WBGene00013606,3.812228820687235e-36,WBGene00017929,2.9988071226459433e-30,WBGene00002010,4.245099860537917e-66,WBGene00000367,1.8620579530364675e-74,WBGene00022199,1.5390962774039622e-134,WBGene00006728,1.8611771590046054e-103,WBGene00000982,1.2273373275570606e-33,WBGene00015927,8.908539455032757e-144,WBGene00006777,5.384881863952747e-19,WBGene00015553,8.047614976903181e-14,WBGene00009477,3.600389649095211e-24,WBGene00001843,1.6339957063393837e-08,WBGene00012813,9.217527709358954e-15,WBGene00003947,2.7517428184489943e-06,WBGene00020443,2.5698862258615813e-80,WBGene00000880,5.041979701519111e-18,WBGene00001130,1.0685615426528806e-06,WBGene00021910,0.00011241155470449645,WBGene00008140,3.0555933725160564e-29,WBGene00006772,1.2715923122144745e-10,WBGene00004754,3.478028946318241e-12
28,WBGene00015927,1.687275492135183e-102,WBGene00004410,8.245177211076644e-36,WBGene00001087,7.234989937882752e-30,WBGene00017217,2.525425680000186e-65,WBGene00004788,2.5755850530356873e-73,WBGene00022401,1.6452565612496574e-134,WBGene00004016,3.4996810511379195e-101,WBGene00012497,2.9430794978564673e-33,WBGene00006724,2.747535600525514e-143,WBGene00000982,1.9655521727911294e-18,WBGene00000982,1.9441009132710012e-13,WBGene00000565,6.171426382503474e-24,WBGene00004501,1.6658127027161035e-08,WBGene00002250,1.2017144784647394e-14,WBGene00018520,4.3870471333618265e-06,WBGene00004854,7.628636229777012e-80,WBGene00001745,1.6879039435268298e-17,WBGene00016278,1.3130004570186257e-06,WBGene00006812,0.00013436430881760958,WBGene00007175,8.82441789573537e-29,WBGene00000833,1.55716030471521e-10,WBGene00001101,4.7842985510714025e-12
29,WBGene00003925,2.446118279588708e-100,WBGene00004446,1.5128606556883655e-35,WBGene00004448,2.513554524676454e-29,WBGene00003964,3.5707930283672977e-65,WBGene00003825,3.2331593947105405e-73,WBGene00009628,1.90217280533194e-131,WBGene00001843,6.017089153461313e-100,WBGene00019259,1.0144203196118997e-32,WBGene00020507,7.427392769509595e-142,WBGene00006964,3.065645614123635e-18,WBGene00006932,2.1476175011058203e-13,WBGene00008480,8.338194248495124e-24,WBGene00017929,2.5856879477744518e-08,WBGene00006697,1.368265122091077e-14,WBGene00006932,4.4544534462930516e-06,WBGene00016746,7.63967994227712e-80,WBGene00018330,1.7142779250174223e-17,WBGene00004032,1.4116734827446816e-06,WBGene00007433,0.00015487448966153725,WBGene00020821,1.0064246403753054e-27,WBGene00001094,1.699849943164882e-10,WBGene00009958,1.0562467135095696e-11
30,WBGene00001604,4.2064118877510837e-100,WBGene00003826,4.014961881444554e-35,WBGene00016140,2.5969480005896583e-29,WBGene00006633,3.805164744078154e-65,WBGene00006697,4.145724807177881e-73,WBGene00004682,9.212607519304192e-130,WBGene00004489,1.7090571354918605e-99,WBGene00006840,1.1263463484900025e-32,WBGene00003925,1.0441537369227586e-140,WBGene00011392,4.9351937729742774e-18,WBGene00000294,2.4850975411305056e-13,WBGene00004788,9.596313338369914e-24,WBGene00019770,2.709134081080339e-08,WBGene00004788,1.506133124444704e-14,WBGene00006497,4.46857049168914e-06,WBGene00021327,1.5229177258635127e-79,WBGene00000985,2.4274556296781643e-17,WBGene00006697,1.624754380682747e-06,WBGene00001172,0.0001648464375700298,WBGene00001094,1.1915764804541475e-27,WBGene00000982,1.9040569656977187e-10,WBGene00018890,1.655868835223112e-11
31,WBGene00018891,7.560695830517395e-100,WBGene00017855,8.571044233353701e-35,WBGene00004426,6.304988890421712e-29,WBGene00000996,1.3080969539015245e-64,WBGene00018872,9.638421223827473e-73,WBGene00001983,8.289178139293935e-125,WBGene00004445,5.0728632921977406e-99,WBGene00001172,1.1405211414260886e-32,WBGene00014015,1.3940066216812145e-140,WBGene00003186,5.766244920910216e-18,WBGene00006433,4.001994648169509e-13,WBGene00004458,1.0000570972352376e-23,WBGene00007412,3.97673344386828e-08,WBGene00018890,1.8225485856300413e-14,WBGene00001073,4.597035871216094e-06,WBGene00022400,1.7211858248722223e-79,WBGene00000403,3.3755483897253515e-17,WBGene00006920,1.7092573852263219e-06,WBGene00009958,0.00021065939992563019,WBGene00000777,2.1275976035768044e-27,WBGene00021733,2.1338030934938538e-10,WBGene00015743,4.720966080966348e-11
