,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p
42,WBGene00011106,5.625893042885687e-93,WBGene00000114,1.0848269165446754e-28,WBGene00002045,3.4538100905878434e-24,WBGene00011481,4.3217699361688734e-55,WBGene00013025,4.8945765576023624e-70,WBGene00006801,1.2017831510339897e-109,WBGene00001945,2.825689969195179e-84,WBGene00044071,1.2156638555439196e-28,WBGene00018788,1.368168870935112e-136,WBGene00000403,2.3647379336543364e-16,WBGene00006773,1.1954306639410666e-11,WBGene00004364,8.10904864410379e-23,WBGene00016500,9.29897643615164e-07,WBGene00001130,9.540492934948937e-14,WBGene00009958,2.4972966364375552e-05,WBGene00010878,4.169539539341992e-77,WBGene00000785,1.911686526359181e-15,WBGene00000565,4.802462669441643e-06,WBGene00004389,0.0004688368008261244,WBGene00016879,2.0892907156961024e-25,WBGene00010427,2.2023012328008824e-09,WBGene00000898,1.71542496883261e-09
43,WBGene00000785,1.3697540788221154e-90,WBGene00009452,2.543742143667639e-28,WBGene00013042,8.772795931403613e-24,WBGene00015391,1.7835933315582308e-54,WBGene00009477,2.1852878259741784e-69,WBGene00007027,3.14494489228628e-109,WBGene00001029,2.058628632813094e-83,WBGene00018734,1.6386494757378762e-28,WBGene00019163,1.726026818016433e-136,WBGene00006494,2.79770514294758e-16,WBGene00016716,1.2998482266381271e-11,WBGene00012341,8.448747190308007e-23,WBGene00007617,1.1720418629939339e-06,WBGene00000800,1.2758683249344565e-13,WBGene00004505,2.717208838302605e-05,WBGene00004895,6.595403397923797e-77,WBGene00019333,2.0459157343281405e-15,WBGene00001025,4.900064762690161e-06,WBGene00009477,0.0004720815853996045,WBGene00022199,1.0600580112772142e-24,WBGene00004184,2.4711654669940184e-09,WBGene00022119,1.8357242390420647e-09
44,WBGene00020111,2.1697225347147817e-88,WBGene00001560,1.2113320208380414e-27,WBGene00020441,1.439833706868054e-23,WBGene00011232,2.568385022573334e-54,WBGene00004076,1.1407987627374408e-68,WBGene00003102,9.6600876507009e-109,WBGene00018090,1.9231417600889583e-81,WBGene00003186,1.7204528822796049e-28,WBGene00009267,4.7115387909873e-136,WBGene00004766,3.296818296337226e-16,WBGene00019673,1.3751020006394017e-11,WBGene00005663,1.49807985359994e-22,WBGene00000996,1.8597274963881882e-06,WBGene00004076,1.8131066186818524e-13,WBGene00003825,2.8415541105802474e-05,WBGene00018281,1.3707491097283651e-76,WBGene00013855,2.178402692198397e-15,WBGene00020604,5.550180843356746e-06,WBGene00013557,0.0005240494649436775,WBGene00010844,1.265503651544395e-24,WBGene00010665,2.8717018571585832e-09,WBGene00004032,2.0176302296409372e-09
45,WBGene00005015,2.6610840696094853e-88,WBGene00004409,3.4740080125008354e-26,WBGene00000996,2.15230387081567e-23,WBGene00008345,3.6631104738987145e-54,WBGene00009664,3.0463170584820426e-68,WBGene00008780,9.699795249537612e-108,WBGene00021934,9.538822017122939e-80,WBGene00017423,3.0139064060269643e-28,WBGene00013020,5.095893424753132e-136,WBGene00015301,3.606945678188507e-16,WBGene00004003,4.016688552427892e-11,WBGene00018756,1.6782968917548558e-22,WBGene00020779,2.535995840990352e-06,WBGene00007683,2.427684255374346e-13,WBGene00011116,3.5629956428772587e-05,WBGene00011758,1.375719320024789e-76,WBGene00015064,2.2755365184265827e-15,WBGene00004788,5.810996697167672e-06,WBGene00002162,0.0005359635253258037,WBGene00020507,1.8392946924778443e-24,WBGene00000371,3.2550505012204144e-09,WBGene00008852,2.538964982680861e-09
46,WBGene00003525,8.176511884741619e-88,WBGene00000565,6.966615426593096e-26,WBGene00004447,4.3552298995517683e-23,WBGene00004276,4.1946840068489023e-54,WBGene00004117,5.930011227012713e-68,WBGene00008876,4.19871901244462e-100,WBGene00002261,7.893884598004208e-79,WBGene00004258,1.0481811644384146e-27,WBGene00001709,9.595118022245803e-136,WBGene00018330,1.1655544575942389e-15,WBGene00004910,9.463423996701844e-11,WBGene00015237,1.706941283278319e-22,WBGene00022599,3.616563577845924e-06,WBGene00014151,2.4795199529383574e-13,WBGene00010896,3.858478168504951e-05,WBGene00014218,2.372547833933728e-76,WBGene00015920,2.9991777900916668e-15,WBGene00006801,6.261328208009019e-06,WBGene00001189,0.0005446770680058553,WBGene00008694,2.4803442852116804e-24,WBGene00000379,3.411868651436301e-09,WBGene00009285,2.7420345591705123e-09
47,WBGene00006724,8.682227689003942e-88,WBGene00000879,5.61610571248708e-24,WBGene00010844,6.620697601429501e-23,WBGene00004091,1.5994293031497958e-53,WBGene00018890,7.388358186190588e-68,WBGene00011503,1.3297907995496582e-99,WBGene00020441,4.2463631084182115e-78,WBGene00006964,1.8204165206253e-27,WBGene00003172,1.8514293061123642e-135,WBGene00000277,1.231382832393623e-15,WBGene00002036,9.68770167573484e-11,WBGene00020821,1.8850545698456862e-22,WBGene00004495,3.6711299096899264e-06,WBGene00016117,2.741942051241888e-13,WBGene00012553,4.1909518962947094e-05,WBGene00004085,8.335026448007906e-76,WBGene00012578,3.3473064027368498e-15,WBGene00018520,6.396169939725797e-06,WBGene00015512,0.0005799854486227683,WBGene00044079,3.0313098918498186e-24,WBGene00002036,4.296179063165495e-09,WBGene00006497,2.7606338239816825e-09
48,WBGene00022534,4.534564731188053e-87,WBGene00021697,9.571123854822073e-24,WBGene00000814,2.694880709555498e-22,WBGene00021292,1.0311022837295756e-51,WBGene00000939,1.4466533476513098e-67,WBGene00022358,3.5738165629878464e-98,WBGene00018837,6.558355208937673e-76,WBGene00010130,2.127371563358711e-27,WBGene00010665,3.776013291761195e-135,WBGene00018788,1.3670289669940166e-15,WBGene00021910,1.0199654653689553e-10,WBGene00010641,1.981716032779785e-22,WBGene00004203,4.0861736329386235e-06,WBGene00004117,2.782509835807231e-13,WBGene00004117,5.016725309880284e-05,WBGene00020511,9.891537464830229e-76,WBGene00000183,6.127788793491331e-15,WBGene00009120,7.577194887956984e-06,WBGene00009498,0.0006038731457305622,WBGene00003102,4.4118741727405825e-24,WBGene00015555,5.076900983696058e-09,WBGene00008685,3.3769630777367846e-09
49,WBGene00014011,1.5494048667571153e-86,WBGene00002004,5.732608058035208e-22,WBGene00009452,7.379867500190672e-22,WBGene00020268,1.6311861491568443e-51,WBGene00018756,1.988102140877663e-67,WBGene00016331,6.399114274979585e-97,WBGene00004479,2.7078319276490794e-75,WBGene00000837,3.3368476450017205e-27,WBGene00019827,6.026427445794991e-135,WBGene00013223,2.740621284392953e-15,WBGene00002038,1.4855009972366093e-10,WBGene00012337,2.315420276904308e-22,WBGene00013606,5.37164576119137e-06,WBGene00015512,3.1186535102862717e-13,WBGene00016496,5.075315780332245e-05,WBGene00020447,1.17597590622847e-75,WBGene00021854,6.375482560762487e-15,WBGene00002070,7.838986964999987e-06,WBGene00020854,0.000607238948509295,WBGene00001262,9.701699725404809e-24,WBGene00004363,1.1858003540280895e-08,WBGene00002189,3.6612138761569957e-09
50,WBGene00001331,5.17441911190744e-86,WBGene00001166,5.8838996646342545e-22,WBGene00004499,1.1010961960948916e-21,WBGene00016907,2.2880207021455324e-51,WBGene00004245,3.316945377851352e-67,WBGene00006359,9.410670825985686e-97,WBGene00001030,2.447361077401581e-72,WBGene00018017,4.514147837572177e-27,WBGene00006746,1.488566436204647e-134,WBGene00000837,2.959571037941353e-15,WBGene00007385,2.154165777043411e-10,WBGene00012813,2.362338366505648e-22,WBGene00017724,6.040585258153745e-06,WBGene00004492,3.8509545206382446e-13,WBGene00002036,5.189803600547281e-05,WBGene00003822,1.201253805350065e-75,WBGene00008532,6.473386918008103e-15,WBGene00018187,9.618309281468281e-06,WBGene00000101,0.0006075713717543685,WBGene00001708,9.719708079878978e-24,WBGene00020114,1.2498601188860816e-08,WBGene00006498,3.98259044126279e-09
51,WBGene00020268,5.4802943610824794e-86,WBGene00007617,9.611768372931308e-22,WBGene00004432,2.3916796089110478e-21,WBGene00006373,7.116984696663216e-51,WBGene00016117,6.300998738617905e-67,WBGene00000198,1.6021770361505964e-96,WBGene00000879,5.547198945894669e-72,WBGene00004378,5.045357219019763e-27,WBGene00021346,7.75909212272501e-133,WBGene00021294,5.6664848737543835e-15,WBGene00022425,2.6471945415066325e-10,WBGene00018872,2.484910612044475e-22,WBGene00000371,6.576445252382496e-06,WBGene00002078,5.554652723985599e-13,WBGene00017316,5.2098380368326945e-05,WBGene00003931,1.6687278138541971e-75,WBGene00020268,6.624928093225361e-15,WBGene00003243,9.931562746395581e-06,WBGene00003951,0.0006237283036935445,WBGene00001863,1.233608018598009e-23,WBGene00001909,1.2855355707044966e-08,WBGene00002250,4.664285262019475e-09
52,WBGene00004304,7.370552951824988e-85,WBGene00004448,9.220346407640305e-21,WBGene00002025,4.29163160752424e-21,WBGene00000162,2.546974370345241e-50,WBGene00018426,1.1532717729713366e-66,WBGene00004392,3.0499700406077105e-96,WBGene00001423,4.19623780003291e-71,WBGene00000146,5.313759862457142e-27,WBGene00020111,4.4201607445071766e-132,WBGene00004271,8.784596043505236e-15,WBGene00004266,6.281956764796042e-10,WBGene00018890,2.4928526828309887e-22,WBGene00016140,7.391407859610793e-06,WBGene00016278,6.997141165902529e-13,WBGene00010627,5.4732894402276895e-05,WBGene00000105,9.920198502695133e-75,WBGene00022127,7.397764627779183e-15,WBGene00004091,1.081914864997375e-05,WBGene00010130,0.0006535978089594322,WBGene00000837,1.8522806030988818e-23,WBGene00009116,1.6875614295719178e-08,WBGene00004215,4.7443681023253e-09
53,WBGene00004913,8.501823981645403e-85,WBGene00020441,9.816076500457273e-21,WBGene00012393,1.895000646002289e-20,WBGene00002178,3.990432023812626e-50,WBGene00002038,1.3781808828224038e-66,WBGene00022518,6.758237343535291e-96,WBGene00004447,5.5057074189278175e-71,WBGene00000480,5.4197899896856786e-27,WBGene00014119,7.629642561006113e-132,WBGene00012497,1.0258170682644126e-14,WBGene00004274,8.55826406318965e-10,WBGene00010896,3.4544957834373235e-22,WBGene00004438,1.067152677321802e-05,WBGene00000939,7.74259222049922e-13,WBGene00004479,5.746771847084146e-05,WBGene00012645,1.4334668209588487e-74,WBGene00011559,1.0137079446656028e-14,WBGene00004947,1.1167695662382351e-05,WBGene00006746,0.0006569180559069519,WBGene00012005,1.9629591163983853e-23,WBGene00022425,2.2310222857510285e-08,WBGene00004245,5.918789434943021e-09
54,WBGene00001508,3.355693991033125e-83,WBGene00004203,2.2837020758689004e-20,WBGene00004488,3.184524684047599e-20,WBGene00013308,1.1408308518077383e-49,WBGene00020821,3.139798427587557e-66,WBGene00007969,1.1496409691251796e-94,WBGene00017075,6.491756338704393e-70,WBGene00003172,7.769255111403593e-27,WBGene00004258,8.026382782991633e-132,WBGene00007860,1.5717149770633842e-14,WBGene00012354,1.065200079377767e-09,WBGene00002050,4.044333200432884e-22,WBGene00002178,1.324173354324041e-05,WBGene00020821,8.419484733252088e-13,WBGene00001423,6.134451495180277e-05,WBGene00007706,1.8368829877103312e-74,WBGene00022174,1.2298201050068403e-14,WBGene00001909,1.1399112901708926e-05,WBGene00004364,0.0007676494446640355,WBGene00017016,2.4135764674491966e-23,WBGene00011474,2.860753626236373e-08,WBGene00018681,6.403256388116777e-09
55,WBGene00000542,1.5509937869150048e-82,WBGene00019544,3.1684267430184453e-20,WBGene00018846,2.7737943794767667e-19,WBGene00020181,1.3498813059258271e-49,WBGene00015237,7.840647588746e-66,WBGene00002076,1.1860196040824972e-94,WBGene00011735,7.61597218975748e-69,WBGene00018512,2.7836538220307007e-26,WBGene00019884,1.0387172944110024e-131,WBGene00002202,7.643989156312046e-14,WBGene00008684,1.1780816471765512e-09,WBGene00018426,4.2237471500931637e-22,WBGene00021551,1.76477243659015e-05,WBGene00004755,1.0898860221512098e-12,WBGene00019209,6.318602727140493e-05,WBGene00004015,1.8763360612931386e-74,WBGene00009996,3.076592612955809e-14,WBGene00015237,1.1797888196609223e-05,WBGene00005663,0.000831123889528302,WBGene00019890,4.757131466838851e-23,WBGene00020216,3.5624801296909846e-08,WBGene00009664,8.729276719251398e-09
56,WBGene00013168,2.4139660641402948e-82,WBGene00001087,3.839258814075817e-20,WBGene00020417,4.492746740908814e-19,WBGene00001209,3.2336732742912515e-49,WBGene00013034,7.972464903590332e-65,WBGene00013042,1.3767893209826317e-94,WBGene00001340,7.53128482105636e-68,WBGene00003901,3.4554460687673107e-26,WBGene00004980,2.2305708054855697e-131,WBGene00004788,9.146780763775934e-14,WBGene00006755,1.6272195602712917e-09,WBGene00007683,1.0903359924191372e-21,WBGene00000110,1.9561938608874876e-05,WBGene00003794,1.1834479458208113e-12,WBGene00004788,6.469810854448538e-05,WBGene00013237,4.963748040166143e-74,WBGene00021009,4.175756588779973e-14,WBGene00003156,1.1898236486651607e-05,WBGene00006697,0.0008643362922261003,WBGene00001470,5.871361549951248e-23,WBGene00001172,3.7620264947405485e-08,WBGene00004336,9.370381215226404e-09
57,WBGene00004077,3.533089037815462e-82,WBGene00010813,6.779566176361894e-20,WBGene00015162,1.4560793272465928e-18,WBGene00000896,4.320135473476321e-49,WBGene00021910,8.611485386637404e-65,WBGene00004881,7.515960652919327e-93,WBGene00000114,1.0377890124347698e-67,WBGene00000367,1.0607879858849457e-25,WBGene00001352,1.6047653731063749e-130,WBGene00001620,1.0574026493254458e-13,WBGene00017699,2.3170495850791034e-09,WBGene00001574,1.6067844157371901e-21,WBGene00004489,2.0287284213636134e-05,WBGene00001025,1.2594559768745087e-12,WBGene00016630,7.13391394232058e-05,WBGene00008729,5.2739674093990085e-74,WBGene00004358,4.8372116532499044e-14,WBGene00013667,1.3381797103166432e-05,WBGene00013855,0.0008786036805635692,WBGene00014011,1.2781899370797217e-22,WBGene00000424,4.0639860155778074e-08,WBGene00017686,9.688585501396114e-09
58,WBGene00010055,3.8097252725908794e-82,WBGene00004444,7.724094314878225e-20,WBGene00013606,2.6933581978246876e-18,WBGene00009521,1.205110331240131e-48,WBGene00013969,1.0392025466867233e-64,WBGene00044176,1.3259235986546742e-92,WBGene00010627,1.090208420211055e-67,WBGene00001130,1.1499448702591062e-25,WBGene00013218,9.841876701999815e-130,WBGene00006324,1.0728199671133119e-13,WBGene00000112,5.283663069044489e-09,WBGene00015512,2.128430496051492e-21,WBGene00020417,2.118987280895781e-05,WBGene00009664,1.5870168007080949e-12,WBGene00000565,7.222512383010834e-05,WBGene00016981,3.500593455164276e-73,WBGene00006616,5.316468147069738e-14,WBGene00006788,1.4854534823139501e-05,WBGene00002050,0.0009155135571069855,WBGene00017904,2.5411833432269236e-22,WBGene00004109,4.51789061100125e-08,WBGene00020273,9.914033640117832e-09
59,WBGene00004121,1.0519619767444381e-81,WBGene00010890,1.6373493441735117e-19,WBGene00004444,4.531126923123157e-18,WBGene00001844,1.48723858391724e-48,WBGene00004364,1.813866293052183e-64,WBGene00019890,2.6197602372030737e-92,WBGene00004434,3.286569502798999e-66,WBGene00014208,1.437426231093822e-25,WBGene00001745,4.3748968773287947e-129,WBGene00006801,1.4251371129078858e-13,WBGene00004969,5.422711812912336e-09,WBGene00006932,2.769070372447218e-21,WBGene00011142,2.1914407372135862e-05,WBGene00004364,1.6255139091883144e-12,WBGene00016393,7.35127877504213e-05,WBGene00006713,4.8183656372315865e-73,WBGene00013666,7.61887045281507e-14,WBGene00006932,1.6019076685523624e-05,WBGene00009664,0.000946109039227632,WBGene00018788,3.818501924527589e-22,WBGene00003172,4.570853314001906e-08,WBGene00013732,1.044009376754514e-08
60,WBGene00016846,2.2271368769842665e-81,WBGene00001042,5.710793172439262e-19,WBGene00017724,5.0040868830937386e-18,WBGene00022703,3.702067361881605e-48,WBGene00016889,1.8783194361515118e-64,WBGene00017797,1.3850945256545666e-91,WBGene00020110,1.8776838786017469e-65,WBGene00019018,2.7779943374906406e-25,WBGene00015146,9.369857063649019e-129,WBGene00008502,1.5628438736597496e-13,WBGene00007055,5.5221807013180894e-09,WBGene00009664,4.5709871667556615e-21,WBGene00011897,2.251676135974827e-05,WBGene00018756,1.7769381227857114e-12,WBGene00002077,7.83336138736636e-05,WBGene00003969,6.021857823414447e-73,WBGene00015955,8.625280308862391e-14,WBGene00009958,1.6416265454586538e-05,WBGene00017904,0.000994974097893282,WBGene00017671,4.301671982868793e-22,WBGene00003162,6.040968267667896e-08,WBGene00001177,1.1766114090838726e-08
61,WBGene00010564,2.7869742010402963e-81,WBGene00010231,2.0813705351100242e-18,WBGene00010713,5.901298113973828e-18,WBGene00013317,1.039648524380758e-47,WBGene00001574,7.69587466894143e-64,WBGene00015934,1.8858518600640545e-90,WBGene00001560,5.423443798189964e-65,WBGene00006493,3.532314154566863e-25,WBGene00017423,1.4700121911310148e-128,WBGene00000869,1.6752409410736506e-13,WBGene00013028,6.523940321419156e-09,WBGene00016393,6.3966706333103206e-21,WBGene00004207,2.6440517247384316e-05,WBGene00004245,2.4368481262073495e-12,WBGene00000371,7.965163211424025e-05,WBGene00001229,8.078626575212728e-73,WBGene00014011,9.289159049277292e-14,WBGene00010908,1.8537720202092414e-05,WBGene00019163,0.0010152569739784974,WBGene00017430,4.903939273814039e-22,WBGene00002694,7.023461396640307e-08,WBGene00007175,1.2917944158470194e-08
62,WBGene00013218,6.631966270940281e-81,WBGene00003148,3.647956985548222e-18,WBGene00002261,5.92379675247318e-18,WBGene00020511,6.096657976841233e-47,WBGene00012868,8.547498242406016e-64,WBGene00003821,2.1717776351757213e-89,WBGene00001840,9.483745562722816e-65,WBGene00009116,6.597654023253836e-25,WBGene00008444,1.4800226007827193e-128,WBGene00010097,1.7265813930253177e-13,WBGene00003148,6.687913131908211e-09,WBGene00001258,6.579694177023507e-21,WBGene00021934,2.780058373638903e-05,WBGene00006823,2.6633852376531493e-12,WBGene00016073,8.286366061285318e-05,WBGene00003952,9.732863103263654e-73,WBGene00000480,1.1765795355225e-13,WBGene00021753,1.9086250721106897e-05,WBGene00004130,0.0010236095721408624,WBGene00001177,5.738262794197167e-22,WBGene00006823,8.996104763642221e-08,WBGene00003053,1.3583823168933774e-08
63,WBGene00006460,1.2652626899257461e-80,WBGene00004447,4.047078610992692e-18,WBGene00010813,7.458453075270065e-18,WBGene00010713,3.0787961773900163e-46,WBGene00000800,1.4396109950196643e-63,WBGene00019620,2.7984591502957717e-89,WBGene00021295,1.0059297256541045e-64,WBGene00004744,1.7022188029494834e-24,WBGene00009451,1.783646329403332e-128,WBGene00018017,2.29225554524122e-13,WBGene00003927,6.812162726515458e-09,WBGene00000800,8.978768558444153e-21,WBGene00010878,2.8162306021754154e-05,WBGene00000018,2.9095489754628343e-12,WBGene00004880,8.371575966363528e-05,WBGene00004267,1.4338105428705627e-72,WBGene00006406,1.3570501863270475e-13,WBGene00002250,2.0656719992962423e-05,WBGene00002247,0.0010487957543257914,WBGene00007969,5.990679051321232e-22,WBGene00006479,1.1320381174179709e-07,WBGene00000163,1.4751834083150874e-08
64,WBGene00004752,1.5299362628769375e-80,WBGene00004390,4.584688727858446e-18,WBGene00021934,9.206762123425753e-18,WBGene00010560,3.536281100664097e-46,WBGene00006932,4.785859305271119e-63,WBGene00006575,2.3569180224109007e-87,WBGene00001087,3.76928248372358e-64,WBGene00001748,9.011333102155823e-24,WBGene00013462,3.3227821890513987e-128,WBGene00010908,2.328401798309045e-13,WBGene00011106,9.170520243692003e-09,WBGene00011344,1.0567305965630339e-20,WBGene00003063,3.6068284801518666e-05,WBGene00018872,2.9289104661336014e-12,WBGene00006697,9.737158093301782e-05,WBGene00021004,2.4431626427850394e-72,WBGene00000294,1.7012063427069487e-13,WBGene00020556,2.0876758630912143e-05,WBGene00010975,0.0010605299957860434,WBGene00001627,6.864347486964344e-22,WBGene00002363,1.3217402453025441e-07,WBGene00000776,1.4786036618191225e-08
65,WBGene00018330,6.505747925291461e-80,WBGene00000996,9.568181204175084e-18,WBGene00004203,1.6532518480044545e-17,WBGene00006833,6.4649904274858e-46,WBGene00011344,5.167629897332923e-63,WBGene00012033,1.4753394051332151e-86,WBGene00003367,5.5541419223975586e-64,WBGene00017349,1.7143742146062945e-23,WBGene00011605,4.4901585434282563e-128,WBGene00009628,2.4061293838875735e-13,WBGene00002189,1.0759628437394111e-08,WBGene00010908,1.2283585077472724e-20,WBGene00004493,4.199281778660641e-05,WBGene00012376,3.041380162620056e-12,WBGene00000480,9.923714671295118e-05,WBGene00000894,2.4887671985702076e-72,WBGene00018701,2.1136184215793597e-13,WBGene00014098,2.1693139489227837e-05,WBGene00001909,0.0010762921582027052,WBGene00015955,7.105520648656063e-22,WBGene00000149,1.3922673137241255e-07,WBGene00000376,1.6376513624404034e-08
66,WBGene00016258,1.2390016158899063e-78,WBGene00007175,1.6723886007761234e-17,WBGene00004434,2.469797135102567e-17,WBGene00009246,8.76142710125939e-46,WBGene00012337,6.445851589867841e-63,WBGene00006913,6.2684982636292525e-86,WBGene00013042,1.3389015551466061e-63,WBGene00021073,2.4376744668774086e-23,WBGene00021320,4.131184322610797e-126,WBGene00001172,2.421058153563784e-13,WBGene00002363,1.0839900114514771e-08,WBGene00013034,2.593837152847307e-20,WBGene00004410,4.291907703707033e-05,WBGene00018426,3.209249041133423e-12,WBGene00018877,0.00010627646049688338,WBGene00004207,4.44625244724313e-72,WBGene00004392,2.1648270662876928e-13,WBGene00020854,2.239455749450515e-05,WBGene00001101,0.0011159533735453306,WBGene00022518,8.936722369782636e-22,WBGene00000485,1.5850821454188484e-07,WBGene00014202,1.771982000475676e-08
67,WBGene00010496,1.1293170503884117e-77,WBGene00021934,3.1494802492146877e-17,WBGene00019402,4.246395721620109e-17,WBGene00004189,1.2911610816609141e-45,WBGene00004755,8.531933373322272e-63,WBGene00004272,4.878987592389323e-85,WBGene00021248,3.717325393914411e-63,WBGene00016611,3.16243740747978e-23,WBGene00044061,2.4265024856178227e-125,WBGene00017671,2.6558300203374226e-13,WBGene00011867,1.3638809569271302e-08,WBGene00000376,2.841526189497274e-20,WBGene00006767,4.3277138397414195e-05,WBGene00016393,3.984481518404953e-12,WBGene00001094,0.00011814535790376305,WBGene00020110,4.5097877400207467e-72,WBGene00015809,2.374887256442407e-13,WBGene00006746,2.3285701889911648e-05,WBGene00000201,0.0011706563675584337,WBGene00004879,2.5239688879132964e-21,WBGene00008505,1.5875189847288335e-07,WBGene00012813,1.806067126601634e-08
68,WBGene00018998,1.6557276245211683e-77,WBGene00017929,3.3250076437626964e-17,WBGene00004433,7.764202014702577e-17,WBGene00001335,3.4546964780451867e-45,WBGene00015512,8.879013286370983e-63,WBGene00022021,4.303795431047628e-84,WBGene00009010,7.743825467464257e-63,WBGene00010975,3.706525762141746e-23,WBGene00000071,5.444712115441997e-125,WBGene00008684,2.660611995545059e-13,WBGene00002980,1.6584904864260984e-08,WBGene00002078,2.926282895627166e-20,WBGene00015920,5.4813329496918924e-05,WBGene00012337,4.043046200337561e-12,WBGene00004504,0.00012101461030169829,WBGene00013598,4.602225929019624e-72,WBGene00013218,2.8037425060697505e-13,WBGene00004910,2.4155229789006594e-05,WBGene00000277,0.001185640851780657,WBGene00000403,6.003047203382871e-21,WBGene00002074,1.6692514641735677e-07,WBGene00017004,1.9912517338649582e-08
69,WBGene00016500,2.448552286564621e-77,WBGene00019770,3.649540405506737e-17,WBGene00004501,7.789287174845723e-17,WBGene00006767,1.120640732960363e-44,WBGene00022048,5.92910961642563e-62,WBGene00008006,4.4193748896831544e-82,WBGene00003596,5.627274222941846e-62,WBGene00003066,5.605322174723211e-23,WBGene00004701,6.867633914223736e-125,WBGene00004215,3.58938129094965e-13,WBGene00002074,1.6596409709598414e-08,WBGene00002038,3.746912015641542e-20,WBGene00001526,5.576621398633999e-05,WBGene00015237,4.717211473261896e-12,WBGene00004438,0.00012107822771659379,WBGene00003035,6.705793922233979e-72,WBGene00000072,2.8620452540868323e-13,WBGene00000776,2.6098943005273084e-05,WBGene00010670,0.0012216059494137602,WBGene00007924,1.9026156311443657e-20,WBGene00016630,1.8581839867315626e-07,WBGene00004357,2.2009159346996387e-08
70,WBGene00018319,2.4532455205459506e-77,WBGene00010713,1.0289220998208108e-16,WBGene00022021,8.158313157518613e-17,WBGene00009784,3.237501994081046e-44,WBGene00004032,9.932725002939998e-62,WBGene00021294,5.512590557249914e-82,WBGene00009920,7.818714995191845e-62,WBGene00002980,2.167201379892063e-22,WBGene00015581,9.16291089911278e-125,WBGene00017373,9.059851839320276e-13,WBGene00003047,1.9549330326478736e-08,WBGene00000898,4.347036510896742e-20,WBGene00004423,5.579543700961713e-05,WBGene00010908,4.768611589422751e-12,WBGene00004446,0.00013779500377953316,WBGene00001627,1.2599376411653392e-71,WBGene00004969,2.934373374202688e-13,WBGene00022360,2.630619491435623e-05,WBGene00001025,0.001263105757198024,WBGene00003043,2.4673447430095138e-20,WBGene00020679,2.1076981345811137e-07,WBGene00011146,2.2308848591409256e-08
71,WBGene00011775,2.776152552921238e-77,WBGene00010627,1.1567184402216308e-16,WBGene00000112,9.96077272695313e-17,WBGene00003372,1.2373319362200745e-43,WBGene00010908,1.0479868735850559e-61,WBGene00007186,5.810124180136671e-82,WBGene00018007,2.5397117625907727e-61,WBGene00004884,5.998066525026874e-22,WBGene00021073,2.807368230714805e-124,WBGene00012033,2.748082631691346e-12,WBGene00012983,2.0812780676919693e-08,WBGene00003794,5.433678739178265e-20,WBGene00003596,5.671556409427431e-05,WBGene00019401,9.0206822393514e-12,WBGene00001336,0.0001469325542002313,WBGene00004917,1.940567576505742e-71,WBGene00020462,3.2547552720772237e-13,WBGene00013732,2.6823981062801073e-05,WBGene00006776,0.001294203887398576,WBGene00009267,2.5200709549839563e-20,WBGene00008532,2.1470713838888994e-07,WBGene00006494,2.3288260591709543e-08
72,WBGene00002196,3.261464207420693e-76,WBGene00020297,1.503441411290446e-16,WBGene00010055,1.1268183242780634e-16,WBGene00010736,1.4533927904710696e-43,WBGene00016393,1.0523356390050596e-61,WBGene00006917,1.3288977452962278e-79,WBGene00021697,5.813964814294312e-61,WBGene00002039,6.421204045260136e-22,WBGene00006933,1.522142468551131e-123,WBGene00002048,4.28765714762442e-12,WBGene00000424,2.9968491128252404e-08,WBGene00021910,9.157411213518836e-20,WBGene00013680,6.170207451094632e-05,WBGene00006839,1.1240799534422293e-11,WBGene00004462,0.0001631281649355195,WBGene00020195,3.842017543917527e-71,WBGene00015810,4.051390029515559e-13,WBGene00006575,2.7229636867046228e-05,WBGene00007010,0.0013046567127920825,WBGene00009531,2.582167038058486e-20,WBGene00011775,2.3240977021195272e-07,WBGene00002202,3.418997678832084e-08
73,WBGene00022865,5.89720241122824e-76,WBGene00004463,1.8004395982044645e-16,WBGene00006596,2.1916102136879728e-16,WBGene00021427,1.6211939496743768e-43,WBGene00018187,2.430912127549686e-61,WBGene00010813,2.6871624513075833e-78,WBGene00004203,7.016430856301965e-60,WBGene00001189,6.7181513274568165e-22,WBGene00016846,1.5781992149186354e-123,WBGene00021506,5.062581706411353e-12,WBGene00003162,3.15616756762856e-08,WBGene00016509,9.733802711043786e-20,WBGene00006698,6.918343932359259e-05,WBGene00006932,1.1391912346773845e-11,WBGene00001744,0.0001669239300533224,WBGene00003772,1.438490044392349e-70,WBGene00012896,4.436373158200364e-13,WBGene00000163,2.8162923087799472e-05,WBGene00004268,0.0013618230598065714,WBGene00019883,2.7961043089517305e-20,WBGene00022089,2.6503078709355625e-07,WBGene00012031,3.439423474774518e-08
