,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p
0,WBGene00006783,1.982136189670605e-79,WBGene00006780,2.5672818784559783e-197,WBGene00006789,0.0,WBGene00002007,8.309099353999857e-232,WBGene00001172,2.4834529676607063e-210,WBGene00018976,1.6330959320126685e-87,WBGene00000777,1.2966360507891204e-242,WBGene00019940,2.0084474302882075e-156,WBGene00007186,2.0585065992596184e-166,WBGene00003014,2.248217495857213e-273,WBGene00000606,9.182246111574542e-108,WBGene00009500,1.0801103674974668e-139,WBGene00009978,5.664049540474724e-234,WBGene00000232,4.542243235733915e-101,WBGene00000777,3.8310344772219315e-112,WBGene00006649,8.458652038998393e-191,WBGene00002173,1.7272005789065793e-82,WBGene00006762,2.5154780889651725e-134,WBGene00015632,3.1200441143639063e-106,WBGene00018398,2.1850899390187967e-43,WBGene00001263,6.297894818316923e-82,WBGene00022781,4.10262541459822e-71,WBGene00006767,5.739694694839624e-39,WBGene00011966,1.955442602413041e-23,WBGene00001335,1.781249616259219e-08,WBGene00013038,2.3804957912723505e-09,WBGene00017984,2.5343881229558337e-08
1,WBGene00003001,6.852958887738221e-70,WBGene00006811,3.5048089645794323e-141,WBGene00003893,0.0,WBGene00007067,2.502674212860279e-180,WBGene00001189,2.0510682090296773e-193,WBGene00001210,1.5961037497586003e-61,WBGene00020097,4.123557878903884e-202,WBGene00000479,3.877398970607421e-130,WBGene00000479,3.969872086887987e-163,WBGene00007186,6.564589936851276e-199,WBGene00000240,4.867630274011155e-72,WBGene00006652,3.311390771482665e-118,WBGene00000082,5.651672087014529e-226,WBGene00006784,2.217135517826424e-87,WBGene00000232,3.623706049967251e-101,WBGene00001994,2.4482270183762387e-177,WBGene00000081,1.536065518670783e-79,WBGene00006766,1.9947258758433943e-73,WBGene00015237,1.2195313748641263e-102,WBGene00022593,7.680389653419418e-31,WBGene00003738,5.370517097005857e-80,WBGene00006937,2.5326914330645714e-66,WBGene00000367,1.1501507550962757e-36,WBGene00022350,9.99903519053358e-17,WBGene00000096,4.8876745180792495e-08,WBGene00014078,2.613462965982641e-09,WBGene00001073,5.1779949727170014e-08
2,WBGene00000257,2.5841345638501434e-66,WBGene00006831,8.301127107050884e-126,WBGene00006759,0.0,WBGene00020509,4.9304366869286364e-175,WBGene00022144,1.3165016342220095e-127,WBGene00000228,4.270414669705107e-56,WBGene00001227,6.112532636445419e-187,WBGene00007048,2.6396518322543996e-96,WBGene00022296,1.0878520241585284e-162,WBGene00016957,3.768832745077436e-188,WBGene00000082,6.500224419520427e-50,WBGene00013025,1.6019783813622169e-108,WBGene00004039,6.759338705781808e-226,WBGene00006759,4.581774240996446e-79,WBGene00013038,2.3521823612251097e-83,WBGene00002207,5.8344137704868506e-173,WBGene00011480,6.722425791896752e-79,WBGene00000527,4.6875807587645186e-73,WBGene00003589,8.497147692246958e-72,WBGene00002299,1.9832716337161098e-28,WBGene00002247,6.391693793534205e-69,WBGene00004025,4.2075283094150536e-64,WBGene00006784,5.321156026109425e-36,WBGene00018006,1.0482566196878995e-16,WBGene00020509,1.5923188201610554e-07,WBGene00016739,2.6196662819535697e-09,WBGene00004201,2.133154400032854e-07
3,WBGene00020130,4.3046108401492436e-66,WBGene00006818,2.348715541745778e-124,WBGene00001263,0.0,WBGene00011480,2.5864233532669073e-172,WBGene00006767,7.65621113571149e-125,WBGene00022518,3.999606228101761e-49,WBGene00003001,1.7133804834716586e-185,WBGene00004874,2.1194241859012377e-92,WBGene00008480,4.675978660969621e-162,WBGene00012936,5.194145410648414e-186,WBGene00011232,9.927029609019532e-46,WBGene00009531,1.971070511876381e-91,WBGene00011232,1.8103280412456176e-225,WBGene00006789,4.5708480050576786e-76,WBGene00022144,8.557596324898644e-76,WBGene00003149,3.848009561510563e-170,WBGene00000967,1.0610482044452055e-77,WBGene00006783,7.539878568797816e-68,WBGene00001172,2.7838893273044924e-71,WBGene00018304,3.179690179084951e-28,WBGene00002497,8.143780996630513e-55,WBGene00000082,2.0906259267206096e-62,WBGene00006777,1.3967299634969777e-35,WBGene00022719,6.777556788029558e-16,WBGene00007626,2.6815753143455525e-07,WBGene00019716,3.5617835155289912e-09,WBGene00016333,2.571057767207298e-07
4,WBGene00004793,2.0083970527784465e-65,WBGene00006798,1.2684005609278463e-119,WBGene00004736,2.7885209428125467e-295,WBGene00015168,4.066217793924893e-158,WBGene00006831,1.845338107099965e-114,WBGene00001042,5.1702544162489785e-48,WBGene00000039,8.504084109745794e-177,WBGene00002696,4.736021952976511e-92,WBGene00004315,2.640013822678958e-161,WBGene00009200,4.567988755831386e-176,WBGene00004025,6.94188260489435e-45,WBGene00006921,9.86249840205575e-89,WBGene00022781,2.1827637606391714e-221,WBGene00015632,4.3474252411204e-71,WBGene00010785,1.7316319072970136e-75,WBGene00007980,7.803628167419198e-166,WBGene00003411,2.3646910411727168e-74,WBGene00006798,1.716729522089522e-54,WBGene00006517,4.8078243927092025e-71,WBGene00006505,4.3561144082397974e-27,WBGene00003893,4.82676532271959e-38,WBGene00000253,2.113264126084856e-60,WBGene00022144,1.3321851576214043e-34,WBGene00016151,1.4823590587950947e-15,WBGene00019185,3.3763756640869833e-07,WBGene00000550,3.572968559576391e-09,WBGene00021901,2.611834019031392e-07
5,WBGene00006818,2.6635855269321547e-63,WBGene00004913,9.969228614771651e-116,WBGene00006801,2.7972997412666036e-287,WBGene00006367,4.4695618605262237e-122,WBGene00004719,1.8776431148442697e-112,WBGene00006652,1.5114908440218732e-40,WBGene00001209,2.648406191123726e-174,WBGene00022048,6.581617561739785e-85,WBGene00022350,8.221526233362697e-159,WBGene00003024,5.970489912610298e-176,WBGene00021628,8.497898493204053e-43,WBGene00012203,3.557932756310185e-86,WBGene00016245,3.4088128660041563e-220,WBGene00001263,6.457383289388669e-66,WBGene00020068,4.2445695527697905e-74,WBGene00016508,1.0523873263387364e-162,WBGene00011232,2.212327609739115e-63,WBGene00006811,3.794345551375313e-53,WBGene00003516,1.1215928485282535e-70,WBGene00001512,2.4601144772891727e-23,WBGene00002007,4.285210723565902e-30,WBGene00011232,2.5749763503810444e-60,WBGene00015632,1.3668788279836653e-34,WBGene00011944,2.8934079814235955e-15,WBGene00013011,4.1705187234506355e-07,WBGene00018520,4.417044789479358e-09,WBGene00007186,2.669838445581325e-07
6,WBGene00003570,8.544371721217309e-62,WBGene00006756,1.54009901532758e-114,WBGene00003929,1.5640800853454234e-272,WBGene00004682,3.752613018132703e-108,WBGene00014261,1.405468256853827e-109,WBGene00008571,6.55457365669663e-40,WBGene00022865,1.389268645342788e-166,WBGene00010629,3.084787002241885e-83,WBGene00015635,4.683018168713427e-158,WBGene00022296,5.287496309256131e-175,WBGene00002979,7.933265927847578e-42,WBGene00010130,2.2478322949679736e-73,WBGene00007836,7.088076291950196e-219,WBGene00006801,1.8691225396841053e-63,WBGene00004873,6.115470954692307e-68,WBGene00021800,8.763099425752664e-157,WBGene00019682,1.1448844064291625e-59,WBGene00004921,2.2059441034630637e-52,WBGene00020735,1.4832275115829653e-67,WBGene00006783,7.719706898580004e-21,WBGene00004259,1.343347877840434e-26,WBGene00002010,5.74193539676275e-59,WBGene00001851,4.060874304561037e-34,WBGene00001025,1.3229373162113642e-14,WBGene00012015,4.741098892947689e-07,WBGene00003001,4.604412730697086e-09,WBGene00007554,2.862081454061088e-07
7,WBGene00001512,1.0641119250856428e-61,WBGene00001210,1.3929315062899642e-113,WBGene00002247,3.4960984047853394e-270,WBGene00006652,2.1994741251134212e-103,WBGene00000403,2.6809168873251e-106,WBGene00011760,1.2062397879934338e-36,WBGene00022378,2.710286930036259e-165,WBGene00010785,1.3072377556871047e-80,WBGene00008948,1.6018763529521723e-157,WBGene00009671,4.588779649659044e-174,WBGene00009978,6.125610884875079e-35,WBGene00022518,3.822357786031003e-72,WBGene00000253,1.0336185505345546e-214,WBGene00003567,1.718914141886072e-60,WBGene00015237,3.69248384946696e-66,WBGene00020017,6.06913902282739e-156,WBGene00003738,1.0655097337430053e-57,WBGene00006777,4.0936829722775976e-47,WBGene00022518,2.142336424030952e-67,WBGene00004950,4.4121569652533085e-20,WBGene00000102,3.979954254283569e-26,WBGene00001029,1.0104346511506043e-57,WBGene00004921,5.7292311915984665e-34,WBGene00017777,2.238146324576344e-14,WBGene00002176,5.516965202790372e-07,WBGene00019940,5.2724209613952726e-09,WBGene00010564,3.2485918158297075e-07
8,WBGene00004913,1.8485816449519656e-61,WBGene00004921,2.2922293485074443e-113,WBGene00017065,2.3393988162676637e-237,WBGene00015752,1.6548470420714842e-96,WBGene00008018,1.2496272447398397e-97,WBGene00018304,1.0131053267371711e-34,WBGene00008948,1.0060728670605432e-162,WBGene00004186,1.493408796885377e-79,WBGene00002229,5.508511679997494e-157,WBGene00000479,1.5051601527671648e-170,WBGene00007836,2.3761472221141624e-34,WBGene00004719,2.892629937502566e-66,WBGene00006937,1.4104759795236313e-212,WBGene00004259,3.41171157543979e-55,WBGene00015206,5.945299977211729e-65,WBGene00003516,1.898050808974588e-155,WBGene00007463,1.7119679271125095e-57,WBGene00004719,4.638510608509453e-44,WBGene00015813,2.6985898163501475e-65,WBGene00009120,1.376553452635807e-19,WBGene00006970,1.810219160494792e-22,WBGene00009978,3.2135282609875948e-56,WBGene00000895,2.5135892827575524e-32,WBGene00008151,2.3677057297077295e-14,WBGene00000089,7.681179718957106e-07,WBGene00022296,5.420267783987764e-09,WBGene00017768,4.087918822791601e-07
9,WBGene00001210,3.752627783038786e-59,WBGene00006777,3.8490186238485516e-113,WBGene00018271,9.99453753517432e-211,WBGene00000081,1.303118833621583e-90,WBGene00006818,2.600486990002646e-97,WBGene00008666,6.391183437593469e-32,WBGene00003596,3.9836762252861965e-162,WBGene00002229,1.6441976671012752e-79,WBGene00012936,1.5881260043348798e-155,WBGene00015635,1.3686142972548177e-167,WBGene00006787,5.293715002951901e-32,WBGene00001031,6.023354981857492e-66,WBGene00000039,2.524371465661609e-212,WBGene00000114,4.517092089058085e-46,WBGene00007980,7.919280585938841e-65,WBGene00003163,7.698779971883338e-146,WBGene00014215,4.533879768238033e-53,WBGene00006780,3.65283857007317e-42,WBGene00004091,1.4524747890969875e-60,WBGene00013869,1.8614615317401904e-19,WBGene00000114,7.214192202405379e-21,WBGene00002632,7.281706169062162e-56,WBGene00002175,5.589796951383516e-32,WBGene00001209,7.233163635335709e-14,WBGene00022389,8.97987082464664e-07,WBGene00007000,5.77563742307565e-09,WBGene00015809,4.1040301491409815e-07
10,WBGene00002991,1.8956031618607722e-56,WBGene00001512,3.5797872499214576e-112,WBGene00000114,1.3390817446388494e-189,WBGene00001489,6.264055607901415e-87,WBGene00006756,6.689461318715494e-97,WBGene00006756,7.790848209471985e-32,WBGene00001226,1.9333679387484776e-161,WBGene00015581,3.433171136358267e-79,WBGene00013038,3.3395872428097886e-152,WBGene00022817,1.0602464908198123e-166,WBGene00022856,1.8057419614119328e-29,WBGene00015168,8.2342185263679e-66,WBGene00020301,1.4220440139290643e-211,WBGene00020930,5.003554835786421e-43,WBGene00020017,2.516589797572808e-63,WBGene00021009,1.0042056119731756e-143,WBGene00004875,1.1775456013456583e-46,WBGene00006791,3.9278826279835644e-42,WBGene00022046,1.848174438148137e-60,WBGene00006766,3.8489723880804955e-19,WBGene00021528,6.645469757582141e-19,WBGene00010697,7.485627166868444e-55,WBGene00012828,4.0340379689146835e-31,WBGene00012896,7.314729435248214e-14,WBGene00044061,1.0883640217366413e-06,WBGene00017778,5.954044552724461e-09,WBGene00018890,4.3553140971808707e-07
11,WBGene00020443,1.5086261751964318e-54,WBGene00004364,4.623945106656261e-112,WBGene00013869,1.2766715625761451e-172,WBGene00011815,2.9081640794870037e-83,WBGene00004921,9.018495587181069e-97,WBGene00004682,1.5246715703810665e-30,WBGene00004143,1.4781425680083909e-154,WBGene00000257,2.0012655185820298e-78,WBGene00000872,6.509410687985823e-152,WBGene00013038,7.620965227956292e-165,WBGene00022781,1.094736230530231e-28,WBGene00002299,4.898345989669607e-65,WBGene00006745,4.774663065614093e-208,WBGene00020735,4.5733501919822775e-39,WBGene00011975,3.9672902842725196e-63,WBGene00006975,3.7379464753631156e-140,WBGene00002007,3.8059061440892277e-41,WBGene00022199,1.3788683243572296e-40,WBGene00010778,5.054902959732462e-60,WBGene00020443,1.3705160525214108e-18,WBGene00004140,1.2275372491755012e-18,WBGene00003825,8.914001723488331e-55,WBGene00000403,1.594840857639107e-30,WBGene00000502,9.070037837744868e-14,WBGene00022579,1.3913505689071678e-06,WBGene00001837,6.740106408948952e-09,WBGene00004699,4.49085872497392e-07
12,WBGene00016911,3.9627367961836643e-54,WBGene00002176,7.578113614338425e-112,WBGene00006771,3.7108207644041295e-166,WBGene00000476,1.5441608689286942e-80,WBGene00006780,9.126270138701976e-96,WBGene00013869,4.9401997066535794e-30,WBGene00018161,1.6496369853433852e-150,WBGene00016151,4.621285586014893e-77,WBGene00003001,2.2989515696436774e-151,WBGene00017605,3.478199147037985e-163,WBGene00012713,6.099532733631003e-26,WBGene00013969,5.744541445912139e-65,WBGene00020530,1.7116970632384157e-206,WBGene00010794,1.907564982946057e-36,WBGene00007184,4.659369426383972e-63,WBGene00001029,1.3416814673707509e-138,WBGene00022593,5.957653207550079e-41,WBGene00006745,2.08993188296356e-39,WBGene00016391,1.6777857688400663e-57,WBGene00003570,1.8631862368867073e-17,WBGene00003911,1.393624448283522e-18,WBGene00021312,3.3388944743817093e-53,WBGene00001172,7.262083985106267e-29,WBGene00012097,2.7084029360895395e-13,WBGene00019402,2.2510829278358944e-06,WBGene00000502,7.149912071676866e-09,WBGene00012978,4.825891089827944e-07
13,WBGene00009116,7.435934749122049e-54,WBGene00004793,7.023202894367317e-111,WBGene00006999,1.438189121428904e-164,WBGene00020273,1.1648045351961821e-79,WBGene00002176,7.525545467936808e-90,WBGene00003570,3.5716580199383724e-29,WBGene00022350,6.324371346424042e-150,WBGene00001860,1.3169929329066171e-76,WBGene00020068,2.3642546959254967e-151,WBGene00011503,1.4416251094676493e-162,WBGene00008832,1.0743434319084618e-25,WBGene00007067,1.2626474098606106e-61,WBGene00002632,1.1416842851818105e-205,WBGene00003911,2.445337095564556e-35,WBGene00001172,2.5802161615733016e-62,WBGene00015418,1.0865279373036878e-134,WBGene00004033,1.0931515760485256e-38,WBGene00000092,3.896692421847914e-38,WBGene00016173,3.0217873095816e-57,WBGene00004793,2.799574025212826e-17,WBGene00001490,1.7367681250858293e-18,WBGene00018075,9.407349440119214e-53,WBGene00011352,7.09459613199151e-28,WBGene00016583,3.9020425069137766e-13,WBGene00019620,3.5822853586849045e-06,WBGene00007413,7.271916017782898e-09,WBGene00016151,4.929571050563317e-07
14,WBGene00022199,1.34651722622957e-52,WBGene00006783,9.581554957210036e-111,WBGene00021528,1.5233816174408122e-156,WBGene00004854,4.3812918371772776e-79,WBGene00003570,1.6201916289946998e-84,WBGene00001512,9.976654833613927e-29,WBGene00020068,6.563293073112158e-150,WBGene00017605,1.7223557545223362e-76,WBGene00002075,9.647979825037633e-151,WBGene00004782,2.403397449120033e-159,WBGene00002173,5.353073050303591e-25,WBGene00006920,3.876759626761954e-61,WBGene00020115,1.2309170970082816e-205,WBGene00002007,6.257993918090147e-32,WBGene00016957,5.7429749608737505e-62,WBGene00015168,1.0220933149596977e-132,WBGene00004736,1.885612140233057e-37,WBGene00000367,2.447740067431009e-35,WBGene00012722,3.698576246063512e-57,WBGene00006818,5.1916085890764494e-17,WBGene00015168,1.9162227963856686e-17,WBGene00001815,5.8998409918008815e-52,WBGene00003119,1.5612566233727864e-27,WBGene00000913,1.4051905287828972e-12,WBGene00001025,3.7627030228550613e-06,WBGene00016331,7.677659771318e-09,WBGene00003186,5.178649818365414e-07
15,WBGene00001248,3.663071969131966e-51,WBGene00004719,9.674190227128779e-108,WBGene00018701,7.937989512689406e-154,WBGene00012990,1.7750695026291972e-78,WBGene00006798,9.008537208057628e-79,WBGene00008876,1.6771899847788204e-27,WBGene00010629,3.3131414385964045e-149,WBGene00014011,4.5142662077256395e-72,WBGene00004782,1.0009603868730865e-150,WBGene00003130,6.188172492316745e-158,WBGene00013011,2.0536529319808943e-24,WBGene00018423,2.778629257760401e-59,WBGene00004025,3.3224459807638407e-205,WBGene00016117,1.8852442333767447e-31,WBGene00017075,1.038085533077262e-60,WBGene00020131,1.2627825832352917e-132,WBGene00004759,1.910384974737557e-37,WBGene00011507,2.506729252902789e-35,WBGene00010665,6.554561769081894e-56,WBGene00020130,6.674316233393583e-17,WBGene00020556,7.706175693980323e-17,WBGene00006920,2.914280642035333e-51,WBGene00013768,2.2376890529164875e-27,WBGene00012644,4.356023740125875e-12,WBGene00006467,3.9345866582951995e-06,WBGene00004782,7.872580705207895e-09,WBGene00016235,5.699849358671647e-07
16,WBGene00006746,4.2346396053514673e-51,WBGene00003570,7.014464822930116e-105,WBGene00003567,2.3182376845822408e-150,WBGene00004759,2.994534660052544e-78,WBGene00000895,1.7829325315710046e-78,WBGene00006790,2.3799058782936758e-27,WBGene00021753,4.304863099446673e-148,WBGene00007184,3.6063367455748405e-70,WBGene00001793,2.2947787073561218e-148,WBGene00019940,1.32646389629612e-157,WBGene00001329,1.0290876569499286e-23,WBGene00003567,4.090447145359167e-58,WBGene00016735,6.309529850778641e-196,WBGene00015168,3.788600462336748e-31,WBGene00017686,2.13395365436902e-57,WBGene00018700,1.0563134559089667e-125,WBGene00002979,3.176492427730518e-37,WBGene00002176,6.829709267089375e-33,WBGene00000542,1.8648746375380586e-55,WBGene00001210,4.427495069197408e-16,WBGene00004969,1.0189938282050072e-16,WBGene00004039,3.7333052489682325e-50,WBGene00022817,3.0804065437994543e-27,WBGene00022174,4.943190998508141e-12,WBGene00006811,6.461016444018729e-06,WBGene00008053,7.931178248462513e-09,WBGene00006460,5.78915047616251e-07
17,WBGene00022240,5.2228743364622406e-51,WBGene00021528,1.4256935755002848e-104,WBGene00001116,2.3618725121085113e-146,WBGene00006840,6.2490918622223e-76,WBGene00004364,2.1419415096513865e-78,WBGene00002203,2.936558409209415e-27,WBGene00007591,4.349157758914369e-148,WBGene00017025,9.919780481401162e-70,WBGene00009200,4.396071456707962e-148,WBGene00015581,6.178491392548941e-156,WBGene00006818,3.2510544207928643e-21,WBGene00003858,1.1167650342060247e-55,WBGene00021009,2.7908477023581634e-194,WBGene00015512,4.029980121062712e-31,WBGene00002035,3.3650589347178047e-57,WBGene00003048,2.643091689269601e-120,WBGene00017063,2.656185289065827e-35,WBGene00009503,2.321910619832122e-31,WBGene00003061,7.538386798761402e-55,WBGene00004913,8.869766424418862e-16,WBGene00012907,1.71714336048192e-16,WBGene00013969,1.5535254349933628e-49,WBGene00012644,3.5447996586946445e-27,WBGene00004203,6.116699419632047e-12,WBGene00002178,6.466942215478854e-06,WBGene00001815,8.413327157689479e-09,WBGene00021097,6.096174036758734e-07
18,WBGene00008018,6.950084468826388e-51,WBGene00008018,1.4207315248858377e-96,WBGene00017864,1.4709589630872352e-133,WBGene00013011,7.546271556013809e-76,WBGene00020572,1.3198959302281844e-76,WBGene00000096,3.795588652299891e-27,WBGene00001094,6.330615010876792e-148,WBGene00022296,2.9804664428000853e-69,WBGene00019940,1.4328321431521407e-143,WBGene00017075,6.529187702031111e-156,WBGene00022199,5.680778754177824e-21,WBGene00008571,1.5943545815231073e-55,WBGene00008780,1.469298943910981e-191,WBGene00009452,4.538654656897571e-31,WBGene00011696,6.66798232075935e-57,WBGene00012730,3.4650704771154973e-120,WBGene00001629,5.785778368037772e-35,WBGene00006831,5.073582264507711e-31,WBGene00020930,2.5109013391940735e-52,WBGene00003561,1.2963417296095203e-15,WBGene00021009,5.2082370374026405e-16,WBGene00017480,3.596030019903298e-49,WBGene00000793,5.2996668105480855e-27,WBGene00021660,7.7263638559917e-12,WBGene00016871,7.83115550395885e-06,WBGene00004166,1.0098430628638606e-08,WBGene00021205,6.303405751799291e-07
19,WBGene00013038,1.1117865453801552e-50,WBGene00006767,2.160240104050314e-95,WBGene00006784,9.186776820764235e-120,WBGene00013667,6.269790321676415e-74,WBGene00011352,1.9756170667111317e-72,WBGene00004793,1.9070714989513312e-26,WBGene00022296,7.25781433324366e-147,WBGene00019217,1.9345321431908127e-68,WBGene00015203,1.311196152443585e-142,WBGene00001259,3.731759255095053e-150,WBGene00018304,6.764029937756348e-21,WBGene00018734,5.120343519720652e-55,WBGene00002201,2.0682242188770443e-191,WBGene00022046,4.558607019277583e-31,WBGene00011503,1.7144904899085366e-56,WBGene00015632,1.017050407575457e-119,WBGene00015752,9.218430990707928e-35,WBGene00009100,7.834652159509608e-31,WBGene00002981,7.723177306201305e-52,WBGene00006790,1.7230760574255078e-15,WBGene00019207,4.151063620871749e-15,WBGene00008571,2.1056289101875485e-48,WBGene00007969,1.798274781408575e-26,WBGene00008386,8.891059695455801e-12,WBGene00001116,8.224755202384567e-06,WBGene00019401,1.037651122829234e-08,WBGene00000940,7.342414512861845e-07
20,WBGene00006790,4.281273620544515e-50,WBGene00022240,5.3631602657096846e-95,WBGene00000228,2.080135033495065e-117,WBGene00006746,2.924997983737142e-73,WBGene00012128,2.4082178825537722e-70,WBGene00022240,2.735330488611471e-26,WBGene00015206,1.4580187066581044e-146,WBGene00004873,3.917257713289536e-68,WBGene00014078,1.7471353937035953e-142,WBGene00008948,1.3408070361871243e-149,WBGene00004682,1.9678525796835217e-20,WBGene00000228,1.3632015441044652e-54,WBGene00018734,4.9429768457697996e-188,WBGene00016391,2.3406286554892352e-30,WBGene00004143,2.657815342902873e-55,WBGene00005019,3.251939849420082e-119,WBGene00006783,5.842148238493378e-33,WBGene00017063,1.1539371210103195e-30,WBGene00011352,2.4219393611777403e-51,WBGene00004321,6.2311591782461715e-15,WBGene00004830,2.5240670197091584e-14,WBGene00016162,2.6277580740304736e-48,WBGene00011955,5.535726748821085e-26,WBGene00001224,1.2990573092411996e-11,WBGene00019207,1.459352594322536e-05,WBGene00012097,1.052767151108204e-08,WBGene00015635,7.804885257992932e-07
21,WBGene00003931,6.911538774036058e-50,WBGene00011955,8.617858504677625e-91,WBGene00011474,1.2281577699046549e-110,WBGene00006331,1.0841614226848766e-71,WBGene00004793,3.819439507059779e-64,WBGene00008121,3.839775779563161e-26,WBGene00004039,2.0837310487844992e-145,WBGene00006961,7.261488459330537e-68,WBGene00004143,1.2533137423838575e-141,WBGene00022046,8.91480228422913e-148,WBGene00008571,2.224548675742616e-20,WBGene00006508,3.635645674091179e-54,WBGene00017480,2.2363436515248638e-187,WBGene00015237,1.479137368545298e-29,WBGene00011507,3.0409042149737777e-55,WBGene00001793,5.125831670702238e-116,WBGene00020437,3.579350513728046e-32,WBGene00006784,3.1651582848947184e-30,WBGene00011538,7.476847160474425e-51,WBGene00016911,2.2901251681226462e-14,WBGene00000482,4.547640440474119e-14,WBGene00007836,1.4344283067629704e-47,WBGene00008121,9.060920873333959e-26,WBGene00002066,1.570555226258365e-11,WBGene00018836,1.4701398105583554e-05,WBGene00004259,1.060270742016103e-08,WBGene00018426,9.191872942646634e-07
22,WBGene00017063,6.526637234474804e-49,WBGene00020130,1.2338883207545649e-90,WBGene00007924,1.8367676410733412e-110,WBGene00006410,2.052661591103101e-71,WBGene00001210,4.8427349068242176e-63,WBGene00021528,1.223064323314929e-24,WBGene00018776,1.2108930568909552e-144,WBGene00015203,1.2156326713010222e-67,WBGene00001258,8.048623546877579e-140,WBGene00009103,2.293288729858823e-146,WBGene00000253,2.6765678972618462e-20,WBGene00018756,2.0989173850274776e-52,WBGene00002035,6.566805658886016e-185,WBGene00016966,3.308902041385916e-29,WBGene00012337,2.548753722420642e-54,WBGene00006496,1.8794253831046967e-112,WBGene00020031,9.775727237706182e-31,WBGene00020572,1.6409432316577772e-28,WBGene00000232,1.2617609511887665e-50,WBGene00021528,3.9181973901150315e-14,WBGene00000836,6.117017755806597e-14,WBGene00021660,1.0063702870854688e-46,WBGene00003404,1.5409614934537502e-25,WBGene00001094,2.6208856370731414e-11,WBGene00014215,1.5279192386712634e-05,WBGene00022378,1.1100452999430465e-08,WBGene00019888,9.786864969356245e-07
23,WBGene00003176,7.900099865406542e-47,WBGene00016911,7.075890513470648e-88,WBGene00020735,3.212112302665318e-110,WBGene00002299,4.557366743828186e-70,WBGene00009503,3.387601247265975e-62,WBGene00012015,1.7553969614697233e-24,WBGene00007186,3.250325427959506e-144,WBGene00009200,1.6815461869662935e-66,WBGene00000876,1.2000225073084234e-139,WBGene00003001,4.881729991875801e-146,WBGene00004793,1.7899753839038204e-19,WBGene00020437,1.7069784114932567e-50,WBGene00018700,3.7035726423280844e-184,WBGene00011304,1.1071230967981786e-28,WBGene00018508,6.353405632639198e-54,WBGene00006957,4.0706076377836154e-110,WBGene00019205,3.035039396046419e-30,WBGene00010045,3.4818416481320758e-28,WBGene00000294,4.850137817454451e-50,WBGene00017063,4.5630380575219466e-14,WBGene00012644,8.950149136203734e-14,WBGene00002223,1.2333096380645267e-46,WBGene00000527,2.8462268683843684e-25,WBGene00009671,3.799682912981024e-11,WBGene00012359,1.5364771327940823e-05,WBGene00009126,1.1939601396871282e-08,WBGene00013709,9.944267124788854e-07
24,WBGene00004874,1.5353811981604547e-46,WBGene00000367,5.320738841182701e-87,WBGene00006781,6.179259905531755e-110,WBGene00013506,5.6814471864166906e-70,WBGene00011955,2.7479128870384256e-61,WBGene00004321,2.058629620240022e-24,WBGene00006776,1.9163084675174926e-142,WBGene00020781,4.907268683835229e-66,WBGene00008386,5.298031972288552e-139,WBGene00020068,7.385860231803914e-146,WBGene00012907,4.955914590060826e-19,WBGene00002007,2.566863295809896e-49,WBGene00006407,9.631091066395807e-183,WBGene00019207,1.8886803858575718e-28,WBGene00002039,1.483129716987844e-53,WBGene00001263,4.879985989904453e-97,WBGene00010425,3.5929325041114635e-30,WBGene00007110,6.447443176090777e-27,WBGene00000793,2.0468369779137836e-49,WBGene00001248,4.887250948423038e-14,WBGene00006771,1.2654819042553516e-13,WBGene00017298,1.3753198214476015e-46,WBGene00001189,4.830146002600545e-25,WBGene00011050,4.222627443316559e-11,WBGene00000889,1.789762464421564e-05,WBGene00004461,1.2067015882359526e-08,WBGene00012126,9.979838791824715e-07
25,WBGene00021528,1.8347211084454585e-46,WBGene00017063,1.2445451194503653e-85,WBGene00003404,5.299502910502062e-106,WBGene00000889,2.5743439425558845e-69,WBGene00006777,6.656429444524893e-57,WBGene00002176,2.1664257760954025e-24,WBGene00003961,3.661385019877259e-142,WBGene00015813,8.998094427343258e-65,WBGene00016151,5.382200683316486e-138,WBGene00004143,8.625926443518213e-142,WBGene00013969,5.955606091007464e-18,WBGene00006423,5.1532269622779084e-48,WBGene00009812,8.923100035785911e-181,WBGene00017217,7.4712922188056605e-28,WBGene00003367,1.2591627680511073e-52,WBGene00001488,4.640556602307534e-90,WBGene00002299,4.389998317080904e-30,WBGene00014101,7.168249080627934e-27,WBGene00020031,1.3783039920082752e-48,WBGene00008018,6.899339664236943e-14,WBGene00022201,1.8109662439692548e-13,WBGene00020301,1.7944908638497663e-46,WBGene00000232,1.3426157241297092e-23,WBGene00002075,4.353604183491508e-11,WBGene00017144,1.9317081355175046e-05,WBGene00001365,1.4298209513149456e-08,WBGene00004701,1.1137431215932732e-06
