,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p
82,WBGene00013506,1.1395730501619434e-30,WBGene00013506,8.975261010245576e-37,WBGene00016278,1.3818561543539398e-35,WBGene00015344,1.8493384688692095e-38,WBGene00001116,6.611474320758484e-27,WBGene00006649,9.179643329835341e-16,WBGene00009460,1.4225529598101333e-109,WBGene00000148,1.9807490250494557e-35,WBGene00015206,6.758925848615536e-107,WBGene00020781,1.6467674361672328e-104,WBGene00017065,5.502592483509762e-10,WBGene00019305,2.759880247616794e-25,WBGene00017984,6.629486661293888e-102,WBGene00014078,2.086625760120303e-15,WBGene00021800,9.54477758112816e-37,WBGene00007413,5.0481201321187533e-20,WBGene00017874,2.7275274603121844e-17,WBGene00001335,5.128956712335638e-13,WBGene00003825,3.1747377599166066e-22,WBGene00016735,1.7612354801633156e-07,WBGene00016871,1.2141408172624122e-06,WBGene00003149,1.2405624663443303e-30,WBGene00001512,1.8215103450059503e-08,WBGene00018892,1.143946259528331e-06,WBGene00019163,0.000908674338247125,WBGene00020131,2.0029012319791517e-06,WBGene00003901,2.4786046776970392e-05
83,WBGene00022434,1.3051208928386517e-30,WBGene00017640,9.472632476217467e-37,WBGene00001497,1.8952175927868612e-35,WBGene00006720,2.596830631307121e-38,WBGene00014021,9.09429867883768e-27,WBGene00006746,9.763239961601627e-16,WBGene00003132,4.009955351453839e-109,WBGene00011975,4.463003265707032e-35,WBGene00000777,4.858924489605383e-106,WBGene00007980,9.156390701165137e-104,WBGene00004830,8.354218241700718e-10,WBGene00021507,2.825114218667236e-25,WBGene00003162,1.4648387474561992e-101,WBGene00013025,2.750081774864983e-15,WBGene00012936,1.05709676152859e-36,WBGene00020441,9.62159366000133e-20,WBGene00009177,6.900616054072944e-17,WBGene00006331,5.821557797615058e-13,WBGene00001209,7.527331570686525e-21,WBGene00017640,2.3231690541104045e-07,WBGene00004736,1.7703239813879628e-06,WBGene00011884,2.2036835613170866e-30,WBGene00007055,2.283946558013128e-08,WBGene00000876,1.372354625524865e-06,WBGene00004699,0.0009481333943305653,WBGene00021507,2.0118879317604697e-06,WBGene00000876,2.630552274455095e-05
84,WBGene00013925,1.688051124406591e-30,WBGene00014101,1.615252160031754e-36,WBGene00011935,4.5504005820979757e-35,WBGene00000566,3.5567775914385663e-38,WBGene00004950,1.0813797323866845e-25,WBGene00011935,1.6041634518780587e-15,WBGene00001134,5.437531722619458e-109,WBGene00018609,1.0100275955160666e-34,WBGene00002202,7.6929339393539e-106,WBGene00004762,1.696882971329708e-103,WBGene00002203,1.184540160091203e-09,WBGene00001509,7.935179688321751e-25,WBGene00016170,5.608299151000313e-101,WBGene00004700,5.5803527088043775e-15,WBGene00001336,1.3557924941937468e-36,WBGene00003423,4.1564320175059857e-19,WBGene00000257,7.633921839448678e-17,WBGene00010500,9.057026441750073e-13,WBGene00017480,1.825739079477031e-20,WBGene00009503,2.6619168933815664e-07,WBGene00008444,1.7874334801290335e-06,WBGene00016735,2.4947206499308007e-30,WBGene00006759,1.1006472242635968e-07,WBGene00007110,1.467810753415032e-06,WBGene00013326,0.0009537407329560545,WBGene00006331,2.0547780853642723e-06,WBGene00000377,2.7752442568585154e-05
85,WBGene00022201,3.0618325087247127e-30,WBGene00001377,5.428727684410777e-36,WBGene00022240,5.859171711266385e-35,WBGene00000039,5.10842496527887e-38,WBGene00022201,1.7546170272869057e-25,WBGene00021927,1.9873612799104988e-15,WBGene00017778,1.2586560595420162e-108,WBGene00002075,1.412740127422006e-34,WBGene00003009,2.0918216759967568e-105,WBGene00015512,1.8264742241679023e-102,WBGene00003163,1.6103949948137713e-09,WBGene00018508,1.100965192855393e-24,WBGene00003411,1.2465567316179422e-100,WBGene00017984,7.33027582092655e-15,WBGene00007050,1.2246322489513636e-35,WBGene00006803,4.415766520823196e-19,WBGene00001006,9.335799743987255e-17,WBGene00000403,1.1091230567055606e-12,WBGene00000895,1.876698482946951e-20,WBGene00018187,2.905170899479213e-07,WBGene00001679,1.9019555555425265e-06,WBGene00001160,1.6336426184288345e-29,WBGene00004759,1.2690374352199494e-07,WBGene00000163,1.7337333121226844e-06,WBGene00015512,0.0009641563874620924,WBGene00021538,2.4253195135990232e-06,WBGene00016258,2.8939085360605877e-05
86,WBGene00000836,3.779802795272098e-30,WBGene00022389,1.3253501293534587e-35,WBGene00001078,7.302892545013524e-35,WBGene00010975,6.474335254216816e-38,WBGene00002178,8.67792186352759e-25,WBGene00001132,2.5132234334250838e-15,WBGene00017605,7.213159797376608e-107,WBGene00000419,5.1566385566241275e-34,WBGene00011966,5.1358353280143076e-105,WBGene00018508,2.1031261117430572e-102,WBGene00020443,2.6169996103592967e-09,WBGene00003961,4.1772153778115964e-24,WBGene00001851,4.0811064797633003e-100,WBGene00017855,1.0414981715936357e-14,WBGene00017025,1.992811346337152e-35,WBGene00020391,8.739619798230358e-19,WBGene00007067,1.5085903132345518e-16,WBGene00003818,1.4341734873977753e-12,WBGene00011480,6.981042152063385e-20,WBGene00000407,2.911472317249039e-07,WBGene00000814,1.9127321674791367e-06,WBGene00003162,1.8427537068725925e-29,WBGene00006755,1.2774236050108647e-07,WBGene00018893,1.9764940247937033e-06,WBGene00001747,0.0010192390094688067,WBGene00018008,2.5569218213184216e-06,WBGene00004039,2.929291849254235e-05
87,WBGene00006970,4.862330487201695e-30,WBGene00013011,1.6956030919747633e-35,WBGene00019205,1.998470394479285e-34,WBGene00016321,8.497676328714121e-38,WBGene00009116,1.0229006353080041e-24,WBGene00020572,2.8435080033464895e-15,WBGene00017075,3.3578222038625333e-106,WBGene00003229,6.835641179672252e-34,WBGene00015553,4.874549968979918e-104,WBGene00012337,4.345879145806574e-102,WBGene00012362,2.6392790348638096e-09,WBGene00000542,4.07617145477943e-23,WBGene00012362,9.204878667966457e-100,WBGene00017778,2.953719218583007e-14,WBGene00015326,1.1123900053504602e-34,WBGene00003596,1.0971381990438048e-18,WBGene00019457,1.5231912485760419e-16,WBGene00001648,1.6782823695095188e-12,WBGene00021073,1.2035246357950015e-18,WBGene00000081,3.226947774553556e-07,WBGene00017217,1.9187725043559173e-06,WBGene00012769,3.3355118336094913e-29,WBGene00004758,1.5305796638365082e-07,WBGene00003401,2.1876931870980256e-06,WBGene00012730,0.0011493300974543868,WBGene00022037,2.896448379288462e-06,WBGene00016739,3.0498118354558574e-05
88,WBGene00013869,5.9745115158119804e-30,WBGene00013128,1.8970890647274105e-35,WBGene00010778,3.101910008846423e-34,WBGene00004679,1.5951157250692083e-37,WBGene00012193,1.025209144351084e-24,WBGene00000566,3.5104541190911795e-15,WBGene00003831,3.4411396732648293e-106,WBGene00011338,1.190217999616392e-33,WBGene00011696,4.090271594188688e-103,WBGene00022144,2.561829752363708e-101,WBGene00003182,2.671983383986262e-09,WBGene00013869,4.697626938183269e-23,WBGene00003163,1.5478052470194725e-96,WBGene00021546,3.184940220159596e-14,WBGene00014243,1.9780166292951575e-34,WBGene00004388,2.777682138493469e-18,WBGene00018639,1.744296087887018e-16,WBGene00015691,2.2246080384239897e-12,WBGene00009452,2.6434395456183094e-18,WBGene00004969,3.609132685834135e-07,WBGene00006811,2.2258840132346862e-06,WBGene00021009,3.392952733961758e-29,WBGene00022473,3.265419799229129e-07,WBGene00003132,3.117379593774752e-06,WBGene00007836,0.0012371890473307533,WBGene00021004,2.9233408852310346e-06,WBGene00014218,3.108631974431632e-05
89,WBGene00021926,8.347483955847694e-30,WBGene00022593,2.6283197471756113e-35,WBGene00003931,3.894312742120718e-34,WBGene00010670,2.490278190678354e-37,WBGene00001648,5.209292501887848e-24,WBGene00003516,3.5263358113159032e-15,WBGene00018508,6.17674515213051e-106,WBGene00012896,1.6182476238185063e-33,WBGene00000833,9.408509299887435e-102,WBGene00010406,2.905064646357299e-101,WBGene00013869,2.9254610772225783e-09,WBGene00004755,1.4056590384189266e-22,WBGene00020930,1.563677182395773e-96,WBGene00018271,3.295594059594706e-14,WBGene00012351,2.0645113216872326e-34,WBGene00007836,3.271586763740498e-18,WBGene00006756,2.154904740090732e-16,WBGene00022817,3.141505821471877e-12,WBGene00001426,4.1935946186788956e-18,WBGene00004213,3.643694585043227e-07,WBGene00022279,2.445389996552335e-06,WBGene00008601,4.122930613708479e-29,WBGene00007042,3.2820173093965385e-07,WBGene00002696,5.3870144690042395e-06,WBGene00009479,0.0012645315621314722,WBGene00004315,3.264640599019861e-06,WBGene00002201,3.345275827531565e-05
90,WBGene00010941,1.2146252987192501e-29,WBGene00020530,3.4908439509009093e-35,WBGene00019716,1.6131868203826e-33,WBGene00012362,3.4986185866902473e-37,WBGene00001425,6.340103073321392e-24,WBGene00009116,5.756861975091859e-15,WBGene00011966,3.816554272181763e-105,WBGene00020719,1.6200904514906167e-33,WBGene00006324,1.4162271131048066e-101,WBGene00001815,9.697482268957106e-101,WBGene00001031,3.207927076465786e-09,WBGene00004245,2.5600613653036417e-22,WBGene00001163,1.0548700965233016e-95,WBGene00012351,5.726760178991398e-14,WBGene00007186,2.3699425653738088e-33,WBGene00015206,4.5349276853786505e-18,WBGene00003397,3.452777064496551e-16,WBGene00016278,3.480565516062431e-12,WBGene00000566,4.677220171464447e-18,WBGene00009500,3.689488562260745e-07,WBGene00000092,2.861100777652845e-06,WBGene00018701,5.155267992743751e-29,WBGene00001178,6.27278686488962e-07,WBGene00019629,5.446790901385164e-06,WBGene00015525,0.0012771828722045078,WBGene00003196,3.3384571967988703e-06,WBGene00007980,3.438878724139307e-05
91,WBGene00002497,1.3337108648633474e-29,WBGene00011935,6.038833888301681e-35,WBGene00020208,2.740523223839404e-33,WBGene00004467,6.871470880772934e-37,WBGene00018467,7.710319001359345e-24,WBGene00011344,5.9055356157112134e-15,WBGene00021698,1.4791388398903467e-104,WBGene00006406,1.661164190830723e-33,WBGene00007055,1.6045541649025422e-101,WBGene00011735,1.5081514990243954e-100,WBGene00018639,3.4762750224577902e-09,WBGene00002981,5.612233282058245e-22,WBGene00010697,4.079458220775483e-95,WBGene00001526,5.87737129038195e-14,WBGene00010279,6.1320137029148444e-33,WBGene00007534,1.030333389375092e-17,WBGene00003931,4.0810753185934357e-16,WBGene00016235,6.366347958427663e-12,WBGene00013020,6.7811626539320635e-18,WBGene00021926,4.828944656338461e-07,WBGene00018304,3.0580137988944787e-06,WBGene00009812,5.900261897012867e-29,WBGene00020146,7.627374621465767e-07,WBGene00017004,5.492408754758528e-06,WBGene00001708,0.0014377440860357624,WBGene00002201,3.652328036305639e-06,WBGene00002696,3.4784319855976406e-05
