Sub_Cluster1	Sub_Cluster2	Value
Secretory.z	Epithelial.a	0.627363452466667
Stromal.z	Epithelial.a	0.464830254083333
UnknownB.z	Epithelial.a	0.753653135333333
UnknownH.z	Epithelial.a	0.550518347666667
Endothelial.z	EpithelialA.a	0.714729076
Epithelial.z	EpithelialA.a	0.421781712875
Erythroid.z	EpithelialA.a	0.378706465666667
Hepatocyte.z	EpithelialA.a	0.4440399617
Immune.z	EpithelialA.a	0.468144478961538
Muscle.z	EpithelialA.a	0.488643170538462
Neuron.z	EpithelialA.a	0.466236275166667
Proliferating.z	EpithelialA.a	0.554767762
Secretory.z	EpithelialA.a	0.46871713685
Stromal.z	EpithelialA.a	0.627857198958333
UnknownB.z	EpithelialA.a	0.6675625905
UnknownH.z	EpithelialA.a	0.438125815
Epithelial.a	Epithelial.c	0.829892680555556
EpithelialA.a	Epithelial.c	0.739585477666667
Mesenchyme.a	Epithelial.c	0.571407483962963
MesenchymeA.a	Epithelial.c	0.553671681083333
Muscle1.a	Epithelial.c	0.692904540333333
Muscle.a	Epithelial.c	0.555083709333333
Neuron.a	Epithelial.c	0.398860012611111
NeuronA.a	Epithelial.c	0.560210456
Proliferating.a	Epithelial.c	0.381087597222222
Centrocyte.h	Epithelial.m	0.335279833454545
Dendritic.h	Epithelial.m	0.287800003090909
Endothelial.h	Epithelial.m	0.62891288061039
Epithelial.h	Epithelial.m	0.810965114011364
Erythroid.h	Epithelial.m	0.317801381545455
Hepatocyte.h	Epithelial.m	0.678296594272727
Macrophage.h	Epithelial.m	0.365208334054545
Mast.h	Epithelial.m	0.411076134
Monocyte.h	Epithelial.m	0.393264238727273
Muscle.h	Epithelial.m	0.461415101490909
Myeloid.h	Epithelial.m	0.374197041090909
Neuron.h	Epithelial.m	0.5507542454
Neutrophil.h	Epithelial.m	0.35209624380303
Plasmocyte.h	Epithelial.m	0.557244678590909
Proliferating.h	Epithelial.m	0.563862221045455
Secretory.h	Epithelial.m	0.848628738194805
Stromal.h	Epithelial.m	0.446720902986364
T cell.h	Epithelial.m	0.310946252704545
Epithelial.s	Epithelial.n	0.6836288965
Excretory.s	Epithelial.n	0.817079886
Glia.s	Epithelial.n	0.660770358
Muscle.s	Epithelial.n	0.4962888115
Neuron.s	Epithelial.n	0.618624918
Parenchymal.s	Epithelial.n	0.643185747333333
Phagocytes.s	Epithelial.n	0.738446411
Pharynx.s	Epithelial.n	0.773392369
Proliferating.s	Epithelial.n	0.506639014304348
Secretory.s	Epithelial.n	0.5929223096
Coelomocytes.c	Epithelial.s	0.6973609505
DistalTip.c	Epithelial.s	0.715435724
Epithelial.c	Epithelial.s	0.804802423166667
Excretory.c	Epithelial.s	0.889562059
Glia.c	Epithelial.s	0.85763258575
Muscle.c	Epithelial.s	0.511057306
Neuron.c	Epithelial.s	0.50004657775
Pharynx.c	Epithelial.s	0.832233643333333
Proliferating.c	Epithelial.s	0.4271755962
B cell.m	Epithelial.z	0.5148531293
Cumulus.m	Epithelial.z	0.51619348895
Dendritic.m	Epithelial.z	0.6192307649
Endothelial.m	Epithelial.z	0.492835250975
Epithelial.m	Epithelial.z	0.742923137545455
Erythroid.m	Epithelial.z	0.4017526973375
Hepatocyte.m	Epithelial.z	0.732289221016667
Macrophage.m	Epithelial.z	0.6289845392
Mast.m	Epithelial.z	0.51050902695
Monocyte.m	Epithelial.z	0.551268549175
Muscle.m	Epithelial.z	0.4805394559
Neuron.m	Epithelial.z	0.477053342058333
Neutrophil.m	Epithelial.z	0.4839616789625
ProliferatingEpithelial.m	Epithelial.z	0.5844968174
Proliferating.m	Epithelial.z	0.494100194142857
Secretory.m	Epithelial.z	0.63671621411
Stromal.m	Epithelial.z	0.50545545715
T cell.m	Epithelial.z	0.5298060941125
Centrocyte.h	Erythroid.m	0.740525265
Dendritic.h	Erythroid.m	0.4877309895
Endothelial.h	Erythroid.m	0.256167137464286
Epithelial.h	Erythroid.m	0.353324936265625
Erythroid.h	Erythroid.m	0.8734860440625
Hepatocyte.h	Erythroid.m	0.38066861475
Macrophage.h	Erythroid.m	0.34491242095
Mast.h	Erythroid.m	0.18404042975
Monocyte.h	Erythroid.m	0.5655425855
Muscle.h	Erythroid.m	0.3476013818
Myeloid.h	Erythroid.m	0.724810065375
Neuron.h	Erythroid.m	0.49528635765
