,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p
42,WBGene00004758,8.809668778285556e-20,WBGene00004453,3.5710407101173e-21,WBGene00004087,2.2837000582790807e-10,WBGene00001303,2.381611737138222e-16,WBGene00009334,8.211930225009554e-65,WBGene00000936,1.2118308437490382e-39,WBGene00017350,4.02191702903349e-08,WBGene00001503,1.364571692319633e-30,WBGene00001209,4.938364132486413e-31,WBGene00000854,1.3196788539118775e-12,WBGene00018998,4.985991921476605e-07,WBGene00004182,1.869712364687367e-27,WBGene00004274,0.0006449853623644855,WBGene00001132,0.0028338014625992457,WBGene00019770,0.00028291606023000406,WBGene00018018,2.6032300136515423e-24
43,WBGene00004345,3.313198882376468e-19,WBGene00007053,1.5392993076389875e-20,WBGene00006373,2.444840905140289e-10,WBGene00002065,3.793519067643689e-16,WBGene00015809,1.6259611064980243e-64,WBGene00008948,1.392062248827882e-39,WBGene00004875,4.0458439549270276e-08,WBGene00014095,1.654523228836022e-30,WBGene00020683,1.8879441750347824e-30,WBGene00021629,1.4471942104109495e-12,WBGene00017973,5.114996235464189e-07,WBGene00001209,2.7635162215063098e-27,WBGene00006779,0.0006731112858725461,WBGene00016735,0.0029386892607027692,WBGene00004875,0.00028313738633701146,WBGene00013265,3.497577311981765e-24
44,WBGene00001709,3.823944083176241e-19,WBGene00010419,1.750965289581213e-20,WBGene00015219,2.5167643245043015e-10,WBGene00018533,5.645710238286692e-16,WBGene00018609,1.758453531104455e-64,WBGene00014095,2.977577859751099e-39,WBGene00015064,5.2680761577728536e-08,WBGene00000294,1.8015144153187628e-30,WBGene00007184,9.409176864444819e-30,WBGene00013378,1.9541883997897645e-12,WBGene00004895,5.131731131720052e-07,WBGene00020679,2.1085446046570947e-26,WBGene00020437,0.0006867747142805438,WBGene00012360,0.0033248126679612656,WBGene00004345,0.00028621575623501155,WBGene00022280,3.774908717017854e-24
45,WBGene00020572,6.843313604200804e-19,WBGene00007042,6.646906812609095e-20,WBGene00001089,3.7154636863850707e-10,WBGene00022703,8.241615170543975e-16,WBGene00022301,1.85800648260897e-64,WBGene00009200,5.932986054625563e-39,WBGene00001377,5.975850778030967e-08,WBGene00020696,1.6542139036020386e-29,WBGene00001166,1.2934917793628288e-29,WBGene00006565,2.3215606869066228e-12,WBGene00018281,5.21863370959948e-07,WBGene00020781,6.711806354687471e-26,WBGene00006472,0.0007371132798245122,WBGene00009200,0.0033826538856282585,WBGene00013518,0.0003063262327132364,WBGene00015148,3.82296559228889e-24
46,WBGene00017063,6.930459326718397e-19,WBGene00004443,3.3105281885741996e-19,WBGene00002222,4.629601667213369e-10,WBGene00008546,8.714671135042473e-16,WBGene00020301,4.4322604456178066e-64,WBGene00004182,7.12966991373489e-39,WBGene00015561,6.540466199630204e-08,WBGene00004336,2.918802711879168e-29,WBGene00015501,1.8255464648465516e-29,WBGene00004482,2.4418545531089413e-12,WBGene00022776,5.730536309133337e-07,WBGene00001604,3.4512917450457293e-25,WBGene00006649,0.0010338349358909376,WBGene00018290,0.004028553394829583,WBGene00001484,0.0003231921942326386,WBGene00002005,4.361577294452364e-24
47,WBGene00003153,3.920713129653914e-18,WBGene00003776,6.132251921498988e-19,WBGene00021292,6.675528143040472e-10,WBGene00000182,9.555910918663597e-16,WBGene00006444,4.785193325493575e-64,WBGene00006999,7.734167213045836e-39,WBGene00004184,1.628391601890013e-07,WBGene00022336,3.717979493330566e-29,WBGene00022021,2.1214041173092454e-29,WBGene00006373,2.8951042816841094e-12,WBGene00017063,6.748047682969673e-07,WBGene00012386,4.129254292690578e-25,WBGene00019900,0.0010436687754727246,WBGene00019770,0.006088807409393378,WBGene00015658,0.0003247620876929881,WBGene00021466,4.446663905886928e-24
48,WBGene00022389,4.616980554234778e-18,WBGene00004452,6.612579193826791e-19,WBGene00004919,6.880701191344446e-10,WBGene00007703,1.1479938431374328e-15,WBGene00007110,8.121217767880676e-64,WBGene00000961,3.207084033563425e-38,WBGene00001115,2.226563508079933e-07,WBGene00019760,3.3287844155721953e-28,WBGene00015754,2.199820034057631e-29,WBGene00001043,3.43663384795745e-12,WBGene00008780,7.95158793305804e-07,WBGene00011867,4.354350266266124e-25,WBGene00000833,0.001156242233993959,WBGene00013595,0.006376500611137048,WBGene00022776,0.0003304516718299783,WBGene00015418,5.828871221400766e-24
49,WBGene00001844,5.869111817150816e-18,WBGene00004204,9.179518011627326e-19,WBGene00004254,7.004142101075213e-10,WBGene00011502,1.6601623373555518e-15,WBGene00004109,1.2181765686909538e-63,WBGene00011474,3.3230847674525353e-38,WBGene00000407,2.539660555308428e-07,WBGene00000833,6.126060139946544e-28,WBGene00016650,3.4430287506247305e-29,WBGene00014051,6.176458338331003e-12,WBGene00022176,8.923259749352822e-07,WBGene00000366,2.1076994464022833e-24,WBGene00003172,0.001212390795389782,WBGene00020389,0.007139454206216245,WBGene00001335,0.00036748956934498287,WBGene00013135,7.763446500608944e-24
50,WBGene00003969,1.0485398407351434e-17,WBGene00012896,2.0678509206533357e-18,WBGene00011261,7.832374764454622e-10,WBGene00000875,3.4929148438292804e-15,WBGene00017137,2.2769470591076733e-63,WBGene00001748,6.746794858922979e-38,WBGene00001177,3.1252326004023927e-07,WBGene00007463,9.383403302495352e-27,WBGene00003034,6.859416393933861e-29,WBGene00022089,8.242168686007492e-12,WBGene00000906,9.996389104942995e-07,WBGene00006936,1.1568159493044957e-23,WBGene00007055,0.0017127151559423813,WBGene00001171,0.007731052011190791,WBGene00021208,0.0003870851054741743,WBGene00002215,9.347793290085802e-24
51,WBGene00001490,4.2780345862245894e-17,WBGene00004302,2.577096486785697e-18,WBGene00018788,8.328752918541269e-10,WBGene00011717,4.293635606760244e-15,WBGene00019890,5.106704114338417e-63,WBGene00001132,2.2334924584517923e-37,WBGene00001844,3.487068983935091e-07,WBGene00000230,3.717923824906596e-25,WBGene00013766,7.879910191162219e-29,WBGene00008311,8.955252181703094e-12,WBGene00022647,1.1310519620182483e-06,WBGene00006920,2.2337771248404762e-23,WBGene00022793,0.0017273678504090581,WBGene00019305,0.008847393275918616,WBGene00021444,0.00046362769431863745,WBGene00001707,9.585210488627033e-24
