,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p
68,WBGene00001746,3.581132227320005e-14,WBGene00022388,4.447955963018515e-14,WBGene00003196,8.624506087436398e-09,WBGene00003123,1.077293646815711e-12,WBGene00010966,4.2903540398795614e-58,WBGene00012497,2.4308511429240623e-34,WBGene00004969,2.364230879642951e-06,WBGene00006601,4.778314297844213e-19,WBGene00011696,2.3213375412870853e-25,WBGene00012796,2.2363457781227744e-10,WBGene00001115,6.297789339467716e-06,WBGene00001173,3.0567528907396794e-20,WBGene00021420,0.008555783007398345,WBGene00020092,0.027227990244468616,WBGene00004831,0.0013214729963210517,WBGene00022391,7.085644947063452e-22
69,WBGene00006770,6.808575127243985e-14,WBGene00001094,4.730833457767311e-14,WBGene00012193,9.255979736673627e-09,WBGene00001031,1.1553580448273342e-12,WBGene00004467,5.84186696826111e-58,WBGene00015350,3.0999223165931834e-34,WBGene00015470,3.6861802681366217e-06,WBGene00004980,1.3073694945635831e-18,WBGene00015470,2.4723187727093768e-25,WBGene00019821,2.4767065253219237e-10,WBGene00019830,6.804928079889576e-06,WBGene00019830,3.340434549842393e-20,WBGene00006367,0.010709919187409683,WBGene00004271,0.028683063625225873,WBGene00018639,0.001335932593752842,WBGene00001708,1.3328987126964663e-21
70,WBGene00021185,8.691202011605189e-14,WBGene00007027,4.7834083869017623e-14,WBGene00016968,1.6093777577013045e-08,WBGene00020556,1.165543235588637e-12,WBGene00007055,5.873300638585851e-58,WBGene00000776,3.1384707286723768e-34,WBGene00000071,4.080756008968465e-06,WBGene00011015,1.7910861138583613e-18,WBGene00016140,3.0273370588440507e-25,WBGene00002162,3.1128179763543276e-10,WBGene00016981,6.849321373648233e-06,WBGene00017063,3.475824996710759e-20,WBGene00010419,0.011190263073592199,WBGene00012359,0.02878104967730968,WBGene00003404,0.0015127782351343848,WBGene00008006,1.371555344288782e-21
71,WBGene00004831,1.9421748252102697e-13,WBGene00001226,4.786066933793925e-14,WBGene00019726,1.841392518764892e-08,WBGene00001559,1.7769037436243612e-12,WBGene00016735,1.379512034361012e-57,WBGene00004462,3.4876474430188983e-34,WBGene00016415,4.731589397820279e-06,WBGene00021800,2.6783535066769155e-18,WBGene00014204,6.363388453247693e-25,WBGene00010040,3.1295151538512683e-10,WBGene00016918,7.211977186188145e-06,WBGene00002979,3.810269746453175e-20,WBGene00000086,0.011219752959228455,WBGene00006803,0.029237689746112128,WBGene00009436,0.0015584368087817261,WBGene00009672,1.3804834667458904e-21
72,WBGene00000996,2.058162479500219e-13,WBGene00001166,5.2727737539292815e-14,WBGene00022279,1.8896521533702245e-08,WBGene00011775,2.2646608759340386e-12,WBGene00020770,1.816856450721932e-57,WBGene00006508,3.5386863012126618e-34,WBGene00019770,6.042408743650574e-06,WBGene00007330,3.2447815316604976e-18,WBGene00021208,7.001669215443367e-25,WBGene00020301,3.447034939032555e-10,WBGene00004277,8.69697008069162e-06,WBGene00002295,4.6259768200684607e-20,WBGene00022089,0.011564137178516384,WBGene00001082,0.029264386935795184,WBGene00000071,0.0018265767905970992,WBGene00000961,1.711164818097252e-21
73,WBGene00015561,2.501658132748659e-13,WBGene00004448,7.197116185133394e-14,WBGene00006702,1.8975679602393564e-08,WBGene00021425,2.3056560979056206e-12,WBGene00007235,2.4954687422445544e-57,WBGene00022727,9.572217818239804e-34,WBGene00004045,6.260949043716093e-06,WBGene00012553,4.078773694772922e-18,WBGene00008053,1.3107873063671396e-24,WBGene00006563,3.8643875480366547e-10,WBGene00013217,9.32099436148288e-06,WBGene00000188,7.000224839305061e-20,WBGene00003048,0.012474979893298542,WBGene00003969,0.03105934105273485,WBGene00010736,0.0018936480372077275,WBGene00008143,1.8587262070127336e-21
74,WBGene00000156,1.1106730980064407e-12,WBGene00000396,1.6473654540265182e-13,WBGene00020169,2.4293276294256652e-08,WBGene00016583,2.5264143575374063e-12,WBGene00006937,4.274280936534831e-57,WBGene00002855,1.0235245559294302e-33,WBGene00016981,6.43550735324297e-06,WBGene00000371,9.290725771617834e-18,WBGene00016170,4.440868497274155e-24,WBGene00003048,4.0931915799264743e-10,WBGene00015064,9.381519531199628e-06,WBGene00011729,1.4007807501447582e-19,WBGene00006444,0.013997820873034968,WBGene00012204,0.032584136318102516,WBGene00004913,0.0020846563322260638,WBGene00000228,1.9282102824238333e-21
75,WBGene00001377,1.1855062374121285e-12,WBGene00019323,1.67517611860143e-13,WBGene00006856,2.7448347403747635e-08,WBGene00016250,2.548977277397896e-12,WBGene00000857,5.82155056130111e-57,WBGene00009812,1.4995314211244583e-33,WBGene00001235,6.743062140712141e-06,WBGene00001116,1.1305741141853646e-17,WBGene00001035,1.02617202593008e-23,WBGene00021644,4.1090731108769716e-10,WBGene00022388,9.457002486685661e-06,WBGene00000123,1.9220420226579082e-19,WBGene00007683,0.014766971099564605,WBGene00004682,0.03280041921064446,WBGene00002243,0.002232438433693441,WBGene00000892,1.928884237314085e-21
76,WBGene00017016,1.5465854358187412e-12,WBGene00001030,1.9443359767818517e-13,WBGene00006767,3.000400364019706e-08,WBGene00009177,3.284378242304828e-12,WBGene00006496,1.3694694043073784e-56,WBGene00001171,1.8062364265653167e-33,WBGene00004088,7.573896202825746e-06,WBGene00015413,1.913947829720123e-17,WBGene00019323,1.8448392427082994e-23,WBGene00006702,4.6089224469646847e-10,WBGene00001844,1.1104724410091917e-05,WBGene00012326,1.9513808151101922e-19,WBGene00020216,0.015175788039499542,WBGene00009793,0.033534355283407175,WBGene00013237,0.0023431165358554634,WBGene00012326,2.273665161320451e-21
77,WBGene00001082,1.6487865728857554e-12,WBGene00004014,2.944817087455094e-13,WBGene00020930,3.479481734452896e-08,WBGene00007210,3.722500583028456e-12,WBGene00007645,1.551419860450092e-56,WBGene00006383,3.303565884480613e-33,WBGene00002250,7.832704748305395e-06,WBGene00011283,2.6921100640257643e-17,WBGene00002045,2.197139896033021e-23,WBGene00006937,4.767883719948633e-10,WBGene00022856,1.1625084125699665e-05,WBGene00000912,2.386909007883373e-19,WBGene00021644,0.016158306799681985,WBGene00010890,0.0347761312502557,WBGene00018998,0.0024620851497552257,WBGene00020115,2.7031933380318936e-21
78,WBGene00001508,1.8249974272034974e-12,WBGene00015943,3.5143805475328843e-13,WBGene00001620,4.011380155576287e-08,WBGene00007683,4.277187751410314e-12,WBGene00002039,1.5889608133895475e-56,WBGene00001023,7.636492711390516e-33,WBGene00019823,8.791563743164857e-06,WBGene00022127,3.294140427009112e-17,WBGene00012097,2.2748919972581484e-23,WBGene00006921,5.03881837932654e-10,WBGene00021444,1.246188806585416e-05,WBGene00007053,2.625104271974165e-19,WBGene00004929,0.017102417424430895,WBGene00003034,0.03641851090865749,WBGene00003775,0.0025290910991670602,WBGene00016968,3.0538290256857806e-21
79,WBGene00019823,2.3520290095849334e-12,WBGene00020604,4.657825412515083e-13,WBGene00016879,4.035668853210254e-08,WBGene00018037,4.4544793968605086e-12,WBGene00013803,1.9556073598438876e-56,WBGene00007784,9.841449979672132e-33,WBGene00004895,1.0684027381576501e-05,WBGene00002162,4.052008973853283e-17,WBGene00016405,3.2820690246250586e-23,WBGene00008143,5.215770923675539e-10,WBGene00020109,1.3583336190854564e-05,WBGene00020683,2.8529752396853452e-19,WBGene00004131,0.017296503240073313,WBGene00020109,0.03794422957800852,WBGene00019823,0.002709421081521433,WBGene00010809,4.943839258052173e-21
80,WBGene00011474,5.785453596747861e-12,WBGene00020423,5.737523153790743e-13,WBGene00007836,4.261792234561535e-08,WBGene00010665,5.234771223305007e-12,WBGene00004182,5.323087037156085e-56,WBGene00016961,9.886988963547861e-33,WBGene00003047,1.1509895648132231e-05,WBGene00000188,5.98720990988077e-17,WBGene00016383,4.00571447460107e-23,WBGene00006913,6.32352473322898e-10,WBGene00016935,1.4088526639930693e-05,WBGene00000542,3.139946969374943e-19,WBGene00018364,0.017306771582276528,WBGene00017016,0.039184621522284774,WBGene00021810,0.0029706333527086933,WBGene00015809,5.6906457587474644e-21
81,WBGene00017950,7.843970705290378e-12,WBGene00000366,6.086008433253447e-13,WBGene00006890,4.631837529164836e-08,WBGene00009542,6.969291082141417e-12,WBGene00010444,7.753597540309214e-56,WBGene00007993,1.351897339681313e-32,WBGene00004277,1.2017927511271993e-05,WBGene00022240,7.181647046297848e-17,WBGene00011625,4.786615418208863e-23,WBGene00007706,6.455037120117885e-10,WBGene00017934,2.0912637867155765e-05,WBGene00004245,3.4750670293931797e-19,WBGene00009532,0.0175162296015255,WBGene00013924,0.0396103818881084,WBGene00006633,0.0031681803017165797,WBGene00014202,1.1832498367091065e-20
82,WBGene00004951,1.145605841961805e-11,WBGene00003948,8.819674146061185e-13,WBGene00003401,4.812292746237014e-08,WBGene00004464,8.685750569884744e-12,WBGene00022046,7.975457324577493e-56,WBGene00002344,2.5179958490326353e-32,WBGene00016383,1.2509760039984096e-05,WBGene00016197,8.23054439993974e-17,WBGene00010406,5.672869052749204e-23,WBGene00022280,8.6279873394162e-10,WBGene00003834,2.4332390210379244e-05,WBGene00004390,4.0744591092222176e-19,WBGene00009436,0.01817866553691147,WBGene00000896,0.04097112829391969,WBGene00003878,0.003646203014829333,WBGene00007645,1.381250181437418e-20
83,WBGene00016704,1.4058640730751127e-11,WBGene00006472,1.016276059533706e-12,WBGene00003598,5.121126522310742e-08,WBGene00015512,8.784907276193703e-12,WBGene00009065,9.353285987886814e-56,WBGene00010419,2.527489803291768e-32,WBGene00006503,1.4500116959249204e-05,WBGene00014202,1.1504019794876717e-16,WBGene00004322,6.56684638963589e-23,WBGene00022794,1.001446172721531e-09,WBGene00010560,2.7513634425188642e-05,WBGene00001560,6.506581614785577e-19,WBGene00014215,0.020500953051193874,WBGene00004213,0.0425614333455767,WBGene00011230,0.0038568144181912677,WBGene00006919,2.0908525464012794e-20
84,WBGene00007548,1.7455065268247313e-11,WBGene00001229,1.031305358970612e-12,WBGene00018330,5.5313329562210915e-08,WBGene00010435,8.811047167842182e-12,WBGene00002203,1.3884673146818006e-55,WBGene00004460,4.917088966237226e-32,WBGene00002243,1.4995915825338424e-05,WBGene00019900,1.3620322451982575e-16,WBGene00004389,1.1939008669688624e-22,WBGene00008927,1.0431174454474277e-09,WBGene00021926,2.7888823315730965e-05,WBGene00016611,6.680975946188608e-19,WBGene00021597,0.02143618003377697,WBGene00015156,0.04570696677712633,WBGene00003166,0.0038687983792768327,WBGene00000192,2.5131856504783325e-20
85,WBGene00006830,1.8493939669302634e-11,WBGene00001209,1.1334919615308737e-12,WBGene00002717,6.337360789862005e-08,WBGene00013667,9.330737840185657e-12,WBGene00021073,1.5624990709521045e-55,WBGene00011481,6.817599007979239e-32,WBGene00000086,1.680932501081144e-05,WBGene00001490,1.4342486971910584e-16,WBGene00004204,1.7092128180216455e-22,WBGene00012930,1.2079253896778673e-09,WBGene00000240,2.8209962886782552e-05,WBGene00003153,4.78264299514875e-18,WBGene00016278,0.021478673067512274,WBGene00006770,0.04587050025364466,WBGene00006503,0.00452195578799054,WBGene00004256,2.6221793259266468e-20
86,WBGene00020209,1.957997387776853e-11,WBGene00022534,1.2899778333295424e-12,WBGene00008311,8.906816618105255e-08,WBGene00002039,1.4989853758947925e-11,WBGene00010317,1.9707037291504755e-55,WBGene00002202,8.807615958388412e-32,WBGene00004276,1.7996621599161444e-05,WBGene00002045,1.5068905695412954e-16,WBGene00021810,2.663492550787662e-22,WBGene00012326,1.3576043651963458e-09,WBGene00000896,2.8827077657943712e-05,WBGene00010923,6.340086478044194e-18,WBGene00001132,0.02169313385613837,WBGene00022381,0.046958232891862337,WBGene00004272,0.004811285615672193,WBGene00044077,2.7652476360673084e-20
87,WBGene00015064,2.2948202225886247e-11,WBGene00011629,1.469740598524298e-12,WBGene00000018,1.0724206264437795e-07,WBGene00004274,2.4967219294679445e-11,WBGene00006460,2.003573792433297e-55,WBGene00012359,1.616622566207085e-31,WBGene00004055,1.927581775719905e-05,WBGene00007385,2.3293631214843237e-16,WBGene00008119,3.6890427620942725e-22,WBGene00004919,1.808026301739109e-09,WBGene00011308,3.1896629007504774e-05,WBGene00011605,8.653302955824289e-18,WBGene00021427,0.022216006618072517,WBGene00015561,0.055152032459066455,WBGene00013111,0.00489949977777614,WBGene00013002,3.933450603051706e-20
88,WBGene00020696,2.472265592196805e-11,WBGene00000567,2.092177304109496e-12,WBGene00009334,1.126134791957645e-07,WBGene00004266,1.0565611145195361e-10,WBGene00004504,2.4315054240361683e-55,WBGene00020696,1.9216282547282541e-31,WBGene00001508,1.9347681575633148e-05,WBGene00018846,2.825278012502025e-16,WBGene00001226,6.258894977044017e-22,WBGene00007385,1.8085557489317993e-09,WBGene00001094,3.600803013879357e-05,WBGene00010406,1.4023573543496687e-17,WBGene00014119,0.0225595482940257,WBGene00002991,0.0552601504566,WBGene00011308,0.005284987117980322,WBGene00017699,4.0467077686551436e-20
89,WBGene00004285,2.8210709104341368e-11,WBGene00001498,2.1190253878058136e-12,WBGene00014119,1.2894049664552951e-07,WBGene00003048,1.1017233957882374e-10,WBGene00006767,2.5616289326009155e-55,WBGene00004013,2.7952227476793477e-31,WBGene00021208,2.0631249762080202e-05,WBGene00000112,3.4380359793041654e-16,WBGene00000874,8.140365764362539e-22,WBGene00021009,2.0555817502082524e-09,WBGene00000221,4.1132945432615854e-05,WBGene00002223,1.7997274734710565e-17,WBGene00008546,0.024640348773708593,WBGene00011807,0.057268824515185196,WBGene00015561,0.00569384710616089,WBGene00008546,4.535941570462319e-20
90,WBGene00022435,3.990934229277008e-11,WBGene00001333,2.2767079169108743e-12,WBGene00003391,1.4662748603166524e-07,WBGene00009882,1.16451441847107e-10,WBGene00018776,3.332401115972597e-55,WBGene00006823,4.504250302100866e-31,WBGene00001368,2.4068690485185732e-05,WBGene00001115,3.52027960415103e-16,WBGene00009784,1.5869688578025438e-21,WBGene00022361,2.605234022228546e-09,WBGene00003948,4.388861318125149e-05,WBGene00000911,2.1997730822421873e-17,WBGene00019726,0.025746384477739886,WBGene00020012,0.05893496295949749,WBGene00000240,0.00605953783335502,WBGene00017778,5.565669619403124e-20
91,WBGene00000906,6.268577785225586e-11,WBGene00002191,2.6656787888123815e-12,WBGene00012100,2.393033936976937e-07,WBGene00004755,1.8660056906868496e-10,WBGene00000198,3.519465332389484e-55,WBGene00019877,5.674264853266385e-31,WBGene00013000,2.46585006870725e-05,WBGene00003831,1.9357607495185254e-15,WBGene00017768,3.874245770873995e-21,WBGene00003143,3.060751478541873e-09,WBGene00000813,4.449271707690679e-05,WBGene00022176,2.48855696527098e-17,WBGene00016937,0.026698667125297042,WBGene00019771,0.06036516899236497,WBGene00006601,0.006285896436665878,WBGene00010097,6.841939492844324e-20
92,WBGene00016935,6.985895361159942e-11,WBGene00010560,2.9154914183973544e-12,WBGene00004929,2.526834586100049e-07,WBGene00009813,1.8740165362089923e-10,WBGene00010502,4.2146944966324716e-55,WBGene00015501,6.430310640834931e-31,WBGene00003569,2.8782690469121433e-05,WBGene00015391,2.9650833644434537e-15,WBGene00022534,4.268330226010734e-21,WBGene00020719,4.2187532433211365e-09,WBGene00018037,4.8206839111467165e-05,WBGene00010988,2.7241214511549342e-17,WBGene00013378,0.02734956230147175,WBGene00001208,0.0611781203334366,WBGene00016333,0.0068377019224310255,WBGene00018364,7.336767103948714e-20
93,WBGene00003047,7.228255580216148e-11,WBGene00004490,4.903822644126292e-12,WBGene00012148,3.135901992005127e-07,WBGene00010284,2.0312983995481483e-10,WBGene00044077,1.722570355089775e-54,WBGene00021334,1.1648775404534273e-30,WBGene00018998,2.9721711633504575e-05,WBGene00002083,4.446823923912454e-15,WBGene00001860,9.31959787559185e-21,WBGene00000892,4.60628710643119e-09,WBGene00015561,4.9522451764524896e-05,WBGene00001837,3.2562801074881754e-17,WBGene00002005,0.029326969770658375,WBGene00017768,0.06195205211815053,WBGene00022176,0.006843242648325451,WBGene00007330,8.461829990165872e-20
94,WBGene00004875,7.472909512831419e-11,WBGene00013460,5.39393724065419e-12,WBGene00005019,4.14671364008937e-07,WBGene00017163,2.649263188247108e-10,WBGene00019457,2.08114273579513e-54,WBGene00002363,1.2084482464326176e-30,WBGene00015156,5.1551257532178825e-05,WBGene00020636,9.335133395584556e-15,WBGene00006382,1.5402241880966565e-20,WBGene00004256,5.386336227107351e-09,WBGene00004055,5.175616014844702e-05,WBGene00007143,5.814918286289182e-17,WBGene00011638,0.030481913838662188,WBGene00016583,0.06365749876894805,WBGene00002169,0.006933145573340367,WBGene00008452,9.257831613811244e-20
95,WBGene00000160,2.6196709032857645e-10,WBGene00003927,5.402805692139633e-12,WBGene00003163,4.3939388298486826e-07,WBGene00014115,2.7305780392312957e-10,WBGene00021905,2.2954772159663766e-54,WBGene00022021,3.0196823436853194e-30,WBGene00016811,5.169807084243603e-05,WBGene00022538,9.882916506900215e-15,WBGene00018998,1.8626158479112508e-20,WBGene00013164,5.6286168216512116e-09,WBGene00000156,5.5965169135590384e-05,WBGene00021857,7.195932743512578e-17,WBGene00003916,0.030581602916950522,WBGene00001115,0.06758455504617257,WBGene00015156,0.007574886472133232,WBGene00006468,1.0646649316257968e-19
96,WBGene00014215,2.893527638151299e-10,WBGene00002295,5.97201637740968e-12,WBGene00020530,4.4030262073030013e-07,WBGene00020181,2.750526181231771e-10,WBGene00007413,3.293868586589696e-54,WBGene00021800,3.852942387949648e-30,WBGene00006601,5.2128745339333485e-05,WBGene00001094,1.0797082931921612e-14,WBGene00002004,2.3985522235529058e-20,WBGene00006434,6.408545558440429e-09,WBGene00019620,5.8804211673977386e-05,WBGene00003963,1.8791170292451918e-16,WBGene00006468,0.033327918043115835,WBGene00000161,0.0691630887040939,WBGene00003834,0.008315884806852606,WBGene00022794,1.6305668819712993e-19
97,WBGene00011884,3.594057367496446e-10,WBGene00011605,7.916610276152903e-12,WBGene00021628,6.299592223363111e-07,WBGene00019693,2.7680211955932826e-10,WBGene00019747,3.8038594433868327e-54,WBGene00003149,4.778992226120778e-30,WBGene00022856,5.80918494766807e-05,WBGene00007924,1.7696434164347227e-14,WBGene00022703,2.4365550320829303e-20,WBGene00003568,6.977489575825733e-09,WBGene00004045,6.144551108831814e-05,WBGene00019747,2.2883406448170095e-16,WBGene00000158,0.034109930130170565,WBGene00003834,0.07104797977627077,WBGene00016981,0.008549816722315428,WBGene00020235,1.914925368858407e-19
98,WBGene00004256,7.072024309654476e-10,WBGene00004914,1.025688431646359e-11,WBGene00006755,6.531616053085744e-07,WBGene00001368,3.2051133275077583e-10,WBGene00008927,1.0079154585637292e-53,WBGene00010890,7.48601690143423e-30,WBGene00020092,5.81080007108012e-05,WBGene00015248,2.4694618142784747e-14,WBGene00013924,2.7426921524911487e-20,WBGene00012148,7.45122482975375e-09,WBGene00004913,6.386309348528464e-05,WBGene00021952,2.814931947082646e-16,WBGene00018037,0.034260775918984535,WBGene00021004,0.07199833249695901,WBGene00000813,0.00878831426831274,WBGene00013237,2.0286985173177289e-19
99,WBGene00008121,7.183359970694681e-10,WBGene00016250,1.9887388969387035e-11,WBGene00021973,8.835654676690266e-07,WBGene00009122,3.3121227793000514e-10,WBGene00007428,8.299129852936322e-53,WBGene00018520,7.49277706861658e-30,WBGene00022388,6.626465209311779e-05,WBGene00019061,2.7277343813044156e-14,WBGene00004914,3.100273767008813e-20,WBGene00012897,7.887606917550319e-09,WBGene00000110,6.47458815049922e-05,WBGene00018398,3.098261877850833e-16,WBGene00004307,0.03476906168347305,WBGene00010419,0.07558589143813231,WBGene00013217,0.009281849296744766,WBGene00001208,2.2834501808036445e-19
