,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p
30,WBGene00003969,6.409919758553986e-18,WBGene00004077,3.878730688945457e-71,WBGene00002083,7.5226249540172305e-25,WBGene00006921,2.806184315938527e-20,WBGene00004368,1.144276188301868e-12,WBGene00000112,1.039285587733043e-44,WBGene00003516,8.051913965090212e-05,WBGene00003567,2.2111073561468376e-42,WBGene00012896,8.99991314234567e-35,WBGene00000407,6.705843438621357e-07,WBGene00020838,0.00010450749540720974,WBGene00002010,4.133498753008027e-34,WBGene00017349,0.0014208793789495626,WBGene00019900,0.00015705729162070414,WBGene00003961,1.0007156380629295e-24,WBGene00013994,0.00043578108289730306
31,WBGene00018330,1.183112802395733e-17,WBGene00020111,4.144074388606124e-71,WBGene00022538,1.0482693712292288e-24,WBGene00022119,5.423851843803726e-20,WBGene00018639,1.4263281390955916e-12,WBGene00004184,2.3422055593929635e-43,WBGene00002980,0.00010802800474689593,WBGene00020114,4.744702631535298e-42,WBGene00001337,3.121905777555972e-34,WBGene00009882,6.838048314990591e-07,WBGene00022727,0.00016994781001295845,WBGene00006438,8.942041170572481e-34,WBGene00015176,0.0015253155715595507,WBGene00003163,0.00018966059285092796,WBGene00000269,1.219810941724723e-24,WBGene00017012,0.0004450671945766585
32,WBGene00004758,1.2588310822697719e-17,WBGene00001073,9.77294583122582e-71,WBGene00004444,2.646841595597926e-24,WBGene00001333,3.021370096116193e-19,WBGene00000476,2.3450766289604212e-12,WBGene00004207,3.796107320742517e-43,WBGene00004276,0.00011623153937032287,WBGene00006836,6.257339673309515e-42,WBGene00021004,3.63725707859844e-34,WBGene00015478,7.030294918801753e-07,WBGene00002980,0.0003218998147970881,WBGene00001047,6.702183636347757e-33,WBGene00019821,0.0015393595332398482,WBGene00001620,0.0002849021593346603,WBGene00018018,3.192498224040728e-24,WBGene00013164,0.0004494241942306778
33,WBGene00006833,1.3089496309673855e-17,WBGene00004497,1.0450480321773786e-70,WBGene00019322,1.966613598968812e-23,WBGene00006713,6.864216357567991e-19,WBGene00001844,4.981420605166215e-12,WBGene00003901,8.718400775576912e-43,WBGene00002173,0.0001181578725433024,WBGene00000472,3.461784170389808e-41,WBGene00000876,6.9139209521914e-34,WBGene00013326,7.404463656505897e-07,WBGene00004184,0.00033290831726340075,WBGene00000776,8.458707804497158e-33,WBGene00017088,0.0015677162853912701,WBGene00000228,0.00036279267469927184,WBGene00021901,3.6006356377504165e-24,WBGene00021973,0.000464196072812611
34,WBGene00002243,2.3417382734170608e-17,WBGene00020301,3.736289481594381e-70,WBGene00004391,7.326320188923791e-23,WBGene00001303,3.549497719329495e-18,WBGene00004950,1.8749223665966608e-11,WBGene00016006,9.572046111793421e-42,WBGene00000894,0.00015074023608027464,WBGene00002497,4.3870213831666843e-41,WBGene00007027,1.1833476867593765e-33,WBGene00001235,9.336105392441709e-07,WBGene00000566,0.00041967509321986786,WBGene00016650,2.4090855485821612e-31,WBGene00000996,0.0016081877554445668,WBGene00006649,0.00043455078492048475,WBGene00022037,8.101909147715373e-24,WBGene00012203,0.000492010244702324
35,WBGene00000071,7.354785824672969e-17,WBGene00020770,6.837951731751427e-70,WBGene00009119,5.284755955418607e-22,WBGene00001047,4.155258008139222e-18,WBGene00000518,1.940130431852173e-11,WBGene00001005,1.1966834791397814e-41,WBGene00008345,0.00015831592986273642,WBGene00003404,1.2905582284272388e-40,WBGene00001259,1.2644632585005734e-33,WBGene00013000,1.134189664239853e-06,WBGene00001794,0.00047907643798072015,WBGene00002038,4.297999977135448e-31,WBGene00000567,0.001619808385146695,WBGene00009542,0.0004968162235687615,WBGene00003143,9.647270584347625e-24,WBGene00004919,0.0005356820512243942
36,WBGene00006818,1.0170225359889446e-16,WBGene00013002,9.890006942831579e-70,WBGene00007053,8.072376996665721e-22,WBGene00010337,1.0545140783445489e-17,WBGene00001377,2.1402224582146744e-11,WBGene00017163,2.6659762560156567e-41,WBGene00020930,0.00016048191290927942,WBGene00006517,2.4823930095211597e-40,WBGene00020781,1.824335697901072e-33,WBGene00022240,1.1911767079997117e-06,WBGene00001171,0.0005680884474893048,WBGene00010284,2.358064938584441e-30,WBGene00006434,0.0016617966873803975,WBGene00009881,0.0005031612120637035,WBGene00001516,1.7641408609597978e-23,WBGene00018877,0.000650062701126373
37,WBGene00006791,1.0624787122519914e-16,WBGene00004091,1.4432674212680315e-69,WBGene00000883,1.725160668033531e-21,WBGene00021427,2.4594592881500293e-17,WBGene00013518,2.349045226806783e-11,WBGene00020012,3.4303254197814806e-41,WBGene00007053,0.0001654854548771805,WBGene00009920,4.241409552750167e-37,WBGene00003367,3.692564632829538e-33,WBGene00008780,1.2428750085283548e-06,WBGene00016197,0.0005839082560101087,WBGene00012929,2.5629052862857337e-30,WBGene00009334,0.0017106634626116927,WBGene00019620,0.0005785437637602638,WBGene00015418,2.9956450729123355e-23,WBGene00009164,0.0006515658884258423
38,WBGene00019434,1.3776611565909358e-16,WBGene00013164,1.5595942161572855e-69,WBGene00004491,4.3717846468972946e-21,WBGene00002065,4.7356675216544625e-17,WBGene00004758,3.289911720309937e-11,WBGene00001331,2.02477029305959e-40,WBGene00022389,0.0001971932497640346,WBGene00008505,5.613982380922733e-35,WBGene00007784,4.600574295289984e-33,WBGene00021208,1.2629438233100048e-06,WBGene00001208,0.0006066305176270172,WBGene00004759,1.1457840916303895e-29,WBGene00006975,0.001726659570066808,WBGene00001137,0.0008453685608016079,WBGene00002217,3.675043011580275e-23,WBGene00015148,0.0006601451863745512
39,WBGene00006757,1.9842518666076555e-16,WBGene00017928,1.6373163549077884e-69,WBGene00000379,1.0087252644298236e-19,WBGene00007703,8.436098410997487e-17,WBGene00004831,6.847034686951516e-11,WBGene00000961,4.058946963390993e-40,WBGene00004855,0.00020435162076506058,WBGene00015778,4.177872539415226e-34,WBGene00001017,6.742036588477332e-33,WBGene00019830,1.2948287426752705e-06,WBGene00018294,0.0007007414440273439,WBGene00004182,9.921484613101366e-29,WBGene00007143,0.0018797786729942388,WBGene00001055,0.000889792386990287,WBGene00020770,4.977162207198397e-23,WBGene00006410,0.000677619790832638
40,WBGene00000553,8.661640260748911e-16,WBGene00002203,1.7986781187503673e-69,WBGene00012351,1.4204461472095718e-19,WBGene00020683,1.684315655180338e-16,WBGene00018037,1.072691906013749e-10,WBGene00008948,5.146842619703375e-40,WBGene00009174,0.0003027579395333559,WBGene00001503,1.129473421740828e-32,WBGene00015156,8.492005219774829e-33,WBGene00007548,1.4609292032613897e-06,WBGene00013462,0.000705267054167354,WBGene00013189,1.2696090761493055e-28,WBGene00003931,0.00197068979063969,WBGene00020437,0.0011492301107545503,WBGene00006373,6.567246017925585e-23,WBGene00001007,0.0006826660091554614
41,WBGene00006830,1.019776502918451e-15,WBGene00004049,9.583309482908815e-69,WBGene00001166,3.2318853037799006e-19,WBGene00011625,3.1609027821788923e-16,WBGene00015064,1.3660713585785362e-10,WBGene00000936,1.2416601488853958e-38,WBGene00003196,0.0003829054915510134,WBGene00000041,1.2564069647139545e-32,WBGene00016650,1.2636417205776774e-32,WBGene00004950,1.4773298318835794e-06,WBGene00003568,0.0007627857223188961,WBGene00003978,6.079499055213313e-28,WBGene00006410,0.0021334259808473027,WBGene00002065,0.0011742121255441738,WBGene00020511,7.504821239501848e-23,WBGene00015301,0.0006946358221547368
42,WBGene00020209,1.144943927827506e-15,WBGene00013225,1.0201057172884908e-67,WBGene00003776,7.051894626993399e-19,WBGene00019830,4.1695723527699276e-16,WBGene00001335,2.7275446511075587e-10,WBGene00011474,1.387246195139341e-38,WBGene00005019,0.0004702810157943863,WBGene00014095,9.735923683255963e-32,WBGene00000813,1.802532036826157e-32,WBGene00004368,1.6770077771612727e-06,WBGene00012204,0.000995702915222388,WBGene00002201,8.317878880733728e-28,WBGene00022361,0.00218277330633923,WBGene00004930,0.0013714450021226202,WBGene00000018,1.610551216674886e-22,WBGene00001043,0.0008313902966045523
43,WBGene00001171,3.211305701032509e-15,WBGene00004109,2.3917700780118563e-67,WBGene00007042,1.6824046012523203e-18,WBGene00004482,4.658909147663831e-16,WBGene00004969,3.361460715495534e-10,WBGene00006999,2.9388876147858625e-38,WBGene00020770,0.0004742398566154338,WBGene00022336,1.0541463129767125e-31,WBGene00001209,1.9545113765374734e-31,WBGene00017973,1.8979569189495488e-06,WBGene00012100,0.0010469345416377412,WBGene00020781,2.72647842677886e-27,WBGene00015219,0.0023014207075991986,WBGene00004266,0.0014785717439267047,WBGene00019877,1.962045427520843e-22,WBGene00006359,0.0008381251249754662
44,WBGene00004256,3.4989323628956352e-15,WBGene00003931,2.398511645428234e-67,WBGene00009772,3.503863855229089e-18,WBGene00001558,5.6830251861694e-16,WBGene00001484,6.530714636385504e-10,WBGene00006933,5.116670318177974e-38,WBGene00011696,0.0005283684509173029,WBGene00001650,6.757082525328007e-31,WBGene00013766,7.789160294035987e-30,WBGene00022176,2.0049265921899323e-06,WBGene00001132,0.0010756994247252726,WBGene00001209,7.557463853800424e-27,WBGene00010317,0.00256906255232321,WBGene00006472,0.0014814946782070865,WBGene00021466,1.9711957274835174e-22,WBGene00022358,0.0008472547540379898
45,WBGene00003153,3.654444319624242e-15,WBGene00001404,1.9090008719217521e-66,WBGene00021697,2.062351842741067e-17,WBGene00000182,1.3640649647584147e-15,WBGene00004875,8.517050617394245e-10,WBGene00001101,1.6208197768843636e-37,WBGene00008927,0.0006262651500101836,WBGene00019760,2.2104252185204493e-30,WBGene00022021,1.2248620625871905e-29,WBGene00009436,2.1113278082448447e-06,WBGene00019305,0.0010953853219138427,WBGene00000366,5.471748760238348e-26,WBGene00015920,0.0026792340672282824,WBGene00000881,0.0015321948070254443,WBGene00012100,1.101093830510696e-21,WBGene00016879,0.0008647034198545531
46,WBGene00001709,6.762097023140619e-15,WBGene00021312,8.91109213625012e-66,WBGene00004448,2.5351813661080275e-17,WBGene00001089,1.5199905535710672e-15,WBGene00017063,8.766538033499797e-10,WBGene00001748,2.447716628067931e-37,WBGene00002223,0.0006338391803423594,WBGene00004336,2.5982963846888105e-30,WBGene00020683,1.2578549614346282e-29,WBGene00000906,3.901546940152633e-06,WBGene00010703,0.0014761596462010344,WBGene00012386,1.007385739488799e-25,WBGene00012193,0.002735404251128273,WBGene00022776,0.0015747898322522116,WBGene00013265,1.3725177859255883e-21,WBGene00004756,0.0008714690243299652
47,WBGene00018281,1.0513814936698923e-14,WBGene00000892,2.5380735896627284e-65,WBGene00004443,4.229002638171122e-17,WBGene00018533,1.830628103878616e-15,WBGene00009734,9.282472761426792e-10,WBGene00000472,2.4847022929997757e-37,WBGene00004087,0.000664029239112659,WBGene00000294,2.7582922488091092e-30,WBGene00001166,7.452731155180526e-29,WBGene00013802,4.287918813526118e-06,WBGene00003561,0.0016544932951457398,WBGene00001604,1.1750617111608326e-25,WBGene00008006,0.0030192217694942755,WBGene00004277,0.0016112473362116556,WBGene00020146,1.9666563897089033e-21,WBGene00004077,0.0009447055088647742
48,WBGene00017350,1.845813900639171e-14,WBGene00006890,7.66287044490972e-65,WBGene00012896,4.7373783983008233e-17,WBGene00004116,2.0535051655928698e-15,WBGene00000407,1.1099903861491422e-09,WBGene00007197,4.729184507319425e-37,WBGene00008547,0.000673621771639094,WBGene00020696,1.1704424207192904e-29,WBGene00007184,7.686354926052362e-29,WBGene00022776,4.8089936230902635e-06,WBGene00000518,0.0017365147530950256,WBGene00020679,1.3655147592194797e-25,WBGene00004919,0.0031681786413358254,WBGene00021506,0.0017379974067744499,WBGene00021905,2.6737044944824047e-21,WBGene00006767,0.0009503863012165543
49,WBGene00018175,7.127626939095613e-14,WBGene00006937,1.858961333277428e-64,WBGene00002025,6.138938222612875e-17,WBGene00015734,2.3108043621034822e-15,WBGene00021185,1.4560943312764844e-09,WBGene00020696,1.3060317500034521e-36,WBGene00006468,0.0007407128953733924,WBGene00000833,9.475110726363366e-29,WBGene00015754,9.135170421444994e-29,WBGene00011638,4.820347717023132e-06,WBGene00006720,0.0017800628554988343,WBGene00011867,6.261991026655558e-25,WBGene00009580,0.003217922687323147,WBGene00010317,0.00196373079010952,WBGene00003401,2.8466034410352855e-21,WBGene00010272,0.0009890742903381957
50,WBGene00001115,1.3944628518751636e-13,WBGene00017137,5.566332621082285e-64,WBGene00004498,9.510620438973993e-17,WBGene00002979,4.756777588580433e-15,WBGene00021444,5.960458020967106e-09,WBGene00004462,1.6824096913056844e-36,WBGene00002038,0.0009417206906913461,WBGene00000230,6.779330898211754e-26,WBGene00015501,1.020635166883235e-28,WBGene00018998,5.493856000952906e-06,WBGene00003806,0.0019871824505173063,WBGene00006936,2.5008257263478194e-24,WBGene00006720,0.003365352978150196,WBGene00006727,0.0020134665566328,WBGene00015143,3.042698855429592e-21,WBGene00000892,0.001008960404692796
51,WBGene00004951,4.1738291467209596e-13,WBGene00022301,1.8537138622085807e-63,WBGene00002169,1.5117764359152192e-16,WBGene00011502,4.9030238533820824e-15,WBGene00015658,6.117351365765743e-09,WBGene00004085,2.6519320061489694e-36,WBGene00015219,0.0009831669697518747,WBGene00013289,1.104187208415131e-25,WBGene00003393,1.2202877649412558e-28,WBGene00006818,5.569001378446961e-06,WBGene00000110,0.0022651357461033867,WBGene00002250,3.529100780315664e-23,WBGene00003568,0.0034230034220041772,WBGene00006890,0.0020610094825377233,WBGene00002215,3.871993325801825e-21,WBGene00006785,0.0010177764233820679
52,WBGene00006527,8.201600610099385e-13,WBGene00004467,2.2615954899526994e-63,WBGene00002497,3.0509846318682633e-16,WBGene00004788,1.2436731880285279e-14,WBGene00004088,7.970269540221278e-09,WBGene00015350,6.690501355506986e-36,WBGene00007529,0.0011941749632465846,WBGene00007463,1.4890342914552494e-24,WBGene00018892,1.8219742525826714e-28,WBGene00004895,5.589116167820692e-06,WBGene00015204,0.0023741862317409896,WBGene00006920,5.1823961463321307e-23,WBGene00006742,0.0035734504146579956,WBGene00016278,0.0021686529472925093,WBGene00008006,5.0075180292131634e-21,WBGene00012148,0.0010266636951832958
53,WBGene00001648,4.67729895871965e-12,WBGene00006460,2.78219187044673e-63,WBGene00004015,3.466602356169302e-16,WBGene00003048,1.598571647745508e-14,WBGene00003047,8.014395997808956e-09,WBGene00022727,3.9950506432727477e-35,WBGene00001620,0.001315919343378851,WBGene00004014,2.6311513909327434e-24,WBGene00003034,3.386779874163925e-28,WBGene00018281,5.773998922924932e-06,WBGene00016418,0.0035236687744568305,WBGene00000071,5.530767988048062e-23,WBGene00006527,0.0036491700118699353,WBGene00009436,0.002236168935692293,WBGene00004256,1.4714368627515067e-20,WBGene00022675,0.0010363940172367183
54,WBGene00001490,4.789115917350067e-12,WBGene00016258,3.767243392749744e-63,WBGene00004302,1.8394482133467983e-15,WBGene00016250,2.7097044231823436e-14,WBGene00013042,9.019850877013079e-09,WBGene00018398,5.60060786085014e-35,WBGene00017983,0.001372707991969392,WBGene00020679,2.639477614351532e-24,WBGene00022531,6.646174279384437e-28,WBGene00017063,6.4366899371748055e-06,WBGene00006727,0.004592670139628397,WBGene00012896,9.290511579141265e-23,WBGene00004267,0.003796188959111108,WBGene00004357,0.00228401230839322,WBGene00022280,1.9820048365204912e-20,WBGene00004467,0.0010698012136979166
55,WBGene00008780,7.120507215630571e-12,WBGene00004454,8.308877532455718e-63,WBGene00004204,2.753956999924716e-15,WBGene00004766,3.4961736253456806e-14,WBGene00022776,1.0117101099061644e-08,WBGene00006383,6.082134738587178e-35,WBGene00000419,0.0014298872783795736,WBGene00022042,2.4566076421045007e-23,WBGene00009672,6.703774070081884e-28,WBGene00015156,6.641562430106491e-06,WBGene00022279,0.004656506936709117,WBGene00010794,1.6211298463941725e-22,WBGene00004467,0.0039889891370826274,WBGene00001132,0.0025981898018099378,WBGene00002203,2.011246782677124e-20,WBGene00000936,0.001089027771566222
56,WBGene00016704,8.977968276822576e-12,WBGene00008729,1.6198695581789594e-62,WBGene00004453,2.094802862075976e-14,WBGene00007683,7.967977730897588e-14,WBGene00015470,1.1712101312593696e-08,WBGene00001131,1.5187258788083398e-34,WBGene00017012,0.0014336138467319994,WBGene00011510,2.7897530823013605e-23,WBGene00002223,7.438707689335705e-28,WBGene00008018,7.859719799669208e-06,WBGene00002202,0.004776473951707488,WBGene00012245,1.6255691751572498e-22,WBGene00008549,0.004380939732822834,WBGene00006438,0.0033739245035584123,WBGene00012148,2.358040230883916e-20,WBGene00003931,0.0011691737402654433
57,WBGene00001224,1.427509540216967e-11,WBGene00002147,3.4552598813058595e-62,WBGene00019323,2.7646568309490868e-14,WBGene00004682,1.1517135001649605e-13,WBGene00001837,2.350584313128465e-08,WBGene00016735,2.459316320741177e-34,WBGene00006720,0.0015160960868847366,WBGene00003162,3.4662057867293828e-22,WBGene00000123,1.3271088403509866e-27,WBGene00015064,8.03085563770824e-06,WBGene00004085,0.005141874059988202,WBGene00009793,2.660289022706246e-22,WBGene00002215,0.00472118493729262,WBGene00004921,0.004069960429802347,WBGene00006324,2.4420557873445656e-20,WBGene00003229,0.0011775390417828047
58,WBGene00011261,2.639846328237739e-11,WBGene00003163,5.6624959846032685e-62,WBGene00016140,2.912023367682821e-14,WBGene00006494,1.965584165149648e-13,WBGene00009436,2.6165959898003275e-08,WBGene00000776,4.5143096188249116e-34,WBGene00012203,0.0015223278405489447,WBGene00022089,4.1228769475956773e-22,WBGene00013687,1.5136208969391245e-27,WBGene00019823,8.066080006837652e-06,WBGene00016704,0.005535818683981118,WBGene00010419,3.4452780506588763e-22,WBGene00010479,0.0047598568756440866,WBGene00006434,0.004336612075402173,WBGene00018364,2.4953194260005264e-20,WBGene00020719,0.0012115563122992745
59,WBGene00022647,6.0962051224488e-11,WBGene00015809,6.272079849555454e-62,WBGene00010419,6.71359370126679e-14,WBGene00004441,2.2685630283802128e-13,WBGene00003561,2.8797464447653695e-08,WBGene00007784,1.191539833156062e-33,WBGene00003182,0.001659302205290018,WBGene00009082,5.179568981690949e-22,WBGene00014115,1.8614286892974082e-27,WBGene00022647,9.685807630709935e-06,WBGene00012903,0.005710663794568008,WBGene00007703,5.732262492295986e-22,WBGene00003818,0.0047660020556321795,WBGene00001746,0.004426053002622445,WBGene00010097,2.5191691175059142e-20,WBGene00003516,0.0012225961443519244
60,WBGene00001844,8.755321633960367e-11,WBGene00012360,1.1502250388403007e-61,WBGene00004452,8.324100637549303e-14,WBGene00018788,2.573898868811789e-13,WBGene00015561,3.667537156256393e-08,WBGene00004466,1.665516340530396e-33,WBGene00016725,0.001842675240047302,WBGene00011884,1.7765710499340158e-21,WBGene00010478,4.246388386346647e-27,WBGene00015658,1.2738080604619763e-05,WBGene00002233,0.006151443682430836,WBGene00004187,7.008127953169308e-22,WBGene00004087,0.0050596758695914765,WBGene00016006,0.005074738366316283,WBGene00015148,2.6239606743759654e-20,WBGene00004049,0.0012898650182741657
61,WBGene00000996,1.124855238045799e-10,WBGene00018609,2.4620391531073885e-61,WBGene00022388,1.1798843133346559e-13,WBGene00010665,2.713159150110886e-13,WBGene00007548,4.0914316326416726e-08,WBGene00021334,1.7595926531885518e-33,WBGene00004131,0.0018852970957294228,WBGene00015810,1.8133629106310153e-21,WBGene00004704,6.398816230639328e-27,WBGene00021444,1.2876052161590361e-05,WBGene00007197,0.006223234114535091,WBGene00001337,7.590176029458871e-22,WBGene00000883,0.0053578448836088715,WBGene00012376,0.005261562885730275,WBGene00021628,2.8587380780039023e-20,WBGene00010844,0.0013731560251886473
62,WBGene00017950,1.3397010459342267e-10,WBGene00006728,1.0980883111857665e-60,WBGene00022534,1.2873233841965685e-13,WBGene00021425,4.955352759060221e-13,WBGene00012644,4.782254215556229e-08,WBGene00002216,1.994125390641187e-33,WBGene00009978,0.001957338121052896,WBGene00012376,7.564846916960492e-20,WBGene00013462,1.2108711785383145e-26,WBGene00018007,1.3434563465618018e-05,WBGene00019726,0.007697314496094063,WBGene00007027,8.806362652973993e-22,WBGene00009065,0.005596263737561065,WBGene00004766,0.005828886692916396,WBGene00009812,4.1163422525570253e-20,WBGene00002222,0.0013868935713779427
63,WBGene00017973,1.3526609654515763e-10,WBGene00022675,1.2826389690817343e-60,WBGene00002295,3.2497962718297485e-13,WBGene00004274,4.956266207887374e-13,WBGene00004895,6.263775453864269e-08,WBGene00022201,2.0632635093350313e-33,WBGene00000018,0.0021569945071503597,WBGene00006433,8.144910231723785e-20,WBGene00000156,1.431416834078585e-26,WBGene00004969,1.5036262936874903e-05,WBGene00003401,0.008514281662335794,WBGene00000962,1.66741266412914e-21,WBGene00003229,0.0056980379231745025,WBGene00001226,0.005837184714592106,WBGene00012326,4.4375232434023444e-20,WBGene00007836,0.001443469955749859
64,WBGene00017063,1.630957619880395e-10,WBGene00019433,1.6992138208532506e-60,WBGene00020391,3.3260702344680243e-13,WBGene00000090,5.107075830964132e-13,WBGene00001115,6.676272249466048e-08,WBGene00004460,2.3291936503672558e-33,WBGene00003163,0.002979020981361188,WBGene00002991,9.28202379380413e-20,WBGene00011696,1.8952257515967514e-26,WBGene00020636,2.0106711558478928e-05,WBGene00003949,0.00872375215120974,WBGene00001173,2.7680451059739303e-21,WBGene00004375,0.005787980128109825,WBGene00004895,0.005870483399211847,WBGene00018857,4.6805183068100353e-20,WBGene00006890,0.0014522253883433086
65,WBGene00018710,1.662446229264855e-10,WBGene00009065,1.941061894494038e-60,WBGene00002010,4.491902443332707e-13,WBGene00001516,7.467627737790664e-13,WBGene00021208,7.140789336147823e-08,WBGene00009200,2.3344481616234305e-33,WBGene00016250,0.0032614725731586486,WBGene00011015,1.3917447076320516e-19,WBGene00004390,6.247447896781788e-26,WBGene00018037,2.0565444339314824e-05,WBGene00015148,0.009553236951617609,WBGene00003834,3.1602022787536803e-21,WBGene00020169,0.005855163829989794,WBGene00002879,0.006257066455065103,WBGene00003799,5.051967169176599e-20,WBGene00008006,0.0014582070124065333
66,WBGene00018009,1.8854880802262496e-10,WBGene00016888,2.6650115712746415e-60,WBGene00001094,5.290858617826476e-13,WBGene00006649,8.617149228604483e-13,WBGene00019770,7.319358392069733e-08,WBGene00003806,2.4271160997780286e-33,WBGene00001089,0.0033561639189268484,WBGene00002025,1.606033498733383e-19,WBGene00004895,1.0748998083775087e-25,WBGene00022388,2.1267459097106422e-05,WBGene00004682,0.01014195421493683,WBGene00002979,4.714921397237903e-21,WBGene00006757,0.006086363224935099,WBGene00002005,0.007144377057076271,WBGene00008143,5.298655622614174e-20,WBGene00010703,0.0015094292030657138
67,WBGene00000161,2.2259534227619064e-10,WBGene00016735,4.6908082315468e-60,WBGene00016405,6.708727183660309e-13,WBGene00010435,1.0272604716605385e-12,WBGene00006601,7.32578966241015e-08,WBGene00003130,3.0190349568547777e-33,WBGene00004254,0.003471253310129872,WBGene00003153,2.639959118978571e-19,WBGene00016140,1.5359868931505192e-25,WBGene00019060,2.3815215690360095e-05,WBGene00004182,0.010389594556713143,WBGene00004754,5.93022352175711e-21,WBGene00006755,0.006597951861641258,WBGene00000833,0.007365327824459861,WBGene00013237,6.784731782163205e-20,WBGene00012326,0.0015656885403600286
68,WBGene00004345,4.050608629127919e-10,WBGene00006444,9.373655142695415e-60,WBGene00011629,7.860426508487654e-13,WBGene00002223,1.9052517449083346e-12,WBGene00010736,7.509202086334326e-08,WBGene00001132,4.778408440038732e-33,WBGene00001043,0.003805717116118197,WBGene00004980,3.281337063526182e-19,WBGene00003397,1.8129301189390774e-25,WBGene00001335,2.482500833970098e-05,WBGene00004207,0.01119459890211358,WBGene00000542,5.959877791012238e-21,WBGene00006890,0.007243440435596731,WBGene00018037,0.007524302742914696,WBGene00007645,8.91419080061813e-20,WBGene00022361,0.0015983684684515635
69,WBGene00009920,4.241643659446226e-10,WBGene00019543,1.0548041586399297e-59,WBGene00000567,8.201066654467338e-13,WBGene00020181,2.493487897399752e-12,WBGene00000071,8.777979712961429e-08,WBGene00001116,5.9061144041405815e-33,WBGene00007620,0.004107969934160763,WBGene00021800,3.706520106448435e-19,WBGene00014204,2.05932824237038e-25,WBGene00019434,2.4943732815816687e-05,WBGene00011807,0.011464486644684295,WBGene00016162,6.461938957103691e-21,WBGene00016961,0.007836988293248217,WBGene00002191,0.008391879982894849,WBGene00017137,9.896778615186174e-20,WBGene00008143,0.0016998068177228836
70,WBGene00008018,5.593089744759076e-10,WBGene00017349,1.4638705536092999e-59,WBGene00022046,1.771527962014288e-12,WBGene00007955,3.1140277246988018e-12,WBGene00001235,1.1260446955193124e-07,WBGene00013462,2.1928733570203123e-32,WBGene00018788,0.004482290607223653,WBGene00011283,5.022966185283083e-19,WBGene00022388,2.9133848347186295e-25,WBGene00016918,2.667110123159611e-05,WBGene00012930,0.01380157898390098,WBGene00022021,7.622203412115224e-21,WBGene00006913,0.007913535157883888,WBGene00002344,0.008780652304400961,WBGene00001708,1.1344170450825235e-19,WBGene00017137,0.0017416828193767416
71,WBGene00011474,8.548131763255699e-10,WBGene00008927,1.823263420477842e-59,WBGene00003948,1.891297112857453e-12,WBGene00007210,4.464648978146089e-12,WBGene00019823,1.2520692661506367e-07,WBGene00011481,6.823466439656803e-32,WBGene00003916,0.004839471758775445,WBGene00007330,8.444157057633632e-19,WBGene00012097,3.937787218088745e-25,WBGene00013217,3.650974616898129e-05,WBGene00010890,0.014185137790411865,WBGene00000188,9.135566686728441e-21,WBGene00007836,0.008403006268276234,WBGene00015478,0.009067170649186397,WBGene00016539,1.2331173642553959e-19,WBGene00004256,0.0017458389600253925
72,WBGene00013111,9.050012576836958e-10,WBGene00006920,2.557316971814318e-59,WBGene00004490,1.8918242630272876e-12,WBGene00016937,5.8718409962246454e-12,WBGene00004055,1.49372797139744e-07,WBGene00018520,1.4156389466504704e-31,WBGene00006791,0.005708617853451175,WBGene00010794,1.1567561579694587e-18,WBGene00015470,4.709459536466209e-25,WBGene00016811,4.0889267949325726e-05,WBGene00000018,0.01477339485171118,WBGene00019830,3.797291041599941e-20,WBGene00003143,0.008862071253886987,WBGene00020216,0.009118506310122875,WBGene00013002,1.286889619595514e-19,WBGene00010496,0.0017587810164222336
73,WBGene00011283,9.399397462403275e-10,WBGene00007645,5.849152148883696e-59,WBGene00003927,1.9026096416111554e-12,WBGene00022703,1.2504233763594213e-11,WBGene00013802,1.7144044157746057e-07,WBGene00019877,2.2172676926021208e-31,WBGene00017904,0.006769255697309836,WBGene00006601,3.860250339247047e-18,WBGene00019323,5.196017190790828e-25,WBGene00000071,4.3173191739153615e-05,WBGene00008948,0.015385346946111742,WBGene00000123,5.730893327070448e-20,WBGene00004273,0.009266668310290297,WBGene00022336,0.009222919408875159,WBGene00020115,1.4019476835779773e-19,WBGene00018788,0.001778147973548458
74,WBGene00020572,1.0458368151868032e-09,WBGene00006917,9.457774761973356e-59,WBGene00004014,2.592489269810013e-12,WBGene00004855,1.2959008236967856e-11,WBGene00002243,1.9393124160571542e-07,WBGene00002855,2.690393993231326e-31,WBGene00019487,0.00711841432015491,WBGene00001116,3.93327253049828e-18,WBGene00008053,1.066170660473405e-24,WBGene00017934,4.3663805049147834e-05,WBGene00015219,0.01570810013802113,WBGene00020683,5.794715561204091e-20,WBGene00003423,0.009364151211218613,WBGene00002980,0.009598315046052606,WBGene00009672,1.8749947169420763e-19,WBGene00006476,0.0018239579210552641
