,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p
26,ENSDARG00000011400,3.5187273896728226e-55,ENSDARG00000020845,9.026413380330048e-28,ENSDARG00000004251,2.9236890706935247e-83,ENSDARG00000074287,6.208162559351098e-37,ENSDARG00000021488,4.294947736732221e-57,ENSDARG00000030265,9.495424725000828e-68,ENSDARG00000012763,4.1935715897482585e-13,ENSDARG00000074507,4.162783222280733e-52,ENSDARG00000039667,1.0504613623106752e-126,ENSDARG00000010276,4.2633697046312236e-12,ENSDARG00000011418,3.159412479841808e-217,ENSDARG00000017049,5.9829479737637104e-86,ENSDARG00000004527,1.0021024841804746e-188,ENSDARG00000100482,0.0,ENSDARG00000018738,6.54364294564355e-18,ENSDARG00000040615,4.392691577055938e-07,ENSDARG00000076544,1.3745137893352187e-10,ENSDARG00000009160,8.193189118256193e-67,ENSDARG00000012625,5.283072479013332e-14,ENSDARG00000021242,9.828679824494237e-24,ENSDARG00000053405,3.206351548330851e-37,ENSDARG00000028322,1.1251948032304698e-05,ENSDARG00000058108,0.0001830616119942917,ENSDARG00000037640,5.303456570398151e-118,ENSDARG00000017811,4.1556771791804177e-07,ENSDARG00000054666,9.399393203177279e-101,ENSDARG00000013333,2.2593527237318716e-63,ENSDARG00000023958,5.287539661019474e-14,ENSDARG00000102056,1.8524946106211478e-08
27,ENSDARG00000058226,6.895912408553476e-54,ENSDARG00000057736,1.746517383799611e-27,ENSDARG00000052721,3.5596292967530374e-81,ENSDARG00000033666,3.3857532478954953e-34,ENSDARG00000059646,9.223393793652346e-56,ENSDARG00000041895,9.453909105232028e-65,ENSDARG00000070567,4.515158680309018e-13,ENSDARG00000017658,5.076699240072122e-52,ENSDARG00000077620,1.3117624651501644e-126,ENSDARG00000102059,4.695867859423651e-12,ENSDARG00000052695,9.716555669894548e-215,ENSDARG00000009830,1.5697006396945825e-85,ENSDARG00000040556,1.8361308864170704e-187,ENSDARG00000068629,0.0,ENSDARG00000052379,8.73622143091035e-17,ENSDARG00000005372,5.196939647535372e-07,ENSDARG00000053518,2.1393080303703723e-10,ENSDARG00000079543,1.4700037381052964e-66,ENSDARG00000017781,1.1327224890038481e-13,ENSDARG00000099313,2.096506761971576e-23,ENSDARG00000098588,4.050389378526276e-37,ENSDARG00000058108,1.420156821545936e-05,ENSDARG00000029905,0.00020577305344665685,ENSDARG00000101707,1.0954120008279847e-117,ENSDARG00000029036,5.261557413540231e-07,ENSDARG00000055477,2.520701328523018e-100,ENSDARG00000071060,3.5723313409968684e-63,ENSDARG00000038281,6.746216098422771e-14,ENSDARG00000070686,1.9197086545978152e-08
28,ENSDARG00000078026,9.99221407124672e-54,ENSDARG00000004672,3.945436256551143e-27,ENSDARG00000091150,3.250704196029947e-79,ENSDARG00000013670,7.28372748788122e-34,ENSDARG00000011418,1.347893157614409e-55,ENSDARG00000063095,1.2501147716931738e-64,ENSDARG00000009273,5.618366520733121e-13,ENSDARG00000005754,5.9860391911525855e-52,ENSDARG00000014898,2.852654037687857e-126,ENSDARG00000042630,5.634337689393629e-12,ENSDARG00000053950,1.1857171017202695e-214,ENSDARG00000022410,4.1632160352927516e-82,ENSDARG00000017571,2.5907557888928406e-186,ENSDARG00000014898,0.0,ENSDARG00000031796,3.533134323905586e-16,ENSDARG00000055314,5.216898676791445e-07,ENSDARG00000004891,3.425129155986271e-10,ENSDARG00000036481,1.298745615332848e-58,ENSDARG00000035741,2.568188722757612e-13,ENSDARG00000074507,2.1015275434802777e-23,ENSDARG00000034883,5.191588371907173e-37,ENSDARG00000074301,3.436577970837759e-05,ENSDARG00000079886,0.0002342333008802985,ENSDARG00000056510,2.55285823285041e-117,ENSDARG00000041869,7.806488619387639e-07,ENSDARG00000079742,2.5560894916442405e-100,ENSDARG00000039211,9.07544442415964e-63,ENSDARG00000055314,7.3458504054829e-14,ENSDARG00000102883,2.0183031606312668e-08
29,ENSDARG00000099448,4.795417616330566e-53,ENSDARG00000078077,1.7426410988171617e-26,ENSDARG00000052816,4.1618350745237883e-79,ENSDARG00000044339,3.0327131918852957e-33,ENSDARG00000070686,5.7746766087360355e-52,ENSDARG00000051800,5.427490434823149e-64,ENSDARG00000010276,6.088162714653385e-13,ENSDARG00000036820,6.721491976924319e-52,ENSDARG00000005551,2.420143737454711e-123,ENSDARG00000010149,9.556625451707277e-12,ENSDARG00000017571,2.3356325496959053e-213,ENSDARG00000102995,6.703393829575524e-82,ENSDARG00000037358,1.7917149020826858e-184,ENSDARG00000003189,8.618357089341202e-306,ENSDARG00000045027,3.8854303887508484e-16,ENSDARG00000023958,5.53150794928391e-07,ENSDARG00000104702,3.5533959524093247e-10,ENSDARG00000070584,2.3183850948387187e-56,ENSDARG00000018002,6.031383989305555e-13,ENSDARG00000010149,3.0392131783061797e-23,ENSDARG00000013561,2.7714710375279782e-36,ENSDARG00000004581,6.893694531840695e-05,ENSDARG00000070567,0.00024739030953467225,ENSDARG00000102883,8.775244832616226e-117,ENSDARG00000043371,8.13230522303103e-07,ENSDARG00000052190,5.24678026841229e-99,ENSDARG00000012140,3.3295444514116537e-62,ENSDARG00000069157,8.663646198359297e-14,ENSDARG00000061124,3.7833798423474435e-08
30,ENSDARG00000079564,2.351899056045735e-52,ENSDARG00000007247,4.6742578040366476e-26,ENSDARG00000039887,3.760692067949211e-78,ENSDARG00000104837,3.867842518654217e-33,ENSDARG00000070028,6.604491286143717e-51,ENSDARG00000037433,8.033810775974842e-63,ENSDARG00000041237,1.2064410687360372e-12,ENSDARG00000010276,8.013282546635358e-52,ENSDARG00000015254,1.3010660457644282e-122,ENSDARG00000012763,1.1708749965098107e-11,ENSDARG00000031388,1.6925669915460524e-210,ENSDARG00000056583,7.315281223952209e-79,ENSDARG00000042642,1.5535879672227358e-182,ENSDARG00000034056,1.7553241771947155e-303,ENSDARG00000023394,4.353597865162392e-16,ENSDARG00000098825,5.745205341396745e-07,ENSDARG00000055129,5.818956429706248e-10,ENSDARG00000038876,1.494414204116182e-53,ENSDARG00000070801,4.8171018783160865e-11,ENSDARG00000035544,3.577545172889668e-23,ENSDARG00000009153,1.0018893541467666e-35,ENSDARG00000060978,7.012127909002444e-05,ENSDARG00000043905,0.0002496553881045382,ENSDARG00000077870,9.787779058963526e-116,ENSDARG00000005754,9.500870564284376e-07,ENSDARG00000039208,1.4663334352415346e-97,ENSDARG00000056985,6.210845962008308e-62,ENSDARG00000044339,9.357053910759913e-14,ENSDARG00000009106,4.6772254199274485e-08
31,ENSDARG00000008568,2.0743456534118074e-51,ENSDARG00000002745,1.1100286131465653e-25,ENSDARG00000058328,3.694893392237275e-73,ENSDARG00000001557,6.785294883788275e-33,ENSDARG00000027750,5.214049667005423e-50,ENSDARG00000024324,2.0174030644419545e-62,ENSDARG00000031796,1.4459932467436341e-12,ENSDARG00000071211,2.0895249445655825e-51,ENSDARG00000057484,4.3174110269930457e-122,ENSDARG00000079886,1.235867119121104e-11,ENSDARG00000003487,1.949037118489391e-210,ENSDARG00000089836,1.9629569907677807e-75,ENSDARG00000068886,8.200477220344986e-181,ENSDARG00000015474,8.641236836369579e-300,ENSDARG00000102887,8.102119219561367e-16,ENSDARG00000062382,7.370777077677115e-07,ENSDARG00000042840,1.1294298219651271e-09,ENSDARG00000006215,4.3532126008766874e-51,ENSDARG00000056510,1.2813742330374426e-10,ENSDARG00000009160,7.968444992262646e-23,ENSDARG00000070584,1.3548963773342396e-35,ENSDARG00000104230,7.522342695410352e-05,ENSDARG00000087556,0.00026770284825524565,ENSDARG00000025301,1.3781532135080904e-115,ENSDARG00000013892,1.2145341362937423e-06,ENSDARG00000078675,3.432855530942721e-97,ENSDARG00000052975,6.273816940591661e-62,ENSDARG00000016233,9.42675551148131e-14,ENSDARG00000005423,5.251109732138305e-08
32,ENSDARG00000043821,8.457886885049097e-51,ENSDARG00000039041,4.0670077481287584e-25,ENSDARG00000057484,9.090340197892802e-70,ENSDARG00000021488,1.0046272772039433e-32,ENSDARG00000039390,3.0562895242778307e-47,ENSDARG00000018192,1.9129342752977955e-59,ENSDARG00000044339,1.5933108087993717e-12,ENSDARG00000021059,1.46038551777528e-49,ENSDARG00000006392,2.7202014655355112e-121,ENSDARG00000057035,1.2845968761339366e-11,ENSDARG00000018953,2.6431245213977035e-209,ENSDARG00000034777,4.0213341576067877e-75,ENSDARG00000025332,1.0684620626500553e-180,ENSDARG00000063588,1.2012910158388822e-296,ENSDARG00000029795,8.260501421493579e-16,ENSDARG00000087556,8.75656052651387e-07,ENSDARG00000031796,1.455233145500864e-09,ENSDARG00000074301,7.748349692705657e-51,ENSDARG00000010276,2.5431395426023326e-10,ENSDARG00000036237,8.586688226439044e-21,ENSDARG00000043511,2.8717572054452456e-35,ENSDARG00000040730,9.564703370853958e-05,ENSDARG00000040198,0.0002694517335854493,ENSDARG00000018953,1.5693380053768972e-115,ENSDARG00000074507,1.4674566981764657e-06,ENSDARG00000053101,5.961149709483872e-97,ENSDARG00000003531,3.832024739549687e-61,ENSDARG00000042128,9.446256761232333e-14,ENSDARG00000008735,8.178137780251926e-08
33,ENSDARG00000040695,3.601934205296631e-49,ENSDARG00000101413,5.437828859056608e-25,ENSDARG00000094191,8.844109243119283e-68,ENSDARG00000055759,5.14783748697736e-32,ENSDARG00000034668,2.9730760054648296e-46,ENSDARG00000078599,6.20269931208462e-55,ENSDARG00000008447,2.250271097874989e-12,ENSDARG00000033609,1.2472396388166097e-48,ENSDARG00000013938,7.3216844562482125e-121,ENSDARG00000036684,1.3475357212865536e-11,ENSDARG00000032129,2.5746245665359097e-204,ENSDARG00000013333,8.675769647146429e-75,ENSDARG00000104110,1.0154263480675678e-177,ENSDARG00000014361,3.426994128952161e-296,ENSDARG00000063195,1.1304115950182744e-15,ENSDARG00000029936,9.904908422324137e-07,ENSDARG00000038428,6.063114521887442e-09,ENSDARG00000028087,1.6792502042786024e-47,ENSDARG00000028213,2.631057599428622e-10,ENSDARG00000009488,5.439031397726854e-20,ENSDARG00000053485,1.4508798006642712e-32,ENSDARG00000035544,0.00010772834440504983,ENSDARG00000042115,0.00028194152659997014,ENSDARG00000061774,3.184726116339457e-115,ENSDARG00000008447,1.8996850791073184e-06,ENSDARG00000016733,1.1721072230606443e-96,ENSDARG00000043502,2.164322536732295e-59,ENSDARG00000009209,1.0527712488792593e-13,ENSDARG00000024324,1.3998460839125549e-06
34,ENSDARG00000015649,1.390936336624476e-47,ENSDARG00000074663,9.777982001558923e-25,ENSDARG00000024651,2.6335505367925387e-66,ENSDARG00000007247,3.498036330399876e-29,ENSDARG00000035872,3.686367221247518e-46,ENSDARG00000030563,1.7211296430787066e-54,ENSDARG00000010773,4.5954988082766966e-12,ENSDARG00000057672,2.8973684964748653e-47,ENSDARG00000070046,1.8213926142349858e-120,ENSDARG00000042115,1.47826307448273e-11,ENSDARG00000005359,4.252064046877771e-203,ENSDARG00000027078,2.424792729744518e-72,ENSDARG00000030789,1.0337975964113212e-177,ENSDARG00000059775,3.0022231918570203e-293,ENSDARG00000008735,1.4233996489710484e-15,ENSDARG00000056932,1.4185415381970266e-06,ENSDARG00000017809,6.692463262265612e-09,ENSDARG00000020143,8.01175699498932e-47,ENSDARG00000090568,3.9050657966240117e-10,ENSDARG00000043371,1.201312407908766e-19,ENSDARG00000086332,5.071389256865886e-32,ENSDARG00000079564,0.00012954592003491347,ENSDARG00000035149,0.00033392363909428825,ENSDARG00000002403,3.345200570505242e-114,ENSDARG00000068064,1.981175448171716e-06,ENSDARG00000091150,1.1265908608376369e-95,ENSDARG00000023151,3.3378233801269786e-58,ENSDARG00000087229,1.0905353189630044e-13,ENSDARG00000059775,1.4983534062440189e-06
35,ENSDARG00000005023,2.2839943854962337e-47,ENSDARG00000040730,3.3461930373137404e-24,ENSDARG00000043713,5.987158161442235e-65,ENSDARG00000018782,6.570650170248249e-26,ENSDARG00000058108,3.9746237483316725e-46,ENSDARG00000056101,9.772994934184193e-54,ENSDARG00000007808,5.778863818197316e-12,ENSDARG00000014361,2.5516178009432797e-45,ENSDARG00000086618,4.679397100415851e-117,ENSDARG00000007247,1.4881953524187874e-11,ENSDARG00000034056,3.046425297160475e-202,ENSDARG00000018149,4.698856253198564e-70,ENSDARG00000021112,1.249329683049677e-172,ENSDARG00000102883,2.8464874364034954e-292,ENSDARG00000044852,1.9983127073722253e-15,ENSDARG00000010276,1.509443813802847e-06,ENSDARG00000100531,6.990072198175251e-09,ENSDARG00000102412,1.231457394062821e-37,ENSDARG00000102995,9.70565317501848e-10,ENSDARG00000074301,2.0449431058314485e-19,ENSDARG00000052712,1.22864375996104e-31,ENSDARG00000087784,0.00015441829099568295,ENSDARG00000057736,0.00036287949328652445,ENSDARG00000040072,9.598636305327905e-114,ENSDARG00000042128,2.4857592264178774e-06,ENSDARG00000058656,8.824164098864296e-95,ENSDARG00000012672,4.771692975680146e-57,ENSDARG00000104139,1.2252735166786475e-13,ENSDARG00000007786,2.275926829730815e-06
