,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p
36,ENSDARG00000009488,6.691380331276064e-47,ENSDARG00000042344,3.8914226667681214e-24,ENSDARG00000078433,1.0309148599443032e-63,ENSDARG00000086332,1.3735943596108333e-25,ENSDARG00000009488,9.140516189319397e-46,ENSDARG00000034668,1.2733693439863753e-53,ENSDARG00000014273,8.005178836611774e-12,ENSDARG00000040314,1.049527230453084e-44,ENSDARG00000004436,1.5113260820097797e-108,ENSDARG00000060501,4.06813398225331e-11,ENSDARG00000087640,7.074622790375492e-199,ENSDARG00000054848,2.5750911475342063e-69,ENSDARG00000061490,1.837515686408751e-172,ENSDARG00000061124,8.310708075195577e-290,ENSDARG00000071694,2.7803095963124264e-15,ENSDARG00000045228,1.7272794411195276e-06,ENSDARG00000040959,8.118324936170851e-09,ENSDARG00000018002,1.929046082487983e-36,ENSDARG00000103670,1.1036321120524058e-09,ENSDARG00000043511,1.1293089311802924e-18,ENSDARG00000018600,1.5256285434575346e-30,ENSDARG00000018782,0.0001695023257761926,ENSDARG00000013522,0.00037088843110986107,ENSDARG00000008200,4.344024441673837e-112,ENSDARG00000012369,2.7011232468559206e-06,ENSDARG00000015474,6.483884885323996e-94,ENSDARG00000100209,5.229158334829475e-57,ENSDARG00000021209,1.2469434891572635e-13,ENSDARG00000104139,2.2887883116168967e-06
37,ENSDARG00000005372,8.293512725327574e-46,ENSDARG00000008275,1.0414969807010735e-23,ENSDARG00000021107,4.552232981608081e-63,ENSDARG00000098431,1.4642470035355563e-25,ENSDARG00000008200,3.7625050274728655e-45,ENSDARG00000042854,3.186902435737095e-53,ENSDARG00000015221,8.5418817231087e-12,ENSDARG00000102643,1.1163097735362084e-44,ENSDARG00000023852,1.738955479904831e-108,ENSDARG00000042544,5.931083267643035e-11,ENSDARG00000006766,1.2502706140352672e-198,ENSDARG00000053485,3.367852907789427e-69,ENSDARG00000032129,1.3416519698493445e-170,ENSDARG00000071060,1.0967955010467048e-287,ENSDARG00000051934,9.155148718865804e-15,ENSDARG00000045482,2.9927037285662167e-06,ENSDARG00000042853,9.414966688939251e-09,ENSDARG00000098766,2.936066525249798e-35,ENSDARG00000043467,1.131434107801228e-09,ENSDARG00000052074,1.689710917815544e-18,ENSDARG00000020387,3.703726389048204e-30,ENSDARG00000033666,0.00019367242954216587,ENSDARG00000045482,0.00038146364539218985,ENSDARG00000009001,1.6399970127381611e-111,ENSDARG00000035578,3.701219171560056e-06,ENSDARG00000015921,1.4105388451952983e-93,ENSDARG00000037559,1.2199474354998748e-56,ENSDARG00000070390,1.2543087900277472e-13,ENSDARG00000030265,2.4303921484409712e-06
38,ENSDARG00000037476,9.138175591920176e-45,ENSDARG00000079854,1.1502719869227117e-23,ENSDARG00000042894,2.7344305341484653e-61,ENSDARG00000101028,3.2527888311496157e-25,ENSDARG00000058079,1.752576009457741e-44,ENSDARG00000040650,6.164502784997042e-52,ENSDARG00000102059,1.752098265340997e-11,ENSDARG00000074663,1.8844797195614414e-41,ENSDARG00000063145,3.0445709580184303e-108,ENSDARG00000015221,6.498755566307278e-11,ENSDARG00000004161,1.632201920068368e-195,ENSDARG00000070043,6.500318041388607e-66,ENSDARG00000020573,8.01478269962663e-168,ENSDARG00000061490,5.993972387370418e-279,ENSDARG00000055314,1.0945538501836522e-14,ENSDARG00000023591,3.112763301958502e-06,ENSDARG00000041215,9.881289407628892e-09,ENSDARG00000025338,2.9538855831550507e-34,ENSDARG00000030765,1.6401103131247322e-09,ENSDARG00000029011,2.3054898700607515e-18,ENSDARG00000045888,2.222943137892637e-29,ENSDARG00000018149,0.0002014349016621744,ENSDARG00000061057,0.00041190668550083933,ENSDARG00000100514,1.1707380644428887e-110,ENSDARG00000001557,4.551849166176394e-06,ENSDARG00000103831,5.132878076341761e-93,ENSDARG00000008243,4.759707001498448e-56,ENSDARG00000058287,1.6046121901574775e-13,ENSDARG00000007171,3.723448735272682e-06
39,ENSDARG00000026985,1.824756895809417e-44,ENSDARG00000009488,1.839300182112602e-23,ENSDARG00000010965,6.654033461348027e-59,ENSDARG00000010276,2.3717982344337934e-24,ENSDARG00000021242,9.553973962850367e-44,ENSDARG00000019231,1.5760249131574924e-50,ENSDARG00000058108,2.0301102281472867e-11,ENSDARG00000018411,2.7447604653248253e-40,ENSDARG00000017084,1.870207947189303e-107,ENSDARG00000060288,7.042968029464659e-11,ENSDARG00000004470,2.0338771989502565e-190,ENSDARG00000005840,7.379921166249422e-66,ENSDARG00000056720,1.7550030012229953e-167,ENSDARG00000035751,7.740588794702569e-279,ENSDARG00000035149,1.377315565000377e-14,ENSDARG00000070567,3.403913105070439e-06,ENSDARG00000056510,1.1259717856846357e-08,ENSDARG00000026376,2.9632496487565747e-34,ENSDARG00000045482,3.3737738108916914e-09,ENSDARG00000030765,1.820339300280325e-17,ENSDARG00000070487,7.320701899714888e-29,ENSDARG00000005754,0.00021565500959608283,ENSDARG00000079854,0.0004943553139589832,ENSDARG00000038768,4.478867032616675e-110,ENSDARG00000011122,6.135975830884804e-06,ENSDARG00000031720,5.399099287915582e-93,ENSDARG00000036371,1.113407424701431e-54,ENSDARG00000057672,1.7351722885794172e-13,ENSDARG00000012039,4.055231281011303e-06
40,ENSDARG00000009299,3.900092647397493e-43,ENSDARG00000038429,2.1375232679870593e-23,ENSDARG00000038768,8.839972176443256e-59,ENSDARG00000045515,2.7344703089090106e-24,ENSDARG00000015757,8.090945166113724e-43,ENSDARG00000032117,2.4696698581353963e-50,ENSDARG00000060288,4.672677045128121e-11,ENSDARG00000027078,1.1567813041225049e-37,ENSDARG00000063100,3.4790947037125575e-107,ENSDARG00000103025,8.206132589838456e-11,ENSDARG00000104071,8.142158323617046e-190,ENSDARG00000070607,2.1263864384909348e-64,ENSDARG00000102412,4.53103845837629e-166,ENSDARG00000058230,1.0638264768576634e-275,ENSDARG00000086332,1.7510852949416702e-14,ENSDARG00000103095,3.750112156212012e-06,ENSDARG00000003411,1.442368061367495e-08,ENSDARG00000098588,5.016531959527367e-34,ENSDARG00000014273,7.296433073864601e-09,ENSDARG00000018600,4.141397436566472e-17,ENSDARG00000011122,2.60778157837697e-28,ENSDARG00000002745,0.0002166283663430269,ENSDARG00000079271,0.0005217516079822066,ENSDARG00000002131,8.008332709523849e-109,ENSDARG00000029472,7.049767571379296e-06,ENSDARG00000100013,5.912262705686623e-93,ENSDARG00000043511,3.7509823209669293e-53,ENSDARG00000098942,1.884620000455563e-13,ENSDARG00000042854,4.3535323812548844e-06
41,ENSDARG00000074287,5.25660249086757e-43,ENSDARG00000068064,4.5153076654861807e-23,ENSDARG00000010487,1.6323128121367175e-56,ENSDARG00000030020,8.095418977280598e-24,ENSDARG00000078599,5.3788221651817693e-42,ENSDARG00000021607,2.7199711070622385e-50,ENSDARG00000102202,4.9487962802418083e-11,ENSDARG00000054696,2.550232185509997e-37,ENSDARG00000033597,2.5588770747049675e-106,ENSDARG00000002405,1.4420532616055805e-10,ENSDARG00000062025,8.24168947162987e-189,ENSDARG00000055524,5.940770656408033e-63,ENSDARG00000036481,6.319573539056038e-166,ENSDARG00000043502,2.3616292889565758e-268,ENSDARG00000040466,2.9503628643590185e-14,ENSDARG00000031796,4.04851291413593e-06,ENSDARG00000078077,1.7382618160053144e-08,ENSDARG00000039211,8.287338667486273e-32,ENSDARG00000005372,9.284231504974714e-09,ENSDARG00000071087,4.696363083567066e-17,ENSDARG00000056510,2.621004946442977e-27,ENSDARG00000028276,0.000226827958344971,ENSDARG00000028276,0.0005272705084243074,ENSDARG00000028213,9.662709264308673e-109,ENSDARG00000060978,8.376218637929271e-06,ENSDARG00000052816,7.641093959197736e-93,ENSDARG00000021046,4.644944121454179e-53,ENSDARG00000029911,2.236368180160617e-13,ENSDARG00000021812,4.743717048814944e-06
42,ENSDARG00000002405,2.4502671330216965e-42,ENSDARG00000058696,5.516271697741087e-23,ENSDARG00000014591,6.886663908317307e-56,ENSDARG00000021647,8.276778900704202e-24,ENSDARG00000009209,4.35327972091975e-41,ENSDARG00000100013,5.239428945744422e-50,ENSDARG00000009480,7.296069501797813e-11,ENSDARG00000009488,5.218341765693058e-37,ENSDARG00000024204,3.462285963333952e-106,ENSDARG00000070567,1.6645786423392106e-10,ENSDARG00000020448,1.4886939517664521e-186,ENSDARG00000045351,2.328511712765258e-58,ENSDARG00000079632,6.718212256653015e-164,ENSDARG00000005423,8.512664053889084e-263,ENSDARG00000035505,3.97708707173166e-14,ENSDARG00000016513,4.39406413048774e-06,ENSDARG00000040314,1.7827922466235274e-08,ENSDARG00000103025,2.1040984809232103e-30,ENSDARG00000098431,3.280764474796135e-08,ENSDARG00000058108,1.1232794467962213e-16,ENSDARG00000074301,5.303500466806596e-26,ENSDARG00000090568,0.00022686276047846024,ENSDARG00000061580,0.0005496815174383534,ENSDARG00000055524,1.574760602384837e-108,ENSDARG00000059177,9.41875960088671e-06,ENSDARG00000038980,1.2682355381337766e-92,ENSDARG00000012194,4.709745958208963e-53,ENSDARG00000040466,2.2512130559573656e-13,ENSDARG00000040650,5.462332906719618e-06
43,ENSDARG00000056964,1.2822640592007537e-41,ENSDARG00000021046,1.133770427120434e-22,ENSDARG00000015208,1.2326483759038423e-55,ENSDARG00000022807,1.612456997220878e-23,ENSDARG00000000019,1.0250447663673654e-40,ENSDARG00000079687,5.640624940004736e-50,ENSDARG00000079886,7.395697147106071e-11,ENSDARG00000074967,5.6035404549980244e-37,ENSDARG00000021107,4.372919034681847e-106,ENSDARG00000078599,5.039897600403343e-10,ENSDARG00000020101,1.836161725273101e-186,ENSDARG00000022399,6.050213354103668e-58,ENSDARG00000026664,3.0345618212876792e-158,ENSDARG00000089663,3.4137112469529106e-261,ENSDARG00000003573,4.353611677669879e-14,ENSDARG00000058696,4.978332596664961e-06,ENSDARG00000012039,2.6206871260589838e-08,ENSDARG00000052271,2.123061968493599e-30,ENSDARG00000061688,4.2605255831297975e-08,ENSDARG00000020387,3.495235218264431e-16,ENSDARG00000009830,3.4304037678612e-25,ENSDARG00000103553,0.00028873985316465854,ENSDARG00000060288,0.0006344267384382941,ENSDARG00000071060,3.07527674490964e-108,ENSDARG00000079564,9.598919606434578e-06,ENSDARG00000054155,1.4149085973746257e-92,ENSDARG00000061490,1.4755640942191986e-52,ENSDARG00000013063,2.451194653820777e-13,ENSDARG00000032117,5.757622357483683e-06
44,ENSDARG00000070448,1.476496102687636e-41,ENSDARG00000045482,3.2904004945587245e-22,ENSDARG00000018574,3.757918423292231e-54,ENSDARG00000069044,5.680143913254723e-23,ENSDARG00000100531,1.520794244258015e-39,ENSDARG00000009480,7.96491654499179e-50,ENSDARG00000078847,7.479881732075072e-11,ENSDARG00000025535,2.1671075989120292e-36,ENSDARG00000010965,1.2556776747171458e-105,ENSDARG00000034668,5.301122562175531e-10,ENSDARG00000086691,4.318949885548839e-186,ENSDARG00000074266,2.0630549393443288e-57,ENSDARG00000037503,5.727833622911736e-156,ENSDARG00000054696,2.2108935491981956e-259,ENSDARG00000040314,4.8467020461625726e-14,ENSDARG00000015221,5.014417694632693e-06,ENSDARG00000028088,2.895158747013583e-08,ENSDARG00000043511,2.4091767307995786e-30,ENSDARG00000039399,5.252315111039183e-08,ENSDARG00000005423,3.4661265114903255e-15,ENSDARG00000028087,4.268485281942723e-25,ENSDARG00000020573,0.00033047456426115617,ENSDARG00000035505,0.0006576321091955094,ENSDARG00000015921,6.588537446954473e-108,ENSDARG00000098431,1.0170796457827596e-05,ENSDARG00000017067,2.1114184224422633e-92,ENSDARG00000068886,1.528016466562648e-52,ENSDARG00000062868,2.4828717792717714e-13,ENSDARG00000030614,5.970867228115952e-06
45,ENSDARG00000061580,6.368402211025905e-41,ENSDARG00000042115,3.7118791115302756e-22,ENSDARG00000063145,1.5403976914085284e-53,ENSDARG00000079564,7.445827831982499e-23,ENSDARG00000044972,3.0555783791710974e-39,ENSDARG00000070686,1.4365205710265892e-49,ENSDARG00000035505,9.710742812508914e-11,ENSDARG00000052371,4.135797150800024e-35,ENSDARG00000042458,2.1051686557463393e-105,ENSDARG00000031796,5.586377327094805e-10,ENSDARG00000034600,6.168022802952077e-186,ENSDARG00000037030,2.0808333930548537e-56,ENSDARG00000103799,1.2225223099655446e-154,ENSDARG00000010301,1.6450431438545658e-257,ENSDARG00000057736,4.8700255004002713e-14,ENSDARG00000042115,6.070694840909152e-06,ENSDARG00000101982,2.9872872615198446e-08,ENSDARG00000042975,4.016636897847602e-30,ENSDARG00000039887,7.505657930877579e-08,ENSDARG00000029905,5.6086947520689786e-15,ENSDARG00000042644,1.8816746937875464e-24,ENSDARG00000021702,0.00040636933041501345,ENSDARG00000024324,0.0007319645638702479,ENSDARG00000009681,7.854543656932879e-107,ENSDARG00000033184,1.0775591084176607e-05,ENSDARG00000059373,9.844324499650677e-92,ENSDARG00000005500,1.53872764265324e-52,ENSDARG00000101982,2.6034199341697495e-13,ENSDARG00000100055,6.157783553451481e-06
46,ENSDARG00000068246,1.3741298971745745e-39,ENSDARG00000079886,6.176869711596506e-22,ENSDARG00000074572,1.9145591429329724e-53,ENSDARG00000101413,8.369963419034515e-23,ENSDARG00000061235,1.4416479483020287e-38,ENSDARG00000004580,7.48564541387651e-49,ENSDARG00000103025,1.010842333266526e-10,ENSDARG00000008275,1.6556818192037112e-34,ENSDARG00000019507,1.3316910717387643e-104,ENSDARG00000029036,6.048005804775034e-10,ENSDARG00000074266,2.0953524798304797e-183,ENSDARG00000021346,4.0957988272693976e-55,ENSDARG00000020822,9.250713879899781e-153,ENSDARG00000101707,6.345255149975934e-256,ENSDARG00000026376,5.998192503448121e-14,ENSDARG00000040466,7.75366314800901e-06,ENSDARG00000077751,3.5074331474672105e-08,ENSDARG00000005643,4.371580784901157e-30,ENSDARG00000045658,8.855368697000457e-08,ENSDARG00000007745,6.377503655077302e-15,ENSDARG00000005643,1.0046374279148861e-23,ENSDARG00000013063,0.0004355055505721507,ENSDARG00000087784,0.0007343814702874497,ENSDARG00000070097,5.571456909150056e-105,ENSDARG00000000861,1.1158540020728405e-05,ENSDARG00000078654,2.2808192888340522e-90,ENSDARG00000099640,9.137692781631637e-52,ENSDARG00000055885,2.681678154962118e-13,ENSDARG00000008395,6.456010727670647e-06
47,ENSDARG00000020573,2.2482220771909402e-38,ENSDARG00000087556,1.0622586437804068e-21,ENSDARG00000077264,2.217642987856395e-52,ENSDARG00000101755,9.312455875954844e-23,ENSDARG00000021647,2.1857433838082357e-37,ENSDARG00000038524,7.665712273921972e-49,ENSDARG00000024324,1.172634528152767e-10,ENSDARG00000008447,5.758493603169997e-34,ENSDARG00000052816,3.0693822753751794e-104,ENSDARG00000012341,1.0981873488955463e-09,ENSDARG00000026664,6.1847100351884316e-183,ENSDARG00000018426,1.8856760303930956e-54,ENSDARG00000018124,3.748534146083651e-151,ENSDARG00000002403,2.068364445878468e-251,ENSDARG00000042630,8.468824443478496e-14,ENSDARG00000044339,9.542361243651072e-06,ENSDARG00000035872,3.840444925114833e-08,ENSDARG00000100482,1.5558929294968422e-29,ENSDARG00000102822,1.0327054222778531e-07,ENSDARG00000058079,7.851152632510302e-15,ENSDARG00000052271,3.7377111562181334e-23,ENSDARG00000037267,0.0004846013597080898,ENSDARG00000041869,0.0007869289788376184,ENSDARG00000030716,9.634175657126785e-104,ENSDARG00000036073,1.2185771699269805e-05,ENSDARG00000054255,2.9868977067956597e-90,ENSDARG00000034056,4.6746330998579626e-51,ENSDARG00000037781,2.6990482442146047e-13,ENSDARG00000036164,6.631987244548906e-06
48,ENSDARG00000039041,2.7018517103076964e-38,ENSDARG00000007531,1.185439199154074e-21,ENSDARG00000086618,1.4499207359133977e-51,ENSDARG00000018411,1.3485077808509321e-22,ENSDARG00000074967,3.138018992893694e-37,ENSDARG00000102634,3.7448562039558135e-48,ENSDARG00000035149,1.2247200386479949e-10,ENSDARG00000014171,1.0084944440010526e-33,ENSDARG00000053101,1.1788862908961454e-103,ENSDARG00000060362,1.5437628364550491e-09,ENSDARG00000070046,1.0971721722469917e-182,ENSDARG00000007526,6.474027518016355e-54,ENSDARG00000033184,1.991624233679163e-150,ENSDARG00000021046,1.2055940232931728e-250,ENSDARG00000027154,1.231324333321193e-13,ENSDARG00000016304,1.0173490354423442e-05,ENSDARG00000075677,4.479082998414362e-08,ENSDARG00000030765,5.328225106414071e-28,ENSDARG00000018782,1.2264871103685007e-07,ENSDARG00000104702,1.4527435912310127e-14,ENSDARG00000039093,1.971296553187169e-21,ENSDARG00000102997,0.0005021486357397748,ENSDARG00000001873,0.0008815487784449244,ENSDARG00000017454,1.7839575983100092e-103,ENSDARG00000018782,1.2437801004667554e-05,ENSDARG00000030789,4.590789675901775e-90,ENSDARG00000025338,9.682029580181255e-50,ENSDARG00000053405,2.70977318626006e-13,ENSDARG00000041895,6.656383933167382e-06
49,ENSDARG00000070567,2.8020676239146296e-38,ENSDARG00000104508,1.358448583472927e-21,ENSDARG00000006392,1.8619687646489112e-51,ENSDARG00000043003,4.161784272213628e-22,ENSDARG00000017811,3.212373988834432e-37,ENSDARG00000041728,4.032708891746953e-48,ENSDARG00000003749,2.0125739788147065e-10,ENSDARG00000015126,5.9839887535509046e-33,ENSDARG00000089663,2.0210966840708075e-103,ENSDARG00000007808,2.1386053833748733e-09,ENSDARG00000099101,1.3327068867988727e-182,ENSDARG00000020679,1.0928526048943687e-53,ENSDARG00000040041,1.2637207852140157e-149,ENSDARG00000073710,1.2386857827446643e-248,ENSDARG00000023958,1.5866339210768761e-13,ENSDARG00000058108,1.0776888633830444e-05,ENSDARG00000014941,5.1770276613161005e-08,ENSDARG00000032431,7.297771068969838e-28,ENSDARG00000007624,2.354928624967603e-07,ENSDARG00000029874,1.893704349242105e-14,ENSDARG00000038876,4.324865787706777e-21,ENSDARG00000070567,0.0005706373520626138,ENSDARG00000078847,0.0009074635040755372,ENSDARG00000032614,2.3177331347610886e-103,ENSDARG00000003411,2.2540718991579372e-05,ENSDARG00000003693,1.667355770904683e-89,ENSDARG00000068629,1.2683095857177046e-49,ENSDARG00000037283,3.445442894114458e-13,ENSDARG00000040730,8.447294373307518e-06
50,ENSDARG00000014532,4.45849303988986e-38,ENSDARG00000005754,1.4798918974705446e-21,ENSDARG00000075559,3.8087141001907205e-51,ENSDARG00000028088,1.4377076321963574e-20,ENSDARG00000008447,4.453918948139366e-37,ENSDARG00000102889,5.371167576590756e-48,ENSDARG00000102730,2.1504976808858874e-10,ENSDARG00000034777,2.4716442250583103e-32,ENSDARG00000101560,8.887821703908857e-103,ENSDARG00000035578,2.1448539766171903e-09,ENSDARG00000015757,2.8705425298368476e-182,ENSDARG00000038456,1.1031907597867348e-53,ENSDARG00000087640,3.0542634979544076e-149,ENSDARG00000012946,3.398935202215105e-244,ENSDARG00000002190,5.154797145224132e-13,ENSDARG00000087784,1.1923727531256572e-05,ENSDARG00000020960,5.305474024121584e-08,ENSDARG00000038312,6.85778706826698e-27,ENSDARG00000060288,3.41905646663301e-07,ENSDARG00000011146,2.1493710091318516e-14,ENSDARG00000042069,9.615244263880622e-21,ENSDARG00000005372,0.0005927448607783948,ENSDARG00000020845,0.0009330840747232262,ENSDARG00000059373,2.6607835262929763e-102,ENSDARG00000063031,2.373232844055759e-05,ENSDARG00000012672,2.1249807088428172e-89,ENSDARG00000089663,1.0504008832541358e-48,ENSDARG00000036848,3.65690633790194e-13,ENSDARG00000102634,8.665446853012698e-06
51,ENSDARG00000007825,4.733194954222177e-38,ENSDARG00000039215,2.254113857153398e-21,ENSDARG00000015239,5.516837295947713e-51,ENSDARG00000076602,5.021763450623752e-19,ENSDARG00000032117,3.5879846808291294e-36,ENSDARG00000036164,2.671127953081784e-47,ENSDARG00000058369,2.685804320136526e-10,ENSDARG00000006915,3.0870276051810364e-32,ENSDARG00000077870,2.5703480480234763e-102,ENSDARG00000068156,2.156041469621321e-09,ENSDARG00000057699,1.2202528376518746e-181,ENSDARG00000099966,4.1412672882337605e-52,ENSDARG00000043665,1.722081138099758e-146,ENSDARG00000032296,3.4928597445878946e-231,ENSDARG00000041869,3.2722176253295384e-12,ENSDARG00000020217,1.2250802087620017e-05,ENSDARG00000054793,5.5224935883614304e-08,ENSDARG00000078619,6.178535717959753e-26,ENSDARG00000070567,3.5994145050874996e-07,ENSDARG00000076602,2.7444987432944075e-13,ENSDARG00000042854,2.772383403278139e-20,ENSDARG00000026376,0.00060779508963342,ENSDARG00000016513,0.0009363664139277079,ENSDARG00000103027,3.022813150245544e-101,ENSDARG00000098588,2.6685224267449442e-05,ENSDARG00000033597,2.5257389796047563e-89,ENSDARG00000032614,2.0232418002719898e-48,ENSDARG00000016010,3.852576177202478e-13,ENSDARG00000076811,9.080150961453713e-06
52,ENSDARG00000060288,9.67495832519693e-38,ENSDARG00000070567,2.7417585459533127e-21,ENSDARG00000030789,6.93350702378429e-51,ENSDARG00000005372,1.035034010928642e-18,ENSDARG00000024654,8.63109951387452e-36,ENSDARG00000007171,2.545602003670722e-46,ENSDARG00000028276,3.1239506463755604e-10,ENSDARG00000008568,5.702814456413995e-32,ENSDARG00000102798,3.1621713844393663e-102,ENSDARG00000035149,3.704833507102148e-09,ENSDARG00000010381,7.722508582986515e-181,ENSDARG00000001557,1.1015015736617273e-50,ENSDARG00000013750,2.6364727563325197e-146,ENSDARG00000038980,5.539849063238687e-230,ENSDARG00000018782,5.5252791048568915e-12,ENSDARG00000037079,1.3073359004482522e-05,ENSDARG00000100385,6.371745984578865e-08,ENSDARG00000002523,7.363053404388668e-25,ENSDARG00000099692,4.829023921967659e-07,ENSDARG00000060500,3.414026707523565e-13,ENSDARG00000005423,1.259158411680168e-19,ENSDARG00000076811,0.0007490935583683464,ENSDARG00000042344,0.0010205814663164037,ENSDARG00000039269,2.9254093930005842e-99,ENSDARG00000044339,3.057219545926846e-05,ENSDARG00000005536,7.567313987759449e-89,ENSDARG00000004023,5.3188016748343364e-48,ENSDARG00000030020,4.385746543193131e-13,ENSDARG00000018192,9.686455397804063e-06
53,ENSDARG00000041644,1.536622057209924e-37,ENSDARG00000044781,3.3447493083624466e-21,ENSDARG00000037229,1.887116737705699e-50,ENSDARG00000011400,1.4337710635598731e-18,ENSDARG00000005372,4.358468911251677e-35,ENSDARG00000060978,3.924561850312004e-46,ENSDARG00000078599,3.7915420817170184e-10,ENSDARG00000001557,1.0284812344801035e-31,ENSDARG00000002304,9.148899196890003e-102,ENSDARG00000057736,4.213359079618015e-09,ENSDARG00000052419,9.035108909652575e-181,ENSDARG00000038000,8.783448164503444e-48,ENSDARG00000100514,3.1035103266837554e-144,ENSDARG00000040556,7.968934907004796e-227,ENSDARG00000074246,6.825877531483867e-12,ENSDARG00000060362,1.4265680744138117e-05,ENSDARG00000053405,6.879124697996874e-08,ENSDARG00000070487,2.857109648522106e-23,ENSDARG00000087556,4.95759716997276e-07,ENSDARG00000034368,4.787170273381686e-13,ENSDARG00000042853,1.7402883744651916e-18,ENSDARG00000003411,0.0007833364743632912,ENSDARG00000029036,0.0010216870356653707,ENSDARG00000005423,4.912010366294503e-98,ENSDARG00000016368,3.553645426443061e-05,ENSDARG00000075325,9.9169309994614e-89,ENSDARG00000054696,2.7919016050780896e-47,ENSDARG00000019842,4.4400070985766446e-13,ENSDARG00000019000,1.133356791832843e-05
54,ENSDARG00000041108,3.2256589244006733e-37,ENSDARG00000039754,4.6547786930981335e-21,ENSDARG00000039667,4.485964972692724e-50,ENSDARG00000068246,1.2324705215287099e-17,ENSDARG00000015126,6.697767557463476e-35,ENSDARG00000021945,9.47342972173554e-46,ENSDARG00000041869,3.9914402490474826e-10,ENSDARG00000033364,1.6874519244046679e-31,ENSDARG00000068629,3.219337080997959e-101,ENSDARG00000038359,5.83735663204048e-09,ENSDARG00000013561,3.1452886655552053e-180,ENSDARG00000036848,1.0682496718238853e-47,ENSDARG00000053950,7.234882420257934e-144,ENSDARG00000040041,3.4521389163826423e-223,ENSDARG00000005372,9.18137330102791e-12,ENSDARG00000021209,1.4545320643207124e-05,ENSDARG00000044852,7.433781054824458e-08,ENSDARG00000104487,9.031521954218533e-23,ENSDARG00000102885,6.233017762699298e-07,ENSDARG00000079271,1.058992118542877e-12,ENSDARG00000002745,2.251033723481841e-18,ENSDARG00000098080,0.0007901457936775391,ENSDARG00000007808,0.0010993660554311753,ENSDARG00000056102,8.011293172915906e-98,ENSDARG00000008275,3.711379517904402e-05,ENSDARG00000100741,9.661640910218982e-88,ENSDARG00000040556,6.325315900707399e-47,ENSDARG00000104230,4.830787185231971e-13,ENSDARG00000061688,1.1795430210776588e-05
55,ENSDARG00000058108,4.387120305157112e-37,ENSDARG00000044935,6.166565968545573e-21,ENSDARG00000103409,4.970711511935531e-50,ENSDARG00000005355,1.7580474287894033e-17,ENSDARG00000004580,8.743088651647378e-35,ENSDARG00000056138,1.1257131938793676e-45,ENSDARG00000053691,5.792522567157243e-10,ENSDARG00000099908,2.329831983344812e-31,ENSDARG00000020101,4.915930964790586e-101,ENSDARG00000099313,5.9471953492041295e-09,ENSDARG00000002523,8.622411181857483e-178,ENSDARG00000052371,4.432867431616925e-46,ENSDARG00000052419,5.1350002908602394e-141,ENSDARG00000007959,6.56199272438553e-221,ENSDARG00000041363,1.0558844244865668e-11,ENSDARG00000035149,1.5089148602421786e-05,ENSDARG00000004672,8.187767033464839e-08,ENSDARG00000042644,1.0222626209702658e-22,ENSDARG00000008433,7.509010600352574e-07,ENSDARG00000062549,2.577849184054699e-12,ENSDARG00000089717,2.3912088182419464e-18,ENSDARG00000036237,0.0007992401844296254,ENSDARG00000026024,0.0011119598942721258,ENSDARG00000038312,1.7876846840246243e-96,ENSDARG00000018010,4.418836629580809e-05,ENSDARG00000041644,3.850777186450826e-87,ENSDARG00000078026,3.087556210798511e-46,ENSDARG00000004023,4.956030407605292e-13,ENSDARG00000008032,1.2189658914635988e-05
56,ENSDARG00000101028,1.422460122630571e-36,ENSDARG00000061865,6.337969760454421e-21,ENSDARG00000016733,5.75558393756236e-49,ENSDARG00000028721,2.5904467054412505e-17,ENSDARG00000044339,1.1357109053504232e-34,ENSDARG00000032614,4.697121985497299e-45,ENSDARG00000013063,8.112831076862043e-10,ENSDARG00000013938,2.3714769278585573e-30,ENSDARG00000059150,5.805184263546632e-100,ENSDARG00000021209,7.03077726049753e-09,ENSDARG00000068587,1.6836158982755287e-177,ENSDARG00000105117,1.0245716766659091e-45,ENSDARG00000056985,6.6572897539625e-139,ENSDARG00000054155,6.4740123269181075e-220,ENSDARG00000059177,1.0765893210126624e-11,ENSDARG00000039041,1.5396568925904698e-05,ENSDARG00000089232,1.4728037297289763e-07,ENSDARG00000069157,4.97511880124942e-22,ENSDARG00000099996,8.112383020695471e-07,ENSDARG00000038876,3.5374443851629482e-12,ENSDARG00000096829,2.3483525454029983e-17,ENSDARG00000055885,0.0008283211468964427,ENSDARG00000056101,0.0012957144740125544,ENSDARG00000032129,2.6889956888281747e-95,ENSDARG00000099966,7.948191099837875e-05,ENSDARG00000068629,1.0464263507427933e-85,ENSDARG00000034600,4.497279570611636e-46,ENSDARG00000006477,5.030956988327856e-13,ENSDARG00000062594,1.4614763440979359e-05
